name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,6400,42908,OPTIMAL,50,0.0118732,0.30764,0.319513,62.46094
GEOM100a.col,100,992,91,9100,101972,OPTIMAL,66,0.0291199,187.44,187.469,133.08594
GEOM100b.col,100,1050,121,12100,144250,OPTIMAL,71,0.0422577,60.6428,60.685,107.24609
GEOM110.col,110,638,64,7040,49522,OPTIMAL,50,0.0156921,0.409441,0.425133,64.21875
GEOM110a.col,110,1207,109,11990,148063,OPTIMAL,69,0.0425122,209.572,209.614,143.8125
GEOM110b.col,110,1256,121,13310,170236,OPTIMAL,77,0.0537552,270.172,270.226,143.00781
GEOM120.col,120,773,73,8760,66989,OPTIMAL,59,0.0192098,1.31598,1.33519,68.94531
GEOM120a.col,120,1434,109,13080,172746,OPTIMAL,82,0.0605796,176.81,176.87,135.80859
GEOM120b.col,120,1491,123,14760,203073,OPTIMAL,83,0.0610027,2748.58,2748.64,275.66406
GEOM20.col,20,20,24,480,1040,OPTIMAL,21,0.00053601,0.000854488,0.0013905,46.05078
GEOM20a.col,20,37,24,480,1468,OPTIMAL,20,0.000678629,0.00147642,0.00215505,45.92578
GEOM20b.col,20,32,16,320,912,OPTIMAL,13,0.000492159,0.000367737,0.000859896,45.85547
GEOM30.col,30,50,33,990,2820,OPTIMAL,28,0.00119867,0.00235036,0.00354904,45.36719
GEOM30a.col,30,81,32,960,3732,OPTIMAL,27,0.00153523,0.00308079,0.00461602,45.98828
GEOM30b.col,30,81,27,810,3057,OPTIMAL,26,0.000905038,0.00108569,0.00199073,45.5
GEOM40.col,40,78,33,1320,4134,OPTIMAL,28,0.00187815,0.00338387,0.00526202,45.36719
GEOM40a.col,40,146,50,2000,9860,OPTIMAL,37,0.00271245,0.0164561,0.0191685,45.375
GEOM40b.col,40,157,40,1600,8200,OPTIMAL,33,0.00238654,0.0132236,0.0156101,45.5625
GEOM50.col,50,127,36,1800,6822,OPTIMAL,28,0.00292562,0.00313739,0.00606301,45.375
GEOM50a.col,50,238,61,3050,18168,OPTIMAL,50,0.00708847,0.249282,0.25637,57.375
GEOM50b.col,50,249,54,2700,17146,OPTIMAL,35,0.00805274,0.0556435,0.0636962,45.92578
GEOM60.col,60,185,36,2160,9060,OPTIMAL,33,0.00414197,0.00544033,0.0095823,45.42969
GEOM60a.col,60,339,61,3660,25059,OPTIMAL,50,0.00723792,0.235269,0.242507,58.80469
GEOM60b.col,60,366,63,3780,28218,OPTIMAL,41,0.00960945,0.398175,0.407784,58.48438
GEOM70.col,70,267,44,3080,15318,OPTIMAL,38,0.00495183,0.0148828,0.0198346,45.4375
GEOM70a.col,70,459,72,5040,38928,OPTIMAL,61,0.0175676,1.77803,1.7956,63.14062
GEOM70b.col,70,488,76,5320,44508,OPTIMAL,47,0.0118988,1.24455,1.25644,62.63281
GEOM80.col,80,349,54,4320,24286,OPTIMAL,41,0.0100929,0.0323753,0.0424682,45.73828
GEOM80a.col,80,612,79,6320,56028,OPTIMAL,63,0.0252276,4.33245,4.35768,69.65625
GEOM80b.col,80,663,98,7840,75934,OPTIMAL,60,0.025791,2.65911,2.6849,68.89844
GEOM90.col,90,441,54,4860,29484,OPTIMAL,46,0.0101623,0.0689619,0.0791242,45.3125
GEOM90a.col,90,789,80,7200,71940,OPTIMAL,63,0.0203809,5.00183,5.02221,71.96484
GEOM90b.col,90,860,109,9810,107240,OPTIMAL,69,0.0313443,20.8798,20.9111,87.72266
c21_1_d1.col,21,105,8,168,1050,OPTIMAL,7,0.000415931,0.00237285,0.00278879,45.37109
c21_1_d2.col,21,105,8,168,1050,OPTIMAL,7,0.000455248,0.00211937,0.00257462,45.4375
c21_2_d1.col,21,105,11,231,1449,OPTIMAL,9,0.000624585,0.00337777,0.00400235,45.86328
c21_2_d2.col,21,105,11,231,1449,OPTIMAL,9,0.00059905,0.00342851,0.00402756,45.91797
c21_3_d1.col,21,105,8,168,1050,OPTIMAL,7,0.000421455,0.00222967,0.00265112,45.36719
c21_3_d2.col,21,105,8,168,1050,OPTIMAL,7,0.000417061,0.00223529,0.00265235,45.4375
c21_4_d1.col,21,105,11,231,1449,OPTIMAL,9,0.000602994,0.00321473,0.00381773,46.05078
c21_4_d2.col,21,105,11,231,1449,OPTIMAL,9,0.000411056,0.00245477,0.00286583,44.86719
c21_5_d1.col,21,105,8,168,1050,OPTIMAL,7,0.00041019,0.00224952,0.00265971,45.92578
c21_5_d2.col,21,105,8,168,1050,OPTIMAL,7,0.000422483,0.00207755,0.00250003,46.05078
c21_6_d1.col,21,105,11,231,1449,OPTIMAL,9,0.000609887,0.00334231,0.0039522,45.42969
c21_6_d2.col,21,105,11,231,1449,OPTIMAL,9,0.000677943,0.00312835,0.00380629,45.4375
c21_7_d1.col,21,105,8,168,1050,OPTIMAL,7,0.000408219,0.00212152,0.00252974,45.36719
c21_7_d2.col,21,105,8,168,1050,OPTIMAL,7,0.000416314,0.00216338,0.00257969,45.6875
c21_8_d1.col,21,105,11,231,1449,OPTIMAL,9,0.000595675,0.00315092,0.00374659,45.4375
c21_8_d2.col,21,105,11,231,1449,OPTIMAL,9,0.000612835,0.00297741,0.00359025,45.4375
c55_1_d1.col,55,362,8,440,3446,OPTIMAL,7,0.000897746,0.00590713,0.00680488,45.98828
c55_2_d2.col,55,362,8,440,3446,OPTIMAL,7,0.00145496,0.00680878,0.00826374,45.98828
