name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,6400,42909,OPTIMAL,50,0.0165415,0.294217,0.310759,62.26953
GEOM100a.col,100,992,91,9100,101973,OPTIMAL,66,0.0297208,117.203,117.233,119.24219
GEOM100b.col,100,1050,121,12100,144251,OPTIMAL,71,0.052711,74.9831,75.0358,110.05078
GEOM110.col,110,638,64,7040,49523,OPTIMAL,50,0.0145157,0.429212,0.443727,64.78516
GEOM110a.col,110,1207,109,11990,148064,OPTIMAL,69,0.0519427,106.286,106.338,136.60156
GEOM110b.col,110,1256,121,13310,170237,OPTIMAL,77,0.0518997,334.114,334.166,161.66016
GEOM120.col,120,773,73,8760,66990,OPTIMAL,59,0.0219504,1.42239,1.44434,69.50781
GEOM120a.col,120,1434,109,13080,172747,OPTIMAL,82,0.0512345,228.397,228.448,161.32422
GEOM120b.col,120,1491,123,14760,203074,OPTIMAL,83,0.0614457,3233.29,3233.35,293.98438
GEOM20.col,20,20,24,480,1041,OPTIMAL,21,0.000515681,0.000710228,0.00122591,45.42578
GEOM20a.col,20,37,24,480,1469,OPTIMAL,20,0.000658112,0.00119094,0.00184905,45.36328
GEOM20b.col,20,32,16,320,913,OPTIMAL,13,0.000399958,0.000482945,0.000882903,45.35938
GEOM30.col,30,50,33,990,2821,OPTIMAL,28,0.00127931,0.00317676,0.00445607,45.42188
GEOM30a.col,30,81,32,960,3733,OPTIMAL,27,0.00157561,0.00716306,0.00873868,45.42578
GEOM30b.col,30,81,27,810,3058,OPTIMAL,26,0.00121848,0.00101999,0.00223847,45.42578
GEOM40.col,40,78,33,1320,4135,OPTIMAL,28,0.00188672,0.0036649,0.00555162,45.35938
GEOM40a.col,40,146,50,2000,9861,OPTIMAL,37,0.00416171,0.0184146,0.0225763,45.36328
GEOM40b.col,40,157,40,1600,8201,OPTIMAL,33,0.00354868,0.0110328,0.0145815,45.36328
GEOM50.col,50,127,36,1800,6823,OPTIMAL,28,0.00298882,0.00407361,0.00706243,45.91406
GEOM50a.col,50,238,61,3050,18169,OPTIMAL,50,0.0068713,0.213143,0.220014,56.93359
GEOM50b.col,50,249,54,2700,17147,OPTIMAL,35,0.00482294,0.0783103,0.0831332,45.78906
GEOM60.col,60,185,36,2160,9061,OPTIMAL,33,0.00326505,0.0036441,0.00690915,45.23438
GEOM60a.col,60,339,61,3660,25060,OPTIMAL,50,0.00740241,0.220426,0.227829,58.65234
GEOM60b.col,60,366,63,3780,28219,OPTIMAL,41,0.00952825,0.934577,0.944105,59.32031
GEOM70.col,70,267,44,3080,15319,OPTIMAL,38,0.00523752,0.014444,0.0196815,45.55078
GEOM70a.col,70,459,72,5040,38929,OPTIMAL,61,0.0174728,1.34421,1.36168,62.31641
GEOM70b.col,70,488,76,5320,44509,OPTIMAL,47,0.0122879,2.00297,2.01525,62.75
GEOM80.col,80,349,54,4320,24287,OPTIMAL,41,0.00914614,0.0395329,0.048679,45.36328
GEOM80a.col,80,612,79,6320,56029,OPTIMAL,63,0.0161495,2.68228,2.69843,68.98047
GEOM80b.col,80,663,98,7840,75935,OPTIMAL,60,0.0261062,3.59822,3.62432,70.96875
GEOM90.col,90,441,54,4860,29485,OPTIMAL,46,0.0132775,0.0638313,0.0771088,45.91406
GEOM90a.col,90,789,80,7200,71941,OPTIMAL,63,0.0260066,4.72082,4.74682,72.5625
GEOM90b.col,90,860,109,9810,107241,OPTIMAL,69,0.0325311,25.8388,25.8713,87.76562
c21_1_d1.col,21,105,8,168,1051,OPTIMAL,7,0.000427229,0.00185902,0.00228625,45.36328
c21_1_d2.col,21,105,8,168,1051,OPTIMAL,7,0.000420032,0.00251548,0.00293551,45.72656
c21_2_d1.col,21,105,11,231,1450,OPTIMAL,9,0.000629008,0.00196908,0.00259808,45.42578
c21_2_d2.col,21,105,11,231,1450,OPTIMAL,9,0.000622649,0.00195892,0.00258157,45.72266
c21_3_d1.col,21,105,8,168,1051,OPTIMAL,7,0.000418769,0.00232759,0.00274635,45.91016
c21_3_d2.col,21,105,8,168,1051,OPTIMAL,7,0.000417297,0.00220725,0.00262455,45.72656
c21_4_d1.col,21,105,11,231,1450,OPTIMAL,9,0.000633258,0.00194776,0.00258101,45.72656
c21_4_d2.col,21,105,11,231,1450,OPTIMAL,9,0.000644319,0.00200917,0.00265349,45.42188
c21_5_d1.col,21,105,8,168,1051,OPTIMAL,7,0.00041813,0.00240309,0.00282122,45.55078
c21_5_d2.col,21,105,8,168,1051,OPTIMAL,7,0.000423022,0.00209936,0.00252238,45.91406
c21_6_d1.col,21,105,11,231,1450,OPTIMAL,9,0.000621917,0.00196326,0.00258517,45.35938
c21_6_d2.col,21,105,11,231,1450,OPTIMAL,9,0.00062997,0.00195475,0.00258472,45.48828
c21_7_d1.col,21,105,8,168,1051,OPTIMAL,7,0.000429862,0.00242715,0.00285701,46.03516
c21_7_d2.col,21,105,8,168,1051,OPTIMAL,7,0.000416104,0.00205128,0.00246738,45.36328
c21_8_d1.col,21,105,11,231,1450,OPTIMAL,9,0.000631898,0.00199075,0.00262265,45.36328
c21_8_d2.col,21,105,11,231,1450,OPTIMAL,9,0.000625624,0.00192354,0.00254916,45.36328
c55_1_d1.col,55,362,8,440,3447,OPTIMAL,7,0.00114981,0.00193991,0.00308973,45.97656
c55_2_d2.col,55,362,8,440,3447,OPTIMAL,7,0.00131635,0.00271526,0.0040316,45.42578
