name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,4900,31703,OPTIMAL,50,0.110319,0.705775,0.816094,65.28906
GEOM100a.col,100,992,91,6500,70980,OPTIMAL,66,0.45394,209.546,210.0,104.85156
GEOM100b.col,100,1050,121,7000,80500,OPTIMAL,71,1.15954,66.7403,67.8998,106.30859
GEOM110.col,110,638,64,5390,36652,OPTIMAL,50,0.129089,0.860828,0.989917,66.35938
GEOM110a.col,110,1207,109,7480,89556,OPTIMAL,69,0.985566,176.248,177.234,110.09375
GEOM110b.col,110,1256,121,8360,103816,OPTIMAL,77,1.27304,282.468,283.741,115.67578
GEOM120.col,120,773,73,6960,51794,OPTIMAL,59,0.181936,1.95178,2.13371,70.41406
GEOM120a.col,120,1434,109,9720,125874,OPTIMAL,82,0.867769,174.208,175.076,104.71484
GEOM120b.col,120,1491,123,9840,132102,OPTIMAL,83,1.42294,3011.88,3013.31,193.16797
GEOM20.col,20,20,24,400,800,OPTIMAL,21,0.000968246,0.0138635,0.0148318,45.14844
GEOM20a.col,20,37,24,380,1083,OPTIMAL,20,0.00102352,0.018583,0.0196065,45.76172
GEOM20b.col,20,32,16,240,624,OPTIMAL,13,0.000729621,0.0134891,0.0142187,45.4375
GEOM30.col,30,50,33,810,2160,OPTIMAL,28,0.00284288,0.0237259,0.0265688,45.3125
GEOM30a.col,30,81,32,780,2886,OPTIMAL,27,0.00522841,0.0299823,0.0352107,45.94922
GEOM30b.col,30,81,27,750,2775,OPTIMAL,26,0.00199802,0.0113861,0.0133841,45.52344
GEOM40.col,40,78,33,1080,3186,OPTIMAL,28,0.00439448,0.0270644,0.0314589,45.86328
GEOM40a.col,40,146,50,1440,6696,OPTIMAL,37,0.0193946,0.0933095,0.112704,52.46094
GEOM40b.col,40,157,40,1280,6304,OPTIMAL,33,0.0100473,0.0515834,0.0616307,45.39844
GEOM50.col,50,127,36,1350,4779,OPTIMAL,28,0.0109913,0.0486973,0.0596886,45.87109
GEOM50a.col,50,238,61,2450,14112,OPTIMAL,50,0.0364855,0.372811,0.409296,62.36719
GEOM50b.col,50,249,54,1700,10166,OPTIMAL,35,0.0466584,0.248088,0.294746,61.27734
GEOM60.col,60,185,36,1920,7840,OPTIMAL,33,0.00683652,0.0278015,0.0346381,45.4375
GEOM60a.col,60,339,61,2940,19551,OPTIMAL,50,0.0529173,0.461449,0.514366,62.87109
GEOM60b.col,60,366,63,2400,17040,OPTIMAL,41,0.0921877,1.18012,1.2723,63.99219
GEOM70.col,70,267,44,2590,12469,OPTIMAL,38,0.0185957,0.0630024,0.0815981,45.82422
GEOM70a.col,70,459,72,4200,31740,OPTIMAL,61,0.0859068,3.9915,4.07741,67.68359
GEOM70b.col,70,488,76,3220,25668,OPTIMAL,47,0.191252,3.25201,3.44326,67.07812
GEOM80.col,80,349,54,3200,17160,OPTIMAL,41,0.0555656,0.176385,0.23195,61.875
GEOM80a.col,80,612,79,4960,42904,OPTIMAL,63,0.164959,5.60505,5.77,71.08203
GEOM80b.col,80,663,98,4720,43837,OPTIMAL,60,0.428961,4.68165,5.11061,71.98438
GEOM90.col,90,441,54,4050,23895,OPTIMAL,46,0.0501317,0.20265,0.252782,63.39844
GEOM90a.col,90,789,80,5580,54498,OPTIMAL,63,0.226282,6.96969,7.19597,73.01172
GEOM90b.col,90,860,109,6120,64600,OPTIMAL,69,0.680889,28.7518,29.4327,79.98438
c21_1_d1.col,21,105,8,126,756,OPTIMAL,7,0.000467035,0.00974772,0.0102148,45.37891
c21_1_d2.col,21,105,8,126,756,OPTIMAL,7,0.000462586,0.00961164,0.0100742,45.39844
c21_2_d1.col,21,105,11,168,1008,OPTIMAL,9,0.000941979,0.0132557,0.0141977,45.39844
c21_2_d2.col,21,105,11,168,1008,OPTIMAL,9,0.000885349,0.0148905,0.0157759,45.92578
c21_3_d1.col,21,105,8,126,756,OPTIMAL,7,0.000297308,0.0101631,0.0104604,45.86328
c21_3_d2.col,21,105,8,126,756,OPTIMAL,7,0.00046244,0.00993474,0.0103972,45.76172
c21_4_d1.col,21,105,11,168,1008,OPTIMAL,9,0.000703167,0.0142134,0.0149166,45.14844
c21_4_d2.col,21,105,11,168,1008,OPTIMAL,9,0.000961303,0.0146582,0.0156195,45.4375
c21_5_d1.col,21,105,8,126,756,OPTIMAL,7,0.000461556,0.0102283,0.0106899,45.80859
c21_5_d2.col,21,105,8,126,756,OPTIMAL,7,0.000499078,0.00922269,0.00972177,45.94922
c21_6_d1.col,21,105,11,168,1008,OPTIMAL,9,0.000936679,0.0134046,0.0143413,45.5625
c21_6_d2.col,21,105,11,168,1008,OPTIMAL,9,0.000925557,0.0143507,0.0152763,45.44922
c21_7_d1.col,21,105,8,126,756,OPTIMAL,7,0.00045814,0.00930348,0.00976162,45.73828
c21_7_d2.col,21,105,8,126,756,OPTIMAL,7,0.000473982,0.0122978,0.0127718,45.46094
c21_8_d1.col,21,105,11,168,1008,OPTIMAL,9,0.000774424,0.0140142,0.0147886,46.07422
c21_8_d2.col,21,105,11,168,1008,OPTIMAL,9,0.00090879,0.013724,0.0146327,45.52344
c55_1_d1.col,55,362,8,330,2502,OPTIMAL,7,0.00177535,0.014031,0.0158064,46.375
c55_2_d2.col,55,362,8,330,2502,OPTIMAL,7,0.00178845,0.0139703,0.0157587,45.46094
