name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,4900,31704,OPTIMAL,50,0.117044,0.756328,0.873372,65.50391
GEOM100a.col,100,992,91,6500,70981,OPTIMAL,66,0.440898,252.767,253.208,98.65234
GEOM100b.col,100,1050,121,7000,80501,OPTIMAL,71,1.16037,86.1804,87.3408,94.38672
GEOM110.col,110,638,64,5390,36653,OPTIMAL,50,0.123753,0.999816,1.12357,66.22266
GEOM110a.col,110,1207,109,7480,89557,OPTIMAL,69,0.999426,167.896,168.895,110.21875
GEOM110b.col,110,1256,121,8360,103817,OPTIMAL,77,1.28111,229.402,230.683,118.10156
GEOM120.col,120,773,73,6960,51795,OPTIMAL,59,0.181057,2.12733,2.30839,70.16406
GEOM120a.col,120,1434,109,9720,125875,OPTIMAL,82,0.866531,159.059,159.925,104.55469
GEOM120b.col,120,1491,123,9840,132103,OPTIMAL,83,1.43226,2553.92,2555.35,190.58984
GEOM20.col,20,20,24,400,801,OPTIMAL,21,0.00100463,0.0142439,0.0152485,45.39453
GEOM20a.col,20,37,24,380,1084,OPTIMAL,20,0.00171412,0.0168223,0.0185365,45.88281
GEOM20b.col,20,32,16,240,625,OPTIMAL,13,0.000770992,0.0134923,0.0142633,45.19922
GEOM30.col,30,50,33,810,2161,OPTIMAL,28,0.0040515,0.0232953,0.0273468,45.32422
GEOM30a.col,30,81,32,780,2887,OPTIMAL,27,0.00520894,0.0328007,0.0380097,45.14453
GEOM30b.col,30,81,27,750,2776,OPTIMAL,26,0.00210277,0.0113993,0.0135021,45.75781
GEOM40.col,40,78,33,1080,3187,OPTIMAL,28,0.00358663,0.0262026,0.0297893,45.26172
GEOM40a.col,40,146,50,1440,6697,OPTIMAL,37,0.0193483,0.0934543,0.112803,52.50781
GEOM40b.col,40,157,40,1280,6305,OPTIMAL,33,0.00942109,0.0492095,0.0586306,45.51953
GEOM50.col,50,127,36,1350,4780,OPTIMAL,28,0.0118534,0.0471521,0.0590055,45.07812
GEOM50a.col,50,238,61,2450,14113,OPTIMAL,50,0.0348779,0.360308,0.395186,62.08594
GEOM50b.col,50,249,54,1700,10167,OPTIMAL,35,0.0502757,0.189464,0.23974,60.76953
GEOM60.col,60,185,36,1920,7841,OPTIMAL,33,0.00697103,0.0288484,0.0358194,45.32422
GEOM60a.col,60,339,61,2940,19552,OPTIMAL,50,0.0520854,0.456481,0.508566,63.02734
GEOM60b.col,60,366,63,2400,17041,OPTIMAL,41,0.0964899,1.32688,1.42337,64.44922
GEOM70.col,70,267,44,2590,12470,OPTIMAL,38,0.0221754,0.0656672,0.0878427,45.88281
GEOM70a.col,70,459,72,4200,31741,OPTIMAL,61,0.0829865,1.78076,1.86374,67.13672
GEOM70b.col,70,488,76,3220,25669,OPTIMAL,47,0.189885,2.47906,2.66894,66.67969
GEOM80.col,80,349,54,3200,17161,OPTIMAL,41,0.0570282,0.183977,0.241005,61.6875
GEOM80a.col,80,612,79,4960,42905,OPTIMAL,63,0.164622,3.70875,3.87337,70.07031
GEOM80b.col,80,663,98,4720,43838,OPTIMAL,60,0.429454,5.3849,5.81436,71.78516
GEOM90.col,90,441,54,4050,23896,OPTIMAL,46,0.0546365,0.211686,0.266322,63.10938
GEOM90a.col,90,789,80,5580,54499,OPTIMAL,63,0.222408,6.6718,6.89421,73.41406
GEOM90b.col,90,860,109,6120,64601,OPTIMAL,69,0.669714,47.773,48.4428,84.48438
c21_1_d1.col,21,105,8,126,757,OPTIMAL,7,0.000506975,0.00864775,0.00915472,45.45312
c21_1_d2.col,21,105,8,126,757,OPTIMAL,7,0.000455101,0.00944213,0.00989723,45.39453
c21_2_d1.col,21,105,11,168,1009,OPTIMAL,9,0.000960588,0.0128657,0.0138263,45.88281
c21_2_d2.col,21,105,11,168,1009,OPTIMAL,9,0.000809861,0.0131272,0.013937,45.44922
c21_3_d1.col,21,105,8,126,757,OPTIMAL,7,0.00028864,0.00954643,0.00983507,45.38672
c21_3_d2.col,21,105,8,126,757,OPTIMAL,7,0.000297893,0.00976108,0.010059,45.45703
c21_4_d1.col,21,105,11,168,1009,OPTIMAL,9,0.00057537,0.0129755,0.0135509,45.33203
c21_4_d2.col,21,105,11,168,1009,OPTIMAL,9,0.000717565,0.0126887,0.0134063,45.38672
c21_5_d1.col,21,105,8,126,757,OPTIMAL,7,0.00047249,0.00927373,0.00974622,44.89062
c21_5_d2.col,21,105,8,126,757,OPTIMAL,7,0.000502098,0.0102702,0.0107723,46.07031
c21_6_d1.col,21,105,11,168,1009,OPTIMAL,9,0.0009299,0.0131118,0.0140417,45.38672
c21_6_d2.col,21,105,11,168,1009,OPTIMAL,9,0.000572848,0.0130382,0.0136111,45.39453
c21_7_d1.col,21,105,8,126,757,OPTIMAL,7,0.000472389,0.00940744,0.00987983,45.9375
c21_7_d2.col,21,105,8,126,757,OPTIMAL,7,0.000284499,0.00957815,0.00986265,45.39453
c21_8_d1.col,21,105,11,168,1009,OPTIMAL,9,0.000598987,0.0132396,0.0138386,45.45703
c21_8_d2.col,21,105,11,168,1009,OPTIMAL,9,0.000948511,0.0124325,0.013381,45.39453
c55_1_d1.col,55,362,8,330,2503,OPTIMAL,7,0.00183708,0.0141034,0.0159404,45.20703
c55_2_d2.col,55,362,8,330,2503,OPTIMAL,7,0.00146383,0.0146695,0.0161333,45.45703
