name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,62008,OPTIMAL,50,0.017174,0.326942,0.344116,67.53906
GEOM100a.col,100,992,91,18200,129172,OPTIMAL,66,0.0434517,123.123,123.166,136.76172
GEOM100b.col,100,1050,121,24200,180450,OPTIMAL,71,0.0507649,52.036,52.0868,123.48047
GEOM110.col,110,638,64,14080,70532,OPTIMAL,50,0.0194029,0.364617,0.38402,70.32812
GEOM110a.col,110,1207,109,23980,183923,OPTIMAL,69,0.0513631,44.287,44.3383,111.26953
GEOM110b.col,110,1256,121,26620,210056,OPTIMAL,77,0.0559838,195.068,195.124,130.56641
GEOM120.col,120,773,73,17520,93149,OPTIMAL,59,0.0268129,1.33307,1.35988,75.91016
GEOM120a.col,120,1434,109,26160,211866,OPTIMAL,82,0.0624556,197.902,197.964,158.02734
GEOM120b.col,120,1491,123,29520,247233,OPTIMAL,83,0.0686367,2882.12,2882.19,293.75391
GEOM20.col,20,20,24,960,2460,OPTIMAL,21,0.00111612,0.000847968,0.00196409,45.52734
GEOM20a.col,20,37,24,960,2888,OPTIMAL,20,0.00115366,0.00133774,0.0024914,45.40234
GEOM20b.col,20,32,16,640,1852,OPTIMAL,13,0.000744117,0.000599799,0.00134392,46.01172
GEOM30.col,30,50,33,1980,5760,OPTIMAL,28,0.00233038,0.00483287,0.00716325,45.76172
GEOM30a.col,30,81,32,1920,6582,OPTIMAL,27,0.00227623,0.00286842,0.00514465,45.40234
GEOM30b.col,30,81,27,1620,5457,OPTIMAL,26,0.00227244,0.00127905,0.00355149,45.40234
GEOM40.col,40,78,33,2640,8054,OPTIMAL,28,0.00262588,0.0031998,0.00582568,45.33594
GEOM40a.col,40,146,50,4000,15820,OPTIMAL,37,0.00414252,0.0190433,0.0231858,45.33984
GEOM40b.col,40,157,40,3200,12960,OPTIMAL,33,0.00365002,0.0170088,0.0206589,45.33984
GEOM50.col,50,127,36,3600,12172,OPTIMAL,28,0.00352073,0.004312,0.00783274,45.33984
GEOM50a.col,50,238,61,6100,27268,OPTIMAL,50,0.00793667,0.238959,0.246896,60.02734
GEOM50b.col,50,249,54,5400,25196,OPTIMAL,35,0.00753004,0.13621,0.14374,57.69141
GEOM60.col,60,185,36,4320,15480,OPTIMAL,33,0.00427503,0.00489203,0.00916706,45.33594
GEOM60a.col,60,339,61,7320,35979,OPTIMAL,50,0.00972629,0.302603,0.312329,61.41016
GEOM60b.col,60,366,63,7560,39498,OPTIMAL,41,0.0105044,0.63955,0.650054,61.54297
GEOM70.col,70,267,44,6160,24488,OPTIMAL,38,0.00689685,0.0196705,0.0265673,45.21484
GEOM70a.col,70,459,72,10080,53978,OPTIMAL,61,0.0140924,1.42213,1.43622,66.76562
GEOM70b.col,70,488,76,10640,60398,OPTIMAL,47,0.0160483,1.37864,1.39469,66.09766
GEOM80.col,80,349,54,8640,37166,OPTIMAL,41,0.0110166,0.0582307,0.0692472,45.40234
GEOM80a.col,80,612,79,12640,74908,OPTIMAL,63,0.0200408,4.89175,4.91179,94.05078
GEOM80b.col,80,663,98,15680,99374,OPTIMAL,60,0.0264977,3.93497,3.96147,95.08984
GEOM90.col,90,441,54,9720,43974,OPTIMAL,46,0.0119889,0.0773167,0.0893056,45.40234
GEOM90a.col,90,789,80,14400,93450,OPTIMAL,63,0.0250722,5.04464,5.06971,96.84766
GEOM90b.col,90,860,109,19620,136580,OPTIMAL,69,0.0368641,24.1956,24.2324,113.69141
c21_1_d1.col,21,105,8,336,1533,OPTIMAL,7,0.00040025,0.00202208,0.00242233,46.01562
c21_1_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000581246,0.00232662,0.00290787,45.40234
c21_2_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000816235,0.00321937,0.0040356,45.82812
c21_2_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000671605,0.00313157,0.00380317,45.88672
c21_3_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000593213,0.00289702,0.00349023,45.39844
c21_3_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000570498,0.00295534,0.00352584,45.46484
c21_4_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000825268,0.00459723,0.0054225,45.89062
c21_4_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000816788,0.00327027,0.00408706,45.88672
c21_5_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000605631,0.00223633,0.00284196,45.40234
c21_5_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000574499,0.00293016,0.00350466,44.65234
c21_6_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000823617,0.00387216,0.00469577,45.39844
c21_6_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000822762,0.0036702,0.00449296,45.82812
c21_7_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000591478,0.002317,0.00290848,45.63672
c21_7_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000596694,0.00205829,0.00265499,45.40234
c21_8_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000819146,0.0039499,0.00476905,45.33984
c21_8_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000826961,0.00346403,0.00429099,45.33984
c55_1_d1.col,55,362,8,880,4711,OPTIMAL,7,0.001503,0.00522682,0.00672982,45.65234
c55_2_d2.col,55,362,8,880,4711,OPTIMAL,7,0.00169268,0.00654347,0.00823615,45.76562
