name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,62009,OPTIMAL,50,0.017312,0.327903,0.345215,65.55078
GEOM100a.col,100,992,91,18200,129173,OPTIMAL,66,0.0366631,189.985,190.021,142.32812
GEOM100b.col,100,1050,121,24200,180451,OPTIMAL,71,0.0499278,140.016,140.066,132.67578
GEOM110.col,110,638,64,14080,70533,OPTIMAL,50,0.0207498,0.370333,0.391083,69.15625
GEOM110a.col,110,1207,109,23980,183924,OPTIMAL,69,0.0572781,108.261,108.318,139.67969
GEOM110b.col,110,1256,121,26620,210057,OPTIMAL,77,0.0694039,239.344,239.413,145.06641
GEOM120.col,120,773,73,17520,93150,OPTIMAL,59,0.0290111,1.51568,1.54469,78.12891
GEOM120a.col,120,1434,109,26160,211867,OPTIMAL,82,0.0620901,155.854,155.916,136.62891
GEOM120b.col,120,1491,123,29520,247234,SATISFIABLE,83,0.0704988,3599.94,3600.01,315.19922
GEOM20.col,20,20,24,960,2461,OPTIMAL,21,0.00102013,0.000975853,0.00199599,45.48828
GEOM20a.col,20,37,24,960,2889,OPTIMAL,20,0.0011618,0.00133975,0.00250155,45.67578
GEOM20b.col,20,32,16,640,1853,OPTIMAL,13,0.000639062,0.000680796,0.00131986,45.78516
GEOM30.col,30,50,33,1980,5761,OPTIMAL,28,0.00229851,0.00487736,0.00717586,45.78516
GEOM30a.col,30,81,32,1920,6583,OPTIMAL,27,0.00216782,0.00323795,0.00540578,45.36328
GEOM30b.col,30,81,27,1620,5458,OPTIMAL,26,0.00204424,0.00106301,0.00310725,45.36328
GEOM40.col,40,78,33,2640,8055,OPTIMAL,28,0.00340661,0.0049729,0.00837952,45.91016
GEOM40a.col,40,146,50,4000,15821,OPTIMAL,37,0.00625825,0.022284,0.0285423,45.97656
GEOM40b.col,40,157,40,3200,12961,OPTIMAL,33,0.00502291,0.014287,0.01931,45.78906
GEOM50.col,50,127,36,3600,12173,OPTIMAL,28,0.00475409,0.00649633,0.0112504,45.30078
GEOM50a.col,50,238,61,6100,27269,OPTIMAL,50,0.0111336,0.276276,0.28741,59.41016
GEOM50b.col,50,249,54,5400,25197,OPTIMAL,35,0.010425,0.0645449,0.0749699,45.91406
GEOM60.col,60,185,36,4320,15481,OPTIMAL,33,0.00396707,0.00504223,0.00900929,45.17188
GEOM60a.col,60,339,61,7320,35980,OPTIMAL,50,0.0100692,0.268988,0.279057,61.10156
GEOM60b.col,60,366,63,7560,39499,OPTIMAL,41,0.0116385,0.741223,0.752861,61.49609
GEOM70.col,70,267,44,6160,24489,OPTIMAL,38,0.00733491,0.0178779,0.0252128,44.86328
GEOM70a.col,70,459,72,10080,53979,OPTIMAL,61,0.0148081,1.46367,1.47848,67.05078
GEOM70b.col,70,488,76,10640,60399,OPTIMAL,47,0.0163555,1.42183,1.43819,66.4375
GEOM80.col,80,349,54,8640,37167,OPTIMAL,41,0.0108573,0.0471325,0.0579898,45.42578
GEOM80a.col,80,612,79,12640,74909,OPTIMAL,63,0.0254876,3.1082,3.13369,89.30859
GEOM80b.col,80,663,98,15680,99375,OPTIMAL,60,0.0331151,3.17127,3.20439,92.28125
GEOM90.col,90,441,54,9720,43975,OPTIMAL,46,0.0137758,0.0752573,0.0890331,45.42578
GEOM90a.col,90,789,80,14400,93451,OPTIMAL,63,0.028977,6.26643,6.2954,97.40625
GEOM90b.col,90,860,109,19620,136581,OPTIMAL,69,0.0388972,22.6827,22.7216,105.19141
c21_1_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000366902,0.00181225,0.00217915,46.03906
c21_1_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000514671,0.00266909,0.00318376,45.42578
c21_2_d1.col,21,105,11,462,2122,OPTIMAL,9,0.00077975,0.00243906,0.00321881,45.17578
c21_2_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000801983,0.00206844,0.00287042,46.03516
c21_3_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000584155,0.00181224,0.0023964,45.91016
c21_3_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000511375,0.00267062,0.00318199,45.36328
c21_4_d1.col,21,105,11,462,2122,OPTIMAL,9,0.00077585,0.00230281,0.00307866,45.55078
c21_4_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000835514,0.00190075,0.00273627,45.72266
c21_5_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000530066,0.00258034,0.0031104,45.42578
c21_5_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000516869,0.00251994,0.00303681,45.78906
c21_6_d1.col,21,105,11,462,2122,OPTIMAL,9,0.0007841,0.00230691,0.00309101,45.78516
c21_6_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000769532,0.00233579,0.00310532,45.42578
c21_7_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000354593,0.00202355,0.00237814,45.95312
c21_7_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000595259,0.00179904,0.0023943,45.30078
c21_8_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000796475,0.00235122,0.00314769,45.91406
c21_8_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000774149,0.00199156,0.0027657,45.36328
c55_1_d1.col,55,362,8,880,4712,OPTIMAL,7,0.00132537,0.00269897,0.00402434,45.91406
c55_2_d2.col,55,362,8,880,4712,OPTIMAL,7,0.00146874,0.00389753,0.00536627,45.91406
