name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,62008,OPTIMAL,50,0.0171028,0.330799,0.347902,67.50781
GEOM100a.col,100,992,91,18200,129172,OPTIMAL,66,0.0474495,69.6814,69.7289,102.22266
GEOM100b.col,100,1050,121,24200,180450,OPTIMAL,71,0.0530167,58.935,58.988,119.08594
GEOM110.col,110,638,64,14080,70532,OPTIMAL,50,0.0180704,0.509612,0.527683,70.28125
GEOM110a.col,110,1207,109,23980,183923,OPTIMAL,69,0.0545563,215.363,215.418,168.21484
GEOM110b.col,110,1256,121,26620,210056,OPTIMAL,77,0.0559939,234.118,234.174,135.92188
GEOM120.col,120,773,73,17520,93149,OPTIMAL,59,0.0263298,1.39266,1.41899,75.05859
GEOM120a.col,120,1434,109,26160,211866,OPTIMAL,82,0.0603701,136.836,136.896,143.01953
GEOM120b.col,120,1491,123,29520,247233,OPTIMAL,83,0.0675465,2787.83,2787.9,298.20703
GEOM20.col,20,20,24,960,2460,OPTIMAL,21,0.00100478,0.0013317,0.00233647,45.41016
GEOM20a.col,20,37,24,960,2888,OPTIMAL,20,0.00111942,0.00173486,0.00285428,45.41016
GEOM20b.col,20,32,16,640,1852,OPTIMAL,13,0.00073694,0.000598518,0.00133546,45.34375
GEOM30.col,30,50,33,1980,5760,OPTIMAL,28,0.00183116,0.00298587,0.00481702,45.34375
GEOM30a.col,30,81,32,1920,6582,OPTIMAL,27,0.00158707,0.00279964,0.00438671,45.89844
GEOM30b.col,30,81,27,1620,5457,OPTIMAL,26,0.00187171,0.000961271,0.00283298,45.41016
GEOM40.col,40,78,33,2640,8054,OPTIMAL,28,0.00250245,0.00340338,0.00590584,45.89453
GEOM40a.col,40,146,50,4000,15820,OPTIMAL,37,0.00483442,0.0191934,0.0240278,45.71094
GEOM40b.col,40,157,40,3200,12960,OPTIMAL,33,0.00367094,0.017139,0.02081,45.47266
GEOM50.col,50,127,36,3600,12172,OPTIMAL,28,0.00464007,0.00615595,0.010796,45.47266
GEOM50a.col,50,238,61,6100,27268,OPTIMAL,50,0.0113277,0.252803,0.264131,60.09375
GEOM50b.col,50,249,54,5400,25196,OPTIMAL,35,0.00675443,0.144055,0.150809,58.0625
GEOM60.col,60,185,36,4320,15480,OPTIMAL,33,0.00463571,0.00456719,0.0092029,45.34375
GEOM60a.col,60,339,61,7320,35979,OPTIMAL,50,0.00956507,0.249741,0.259306,61.07422
GEOM60b.col,60,366,63,7560,39498,OPTIMAL,41,0.0119413,0.524077,0.536018,60.5625
GEOM70.col,70,267,44,6160,24488,OPTIMAL,38,0.00618901,0.019686,0.025875,45.77344
GEOM70a.col,70,459,72,10080,53978,OPTIMAL,61,0.0142536,2.21581,2.23006,67.87891
GEOM70b.col,70,488,76,10640,60398,OPTIMAL,47,0.0152382,1.33273,1.34797,65.68359
GEOM80.col,80,349,54,8640,37166,OPTIMAL,41,0.0139772,0.058366,0.0723432,45.34766
GEOM80a.col,80,612,79,12640,74908,OPTIMAL,63,0.021081,4.6744,4.69548,89.30078
GEOM80b.col,80,663,98,15680,99374,OPTIMAL,60,0.0263225,3.27522,3.30155,91.38281
GEOM90.col,90,441,54,9720,43974,OPTIMAL,46,0.011385,0.0802286,0.0916136,45.34766
GEOM90a.col,90,789,80,14400,93450,OPTIMAL,63,0.0256891,5.77575,5.80144,99.83203
GEOM90b.col,90,860,109,19620,136580,OPTIMAL,69,0.048036,24.8348,24.8829,110.87109
c21_1_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000612613,0.00363365,0.00424626,45.41016
c21_1_d2.col,21,105,8,336,1533,OPTIMAL,7,0.00054912,0.00414838,0.0046975,44.09375
c21_2_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000522319,0.00304826,0.00357058,45.34766
c21_2_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000792801,0.00386683,0.00465963,45.88281
c21_3_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000344892,0.00367282,0.00401771,45.34375
c21_3_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000522917,0.00523058,0.0057535,45.34766
c21_4_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000514779,0.00315413,0.0036689,45.77344
c21_4_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000797971,0.00329234,0.00409031,45.28125
c21_5_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000564305,0.00541447,0.00597877,45.47266
c21_5_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000534251,0.0043897,0.00492396,45.89844
c21_6_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000781073,0.00319957,0.00398064,45.15625
c21_6_d2.col,21,105,11,462,2121,OPTIMAL,9,0.00077045,0.0039098,0.00468025,45.83594
c21_7_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000534369,0.00371056,0.00424493,45.81641
c21_7_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000537129,0.00531905,0.00585617,45.34766
c21_8_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000905334,0.0031509,0.00405624,45.34766
c21_8_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000522158,0.00332592,0.00384808,45.34766
c55_1_d1.col,55,362,8,880,4711,OPTIMAL,7,0.000960262,0.00281378,0.00377404,45.41016
c55_2_d2.col,55,362,8,880,4711,OPTIMAL,7,0.00141713,0.00288147,0.00429859,45.77344
