name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,62009,OPTIMAL,50,0.0161113,0.390837,0.406949,66.73828
GEOM100a.col,100,992,91,18200,129173,OPTIMAL,66,0.0439152,71.3996,71.4435,115.82422
GEOM100b.col,100,1050,121,24200,180451,OPTIMAL,71,0.0481135,61.7094,61.7575,118.03906
GEOM110.col,110,638,64,14080,70533,OPTIMAL,50,0.0195713,0.464676,0.484247,68.9375
GEOM110a.col,110,1207,109,23980,183924,OPTIMAL,69,0.050919,101.553,101.604,134.02734
GEOM110b.col,110,1256,121,26620,210057,OPTIMAL,77,0.0585092,230.162,230.221,148.33203
GEOM120.col,120,773,73,17520,93150,OPTIMAL,59,0.0269444,1.47418,1.50113,79.00391
GEOM120a.col,120,1434,109,26160,211867,OPTIMAL,82,0.0605297,179.753,179.813,152.84375
GEOM120b.col,120,1491,123,29520,247234,SATISFIABLE,83,0.0682234,3599.93,3600.0,345.18359
GEOM20.col,20,20,24,960,2461,OPTIMAL,21,0.00101179,0.0011279,0.00213969,45.59375
GEOM20a.col,20,37,24,960,2889,OPTIMAL,20,0.00114066,0.00135535,0.00249601,45.40625
GEOM20b.col,20,32,16,640,1853,OPTIMAL,13,0.000751835,0.000481225,0.00123306,45.89062
GEOM30.col,30,50,33,1980,5761,OPTIMAL,28,0.0024002,0.00413411,0.00653431,45.33984
GEOM30a.col,30,81,32,1920,6583,OPTIMAL,27,0.00241162,0.00407054,0.00648216,45.40625
GEOM30b.col,30,81,27,1620,5458,OPTIMAL,26,0.00218699,0.00140606,0.00359306,45.34375
GEOM40.col,40,78,33,2640,8055,OPTIMAL,28,0.00339964,0.00509934,0.00849899,45.89062
GEOM40a.col,40,146,50,4000,15821,OPTIMAL,37,0.00507179,0.0193986,0.0244704,45.53125
GEOM40b.col,40,157,40,3200,12961,OPTIMAL,33,0.00402297,0.0105074,0.0145303,45.83203
GEOM50.col,50,127,36,3600,12173,OPTIMAL,28,0.00300306,0.00434456,0.00734762,45.83203
GEOM50a.col,50,238,61,6100,27269,OPTIMAL,50,0.0112993,0.287949,0.299248,58.94922
GEOM50b.col,50,249,54,5400,25197,OPTIMAL,35,0.00650361,0.0656694,0.072173,45.89453
GEOM60.col,60,185,36,4320,15481,OPTIMAL,33,0.00650126,0.00746574,0.013967,45.82812
GEOM60a.col,60,339,61,7320,35980,OPTIMAL,50,0.00935257,0.254498,0.26385,61.34375
GEOM60b.col,60,366,63,7560,39499,OPTIMAL,41,0.0102645,0.698768,0.709033,61.60547
GEOM70.col,70,267,44,6160,24489,OPTIMAL,38,0.00698531,0.0180784,0.0250637,45.34375
GEOM70a.col,70,459,72,10080,53979,OPTIMAL,61,0.0141252,1.15075,1.16487,68.96875
GEOM70b.col,70,488,76,10640,60399,OPTIMAL,47,0.0234806,1.69981,1.72329,67.4375
GEOM80.col,80,349,54,8640,37167,OPTIMAL,41,0.0150884,0.0473693,0.0624577,45.83203
GEOM80a.col,80,612,79,12640,74909,OPTIMAL,63,0.0204975,2.52986,2.55036,93.87109
GEOM80b.col,80,663,98,15680,99375,OPTIMAL,60,0.0266678,2.88544,2.91211,94.33594
GEOM90.col,90,441,54,9720,43975,OPTIMAL,46,0.0145477,0.0721648,0.0867125,45.83203
GEOM90a.col,90,789,80,14400,93451,OPTIMAL,63,0.0250866,6.2751,6.30019,97.22266
GEOM90b.col,90,860,109,19620,136581,OPTIMAL,69,0.0369347,28.3013,28.3382,111.16797
c21_1_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000608716,0.001805,0.00241371,45.83203
c21_1_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000414604,0.00122834,0.00164294,45.34375
c21_2_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000812368,0.00229482,0.00310719,45.34375
c21_2_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000836872,0.00209192,0.00292879,45.95312
c21_3_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000584923,0.00178079,0.00236571,45.82812
c21_3_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000560461,0.00185182,0.00241228,45.34375
c21_4_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000524787,0.00157066,0.00209545,45.40625
c21_4_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000843578,0.00230608,0.00314966,45.82812
c21_5_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000594884,0.00181514,0.00241002,45.89453
c21_5_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000581266,0.00186175,0.00244301,45.40625
c21_6_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000691021,0.00160771,0.00229873,45.89062
c21_6_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000816957,0.0022287,0.00304566,46.01953
c21_7_d1.col,21,105,8,336,1534,OPTIMAL,7,0.0005178,0.00140452,0.00192232,45.38672
c21_7_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000561762,0.00176269,0.00232445,45.34375
c21_8_d1.col,21,105,11,462,2122,OPTIMAL,9,0.00082797,0.0017719,0.00259987,45.34375
c21_8_d2.col,21,105,11,462,2122,OPTIMAL,9,0.00080487,0.00225003,0.0030549,45.15625
c55_1_d1.col,55,362,8,880,4712,OPTIMAL,7,0.00165136,0.00453089,0.00618225,45.40625
c55_2_d2.col,55,362,8,880,4712,OPTIMAL,7,0.0016897,0.00434958,0.00603928,45.40625
