name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,62008,OPTIMAL,50,0.0172861,0.32596,0.343246,67.55469
GEOM100a.col,100,992,91,18200,129172,OPTIMAL,66,0.042687,124.049,124.091,136.86328
GEOM100b.col,100,1050,121,24200,180450,OPTIMAL,71,0.0490498,52.6762,52.7253,123.52344
GEOM110.col,110,638,64,14080,70532,OPTIMAL,50,0.0230131,0.369676,0.392689,70.47266
GEOM110a.col,110,1207,109,23980,183923,OPTIMAL,69,0.0559437,44.2333,44.2892,111.32812
GEOM110b.col,110,1256,121,26620,210056,OPTIMAL,77,0.0561247,198.489,198.545,141.48828
GEOM120.col,120,773,73,17520,93149,OPTIMAL,59,0.0288769,1.37925,1.40813,75.99219
GEOM120a.col,120,1434,109,26160,211866,OPTIMAL,82,0.0627717,200.757,200.82,158.08203
GEOM120b.col,120,1491,123,29520,247233,OPTIMAL,83,0.072449,2900.89,2900.96,293.86328
GEOM20.col,20,20,24,960,2460,OPTIMAL,21,0.0010201,0.00129469,0.0023148,45.76172
GEOM20a.col,20,37,24,960,2888,OPTIMAL,20,0.00114849,0.00181144,0.00295993,45.875
GEOM20b.col,20,32,16,640,1852,OPTIMAL,13,0.00076271,0.000532481,0.00129519,45.31641
GEOM30.col,30,50,33,1980,5760,OPTIMAL,28,0.00237325,0.00483267,0.00720593,45.37891
GEOM30a.col,30,81,32,1920,6582,OPTIMAL,27,0.00188778,0.00283654,0.00472431,45.39844
GEOM30b.col,30,81,27,1620,5457,OPTIMAL,26,0.0019742,0.000988304,0.0029625,45.39844
GEOM40.col,40,78,33,2640,8054,OPTIMAL,28,0.00259231,0.00325695,0.00584925,45.44141
GEOM40a.col,40,146,50,4000,15820,OPTIMAL,37,0.00476924,0.0195856,0.0243549,45.39844
GEOM40b.col,40,157,40,3200,12960,OPTIMAL,33,0.00532862,0.0222214,0.02755,45.39844
GEOM50.col,50,127,36,3600,12172,OPTIMAL,28,0.00491546,0.00626073,0.0111762,45.87109
GEOM50a.col,50,238,61,6100,27268,OPTIMAL,50,0.00792893,0.23592,0.243849,60.12109
GEOM50b.col,50,249,54,5400,25196,OPTIMAL,35,0.00688313,0.132646,0.13953,57.78906
GEOM60.col,60,185,36,4320,15480,OPTIMAL,33,0.00454582,0.00469668,0.0092425,45.37891
GEOM60a.col,60,339,61,7320,35979,OPTIMAL,50,0.00954978,0.302254,0.311804,61.59766
GEOM60b.col,60,366,63,7560,39498,OPTIMAL,41,0.0105965,0.638762,0.649358,61.54297
GEOM70.col,70,267,44,6160,24488,OPTIMAL,38,0.00640304,0.0193776,0.0257807,45.39844
GEOM70a.col,70,459,72,10080,53978,OPTIMAL,61,0.015224,1.39521,1.41043,68.73828
GEOM70b.col,70,488,76,10640,60398,OPTIMAL,47,0.022628,1.3873,1.40992,66.07422
GEOM80.col,80,349,54,8640,37166,OPTIMAL,41,0.0124656,0.0578334,0.070299,45.80859
GEOM80a.col,80,612,79,12640,74908,OPTIMAL,63,0.0209776,5.02316,5.04414,94.16797
GEOM80b.col,80,663,98,15680,99374,OPTIMAL,60,0.0267402,4.0601,4.08684,95.20703
GEOM90.col,90,441,54,9720,43974,OPTIMAL,46,0.0187522,0.0768109,0.0955631,45.38281
GEOM90a.col,90,789,80,14400,93450,OPTIMAL,63,0.0244551,5.09097,5.11542,96.87109
GEOM90b.col,90,860,109,19620,136580,OPTIMAL,69,0.0371414,24.4022,24.4394,113.71094
c21_1_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000586867,0.00283997,0.00342684,45.38281
c21_1_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000590839,0.00282113,0.00341196,45.39844
c21_2_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000826609,0.00462309,0.00544969,45.39844
c21_2_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000856872,0.00331654,0.00417341,45.44141
c21_3_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000404678,0.00190636,0.00231104,45.37891
c21_3_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000591647,0.00277741,0.00336905,45.39844
c21_4_d1.col,21,105,11,462,2121,OPTIMAL,9,0.00071238,0.00318075,0.00389313,45.94922
c21_4_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000819325,0.00453062,0.00534994,45.37891
c21_5_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000584204,0.00294007,0.00352427,45.38281
c21_5_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000591932,0.00285899,0.00345093,45.58594
c21_6_d1.col,21,105,11,462,2121,OPTIMAL,9,0.00082123,0.00448658,0.00530781,45.44141
c21_6_d2.col,21,105,11,462,2121,OPTIMAL,9,0.00084788,0.00435453,0.00520241,45.69531
c21_7_d1.col,21,105,8,336,1533,OPTIMAL,7,0.00058985,0.00292826,0.00351811,46.30469
c21_7_d2.col,21,105,8,336,1533,OPTIMAL,7,0.00058762,0.00262597,0.00321359,45.82422
c21_8_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000822692,0.00339564,0.00421833,45.46094
c21_8_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000823103,0.00378608,0.00460918,45.52344
c55_1_d1.col,55,362,8,880,4711,OPTIMAL,7,0.00107052,0.00508613,0.00615664,45.44531
c55_2_d2.col,55,362,8,880,4711,OPTIMAL,7,0.00168525,0.00801137,0.00969662,45.82422
