name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,62008,OPTIMAL,50,0.02615,0.328119,0.354269,67.52734
GEOM100a.col,100,992,91,18200,129172,OPTIMAL,66,0.0403497,168.515,168.555,143.37891
GEOM100b.col,100,1050,121,24200,180450,OPTIMAL,71,0.049937,68.4369,68.4869,122.65625
GEOM110.col,110,638,64,14080,70532,OPTIMAL,50,0.0243784,0.503874,0.528252,70.32422
GEOM110a.col,110,1207,109,23980,183923,OPTIMAL,69,0.060699,67.4867,67.5474,123.41797
GEOM110b.col,110,1256,121,26620,210056,OPTIMAL,77,0.0581613,219.727,219.785,142.19922
GEOM120.col,120,773,73,17520,93149,OPTIMAL,59,0.0266678,1.33028,1.35694,75.17188
GEOM120a.col,120,1434,109,26160,211866,OPTIMAL,82,0.060879,139.162,139.223,139.30469
GEOM120b.col,120,1491,123,29520,247233,OPTIMAL,83,0.0763214,3013.25,3013.33,288.58203
GEOM20.col,20,20,24,960,2460,OPTIMAL,21,0.00100339,0.00127707,0.00228046,45.80859
GEOM20a.col,20,37,24,960,2888,OPTIMAL,20,0.000744911,0.00106663,0.00181154,45.44531
GEOM20b.col,20,32,16,640,1852,OPTIMAL,13,0.000518414,0.000346195,0.000864609,45.80469
GEOM30.col,30,50,33,1980,5760,OPTIMAL,28,0.00236353,0.00453345,0.00689698,45.86719
GEOM30a.col,30,81,32,1920,6582,OPTIMAL,27,0.00252075,0.00263143,0.00515218,45.50781
GEOM30b.col,30,81,27,1620,5457,OPTIMAL,26,0.00219296,0.000912079,0.00310504,45.44531
GEOM40.col,40,78,33,2640,8054,OPTIMAL,28,0.00336704,0.00506313,0.00843017,45.37891
GEOM40a.col,40,146,50,4000,15820,OPTIMAL,37,0.00466776,0.0191229,0.0237906,45.38281
GEOM40b.col,40,157,40,3200,12960,OPTIMAL,33,0.0040536,0.0168112,0.0208648,45.44531
GEOM50.col,50,127,36,3600,12172,OPTIMAL,28,0.00492608,0.00604031,0.0109664,45.93359
GEOM50a.col,50,238,61,6100,27268,OPTIMAL,50,0.00763328,0.248006,0.255639,60.10156
GEOM50b.col,50,249,54,5400,25196,OPTIMAL,35,0.00904168,0.144598,0.153639,58.13281
GEOM60.col,60,185,36,4320,15480,OPTIMAL,33,0.00690494,0.00730972,0.0142147,45.37891
GEOM60a.col,60,339,61,7320,35979,OPTIMAL,50,0.00952221,0.247812,0.257334,61.125
GEOM60b.col,60,366,63,7560,39498,OPTIMAL,41,0.0113612,0.586499,0.597861,61.04297
GEOM70.col,70,267,44,6160,24488,OPTIMAL,38,0.0100905,0.0283889,0.0384794,45.38281
GEOM70a.col,70,459,72,10080,53978,OPTIMAL,61,0.0237115,2.19689,2.2206,67.9375
GEOM70b.col,70,488,76,10640,60398,OPTIMAL,47,0.0183662,1.41383,1.43219,65.63281
GEOM80.col,80,349,54,8640,37166,OPTIMAL,41,0.0163576,0.0594166,0.0757743,46.05859
GEOM80a.col,80,612,79,12640,74908,OPTIMAL,63,0.020514,4.77649,4.797,89.42188
GEOM80b.col,80,663,98,15680,99374,OPTIMAL,60,0.0264081,3.24153,3.26794,91.42578
GEOM90.col,90,441,54,9720,43974,OPTIMAL,46,0.011619,0.0789576,0.0905766,45.44531
GEOM90a.col,90,789,80,14400,93450,OPTIMAL,63,0.0256209,4.88287,4.90849,99.4375
GEOM90b.col,90,860,109,19620,136580,OPTIMAL,69,0.0412211,29.8823,29.9235,112.54297
c21_1_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000359305,0.00344605,0.00380535,45.44531
c21_1_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000533486,0.00513212,0.0056656,45.44531
c21_2_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000782147,0.00468499,0.00546714,45.80859
c21_2_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000794152,0.0045982,0.00539235,45.44141
c21_3_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000546404,0.00526624,0.00581264,45.92969
c21_3_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000541576,0.0042777,0.00481927,45.44531
c21_4_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000800081,0.00460376,0.00540384,45.38281
c21_4_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000790751,0.00465789,0.00544865,45.92969
c21_5_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000543337,0.00540672,0.00595006,45.93359
c21_5_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000533705,0.00526971,0.00580342,45.32031
c21_6_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000778247,0.00488767,0.00566592,45.86719
c21_6_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000777347,0.00454828,0.00532562,45.44531
c21_7_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000562848,0.00536785,0.0059307,45.99219
c21_7_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000528995,0.00533622,0.00586521,45.44531
c21_8_d1.col,21,105,11,462,2121,OPTIMAL,9,0.00079588,0.00470708,0.00550296,45.44531
c21_8_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000790566,0.00467312,0.00546368,45.44531
c55_1_d1.col,55,362,8,880,4711,OPTIMAL,7,0.00158081,0.00283229,0.00441309,45.50781
c55_2_d2.col,55,362,8,880,4711,OPTIMAL,7,0.00147459,0.00407524,0.00554984,45.44531
