name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,62009,OPTIMAL,50,0.0205917,0.324852,0.345443,65.50391
GEOM100a.col,100,992,91,18200,129173,OPTIMAL,66,0.0411999,173.92,173.961,133.28516
GEOM100b.col,100,1050,121,24200,180451,OPTIMAL,71,0.0516227,127.441,127.493,132.64062
GEOM110.col,110,638,64,14080,70533,OPTIMAL,50,0.0203627,0.359807,0.380169,69.14062
GEOM110a.col,110,1207,109,23980,183924,OPTIMAL,69,0.0498132,107.356,107.406,139.65625
GEOM110b.col,110,1256,121,26620,210057,OPTIMAL,77,0.0574755,237.719,237.776,144.95312
GEOM120.col,120,773,73,17520,93150,OPTIMAL,59,0.0276397,1.44776,1.4754,78.12891
GEOM120a.col,120,1434,109,26160,211867,OPTIMAL,82,0.0586369,155.439,155.498,136.62109
GEOM120b.col,120,1491,123,29520,247234,SATISFIABLE,83,0.0803534,3599.92,3600.0,313.94922
GEOM20.col,20,20,24,960,2461,OPTIMAL,21,0.0010043,0.000868962,0.00187326,45.46094
GEOM20a.col,20,37,24,960,2889,OPTIMAL,20,0.000999623,0.000894839,0.00189446,45.39844
GEOM20b.col,20,32,16,640,1853,OPTIMAL,13,0.000733565,0.000501531,0.0012351,45.45703
GEOM30.col,30,50,33,1980,5761,OPTIMAL,28,0.00202711,0.00308572,0.00511283,45.51953
GEOM30a.col,30,81,32,1920,6583,OPTIMAL,27,0.00243525,0.00470901,0.00714426,46.01172
GEOM30b.col,30,81,27,1620,5458,OPTIMAL,26,0.00174061,0.000837611,0.00257822,45.39844
GEOM40.col,40,78,33,2640,8055,OPTIMAL,28,0.00275009,0.00325884,0.00600893,45.88281
GEOM40a.col,40,146,50,4000,15821,OPTIMAL,37,0.00452238,0.0191876,0.0237099,45.39844
GEOM40b.col,40,157,40,3200,12961,OPTIMAL,33,0.0042631,0.00990752,0.0141706,45.39844
GEOM50.col,50,127,36,3600,12173,OPTIMAL,28,0.00393875,0.00416442,0.00810317,45.46094
GEOM50a.col,50,238,61,6100,27269,OPTIMAL,50,0.00984393,0.274117,0.283961,59.34766
GEOM50b.col,50,249,54,5400,25197,OPTIMAL,35,0.00690266,0.0588803,0.065783,45.64844
GEOM60.col,60,185,36,4320,15481,OPTIMAL,33,0.00598918,0.0044664,0.0104556,45.45703
GEOM60a.col,60,339,61,7320,35980,OPTIMAL,50,0.00979553,0.26503,0.274826,61.06641
GEOM60b.col,60,366,63,7560,39499,OPTIMAL,41,0.00991977,0.689818,0.699737,61.53516
GEOM70.col,70,267,44,6160,24489,OPTIMAL,38,0.0072461,0.0176873,0.0249334,45.82422
GEOM70a.col,70,459,72,10080,53979,OPTIMAL,61,0.0153729,1.5004,1.51578,68.86719
GEOM70b.col,70,488,76,10640,60399,OPTIMAL,47,0.0159186,1.3628,1.37872,66.40625
GEOM80.col,80,349,54,8640,37167,OPTIMAL,41,0.0154387,0.0472307,0.0626694,45.82422
GEOM80a.col,80,612,79,12640,74909,OPTIMAL,63,0.0205274,3.0772,3.09773,89.26172
GEOM80b.col,80,663,98,15680,99375,OPTIMAL,60,0.0265542,3.10495,3.1315,91.875
GEOM90.col,90,441,54,9720,43975,OPTIMAL,46,0.016398,0.0744365,0.0908344,45.71094
GEOM90a.col,90,789,80,14400,93451,OPTIMAL,63,0.026975,6.20996,6.23694,97.42578
GEOM90b.col,90,860,109,19620,136581,OPTIMAL,69,0.0369739,22.8827,22.9197,105.17969
c21_1_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000541697,0.00239456,0.00293626,45.46094
c21_1_d2.col,21,105,8,336,1534,OPTIMAL,7,0.00053661,0.00235897,0.00289558,45.39844
c21_2_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000800363,0.00231002,0.00311038,45.39844
c21_2_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000791141,0.00190861,0.00269975,45.75781
c21_3_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000531642,0.00267808,0.00320972,45.45703
c21_3_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000522038,0.00262004,0.00314208,45.46094
c21_4_d1.col,21,105,11,462,2122,OPTIMAL,9,0.00078232,0.00235364,0.00313596,45.39844
c21_4_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000786009,0.00194429,0.0027303,45.51953
c21_5_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000530418,0.00262166,0.00315208,45.94922
c21_5_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000515535,0.00205692,0.00257246,45.39844
c21_6_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000794748,0.00229013,0.00308488,45.75781
c21_6_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000807937,0.00229226,0.00310019,45.27344
c21_7_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000521064,0.00253009,0.00305115,45.87109
c21_7_d2.col,21,105,8,336,1534,OPTIMAL,7,0.00052025,0.00207506,0.00259531,45.88672
c21_8_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000797375,0.00213075,0.00292812,45.46094
c21_8_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000533312,0.00168921,0.00222252,45.39844
c55_1_d1.col,55,362,8,880,4712,OPTIMAL,7,0.0011652,0.00263743,0.00380263,45.94922
c55_2_d2.col,55,362,8,880,4712,OPTIMAL,7,0.00150658,0.00361289,0.00511947,45.88672
