name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,9800,46303,OPTIMAL,50,0.149044,0.958842,1.10789,67.42969
GEOM100a.col,100,992,91,13000,90380,OPTIMAL,66,0.482375,190.908,191.39,98.27344
GEOM100b.col,100,1050,121,14000,101400,OPTIMAL,71,1.18782,100.845,102.032,101.90625
GEOM110.col,110,638,64,10780,52712,OPTIMAL,50,0.165985,0.980509,1.14649,69.85938
GEOM110a.col,110,1207,109,14960,111886,OPTIMAL,69,1.03486,166.153,167.188,119.27344
GEOM110b.col,110,1256,121,16720,128786,OPTIMAL,77,1.28753,228.237,229.525,144.54297
GEOM120.col,120,773,73,13920,72554,OPTIMAL,59,0.228984,2.74864,2.97763,73.27344
GEOM120a.col,120,1434,109,19440,154914,OPTIMAL,82,0.88276,204.922,205.805,140.32422
GEOM120b.col,120,1491,123,19680,161502,OPTIMAL,83,1.429,3039.75,3041.18,207.05078
GEOM20.col,20,20,24,800,1980,OPTIMAL,21,0.00215782,0.0155986,0.0177564,45.46094
GEOM20a.col,20,37,24,760,2203,OPTIMAL,20,0.00310009,0.0203398,0.0234399,45.33594
GEOM20b.col,20,32,16,480,1324,OPTIMAL,13,0.00147832,0.0139742,0.0154525,45.81641
GEOM30.col,30,50,33,1620,4560,OPTIMAL,28,0.00494612,0.030066,0.0350121,45.26562
GEOM30a.col,30,81,32,1560,5196,OPTIMAL,27,0.00578576,0.0315805,0.0373663,45.46094
GEOM30b.col,30,81,27,1500,4995,OPTIMAL,26,0.0029592,0.0131221,0.0160813,45.21094
GEOM40.col,40,78,33,2160,6386,OPTIMAL,28,0.00954488,0.0354067,0.0449516,45.39062
GEOM40a.col,40,146,50,2880,10976,OPTIMAL,37,0.0299136,0.142291,0.172204,52.91797
GEOM40b.col,40,157,40,2560,10104,OPTIMAL,33,0.0142308,0.0640031,0.0782338,45.76172
GEOM50.col,50,127,36,2700,8779,OPTIMAL,28,0.0153597,0.0560651,0.0714249,45.26953
GEOM50a.col,50,238,61,4900,21412,OPTIMAL,50,0.0497783,0.523771,0.57355,63.29297
GEOM50b.col,50,249,54,3400,15216,OPTIMAL,35,0.0631642,0.391936,0.4551,62.34375
GEOM60.col,60,185,36,3840,13540,OPTIMAL,33,0.0113891,0.036501,0.0478901,45.26562
GEOM60a.col,60,339,61,5880,28311,OPTIMAL,50,0.0648462,0.600277,0.665123,64.95312
GEOM60b.col,60,366,63,4800,24180,OPTIMAL,41,0.124936,0.898669,1.02361,64.14062
GEOM70.col,70,267,44,5180,20169,OPTIMAL,38,0.0304236,0.090785,0.121209,61.82812
GEOM70a.col,70,459,72,8400,44270,OPTIMAL,61,0.105199,3.1496,3.2548,68.82422
GEOM70b.col,70,488,76,6440,35258,OPTIMAL,47,0.231424,3.31113,3.54256,68.02734
GEOM80.col,80,349,54,6400,26680,OPTIMAL,41,0.0777542,0.237359,0.315114,63.61328
GEOM80a.col,80,612,79,9920,57704,OPTIMAL,63,0.18928,5.82209,6.01137,73.24219
GEOM80b.col,80,663,98,9440,57917,OPTIMAL,60,0.503752,4.62224,5.126,73.95312
GEOM90.col,90,441,54,8100,35955,OPTIMAL,46,0.0688654,0.247167,0.316032,64.60938
GEOM90a.col,90,789,80,11160,71148,OPTIMAL,63,0.253873,6.16387,6.41775,75.47656
GEOM90b.col,90,860,109,12240,82870,OPTIMAL,69,0.753225,50.0477,50.8009,87.44922
c21_1_d1.col,21,105,8,252,1113,OPTIMAL,7,0.000614545,0.0111531,0.0117677,45.88281
c21_1_d2.col,21,105,8,252,1113,OPTIMAL,7,0.000571835,0.00997078,0.0105426,45.14844
c21_2_d1.col,21,105,11,336,1491,OPTIMAL,9,0.000802574,0.0144809,0.0152834,45.58594
c21_2_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00124596,0.0140647,0.0153107,45.45312
c21_3_d1.col,21,105,8,252,1113,OPTIMAL,7,0.000390706,0.0109341,0.0113248,45.20312
c21_3_d2.col,21,105,8,252,1113,OPTIMAL,7,0.000580739,0.0113897,0.0119704,45.21094
c21_4_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00122097,0.0157493,0.0169703,45.21094
c21_4_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00126502,0.0144505,0.0157155,45.45312
c21_5_d1.col,21,105,8,252,1113,OPTIMAL,7,0.000600651,0.0114003,0.0120009,45.75781
c21_5_d2.col,21,105,8,252,1113,OPTIMAL,7,0.00040969,0.0107317,0.0111414,45.58594
c21_6_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00127215,0.014029,0.0153012,45.81641
c21_6_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00125913,0.0151852,0.0164444,45.82422
c21_7_d1.col,21,105,8,252,1113,OPTIMAL,7,0.000588268,0.0116537,0.012242,45.44141
c21_7_d2.col,21,105,8,252,1113,OPTIMAL,7,0.00057806,0.0110592,0.0116372,45.39844
c21_8_d1.col,21,105,11,336,1491,OPTIMAL,9,0.0012753,0.0143357,0.015611,45.39844
c21_8_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00123723,0.0144948,0.015732,45.39844
c55_1_d1.col,55,362,8,660,3437,OPTIMAL,7,0.00162399,0.0140167,0.0156406,45.76172
c55_2_d2.col,55,362,8,660,3437,OPTIMAL,7,0.00162428,0.0143986,0.0160229,45.52344
