name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,9800,46304,OPTIMAL,50,0.143411,0.866036,1.00945,67.77734
GEOM100a.col,100,992,91,13000,90381,OPTIMAL,66,0.486476,189.972,190.459,103.41406
GEOM100b.col,100,1050,121,14000,101401,OPTIMAL,71,1.19118,71.9429,73.1341,97.25781
GEOM110.col,110,638,64,10780,52713,OPTIMAL,50,0.16526,1.18139,1.34665,69.37891
GEOM110a.col,110,1207,109,14960,111887,OPTIMAL,69,1.04643,82.2479,83.2944,97.69141
GEOM110b.col,110,1256,121,16720,128787,OPTIMAL,77,1.29036,204.928,206.218,111.80859
GEOM120.col,120,773,73,13920,72555,OPTIMAL,59,0.228121,2.47461,2.70273,73.49219
GEOM120a.col,120,1434,109,19440,154915,OPTIMAL,82,0.897627,154.316,155.214,114.23828
GEOM120b.col,120,1491,123,19680,161503,OPTIMAL,83,1.424,2172.67,2174.1,195.40234
GEOM20.col,20,20,24,800,1981,OPTIMAL,21,0.00230912,0.0157823,0.0180914,45.37891
GEOM20a.col,20,37,24,760,2204,OPTIMAL,20,0.00312458,0.0199634,0.023088,45.37891
GEOM20b.col,20,32,16,480,1325,OPTIMAL,13,0.00149931,0.0144089,0.0159082,45.37109
GEOM30.col,30,50,33,1620,4561,OPTIMAL,28,0.0050175,0.0301565,0.035174,45.79688
GEOM30a.col,30,81,32,1560,5197,OPTIMAL,27,0.00672052,0.0328251,0.0395456,45.80469
GEOM30b.col,30,81,27,1500,4996,OPTIMAL,26,0.00206284,0.0123251,0.014388,45.44141
GEOM40.col,40,78,33,2160,6387,OPTIMAL,28,0.0075349,0.033327,0.0408619,45.43359
GEOM40a.col,40,146,50,2880,10977,OPTIMAL,37,0.0320124,0.105981,0.137993,52.92188
GEOM40b.col,40,157,40,2560,10105,OPTIMAL,33,0.0152096,0.058864,0.0740736,45.31641
GEOM50.col,50,127,36,2700,8780,OPTIMAL,28,0.0168519,0.0573484,0.0742003,45.98828
GEOM50a.col,50,238,61,4900,21413,OPTIMAL,50,0.0510826,0.534671,0.585754,63.0625
GEOM50b.col,50,249,54,3400,15217,OPTIMAL,35,0.0631461,0.300901,0.364047,62.02344
GEOM60.col,60,185,36,3840,13541,OPTIMAL,33,0.0114651,0.0369622,0.0484273,45.43359
GEOM60a.col,60,339,61,5880,28312,OPTIMAL,50,0.0712609,0.579592,0.650853,64.74219
GEOM60b.col,60,366,63,4800,24181,OPTIMAL,41,0.120687,1.91009,2.03077,66.00781
GEOM70.col,70,267,44,5180,20170,OPTIMAL,38,0.0319563,0.0884769,0.120433,61.71875
GEOM70a.col,70,459,72,8400,44271,OPTIMAL,61,0.107754,2.97183,3.07958,68.54688
GEOM70b.col,70,488,76,6440,35259,OPTIMAL,47,0.22874,3.11594,3.34468,67.92188
GEOM80.col,80,349,54,6400,26681,OPTIMAL,41,0.0795328,0.219618,0.29915,63.09766
GEOM80a.col,80,612,79,9920,57705,OPTIMAL,63,0.190437,3.50671,3.69715,71.82422
GEOM80b.col,80,663,98,9440,57918,OPTIMAL,60,0.497887,5.83536,6.33325,73.69922
GEOM90.col,90,441,54,8100,35956,OPTIMAL,46,0.063936,0.261239,0.325175,64.65625
GEOM90a.col,90,789,80,11160,71149,OPTIMAL,63,0.255166,6.32999,6.58515,75.00781
GEOM90b.col,90,860,109,12240,82871,OPTIMAL,69,0.748521,35.6235,36.372,85.86719
c21_1_d1.col,21,105,8,252,1114,OPTIMAL,7,0.000692051,0.00955961,0.0102517,45.3125
c21_1_d2.col,21,105,8,252,1114,OPTIMAL,7,0.000625921,0.00913812,0.00976404,45.31641
c21_2_d1.col,21,105,11,336,1492,OPTIMAL,9,0.0013402,0.0136354,0.0149756,45.44141
c21_2_d2.col,21,105,11,336,1492,OPTIMAL,9,0.00137397,0.0134826,0.0148565,45.43359
c21_3_d1.col,21,105,8,252,1114,OPTIMAL,7,0.000665058,0.00901908,0.00968414,45.37109
c21_3_d2.col,21,105,8,252,1114,OPTIMAL,7,0.000653241,0.00965177,0.010305,45.19141
c21_4_d1.col,21,105,11,336,1492,OPTIMAL,9,0.00138905,0.0141983,0.0155874,45.80469
c21_4_d2.col,21,105,11,336,1492,OPTIMAL,9,0.000848765,0.0134753,0.0143241,45.79688
c21_5_d1.col,21,105,8,252,1114,OPTIMAL,7,0.000709434,0.00923953,0.00994897,45.98828
c21_5_d2.col,21,105,8,252,1114,OPTIMAL,7,0.000458946,0.00949855,0.0099575,45.37891
c21_6_d1.col,21,105,11,336,1492,OPTIMAL,9,0.0011052,0.0141596,0.0152648,45.37109
c21_6_d2.col,21,105,11,336,1492,OPTIMAL,9,0.00127726,0.0136526,0.0149299,45.37891
c21_7_d1.col,21,105,8,252,1114,OPTIMAL,7,0.000682148,0.0100633,0.0107455,45.37109
c21_7_d2.col,21,105,8,252,1114,OPTIMAL,7,0.000680065,0.00940465,0.0100847,45.37891
c21_8_d1.col,21,105,11,336,1492,OPTIMAL,9,0.000841524,0.0138987,0.0147403,45.37891
c21_8_d2.col,21,105,11,336,1492,OPTIMAL,9,0.0013691,0.0135307,0.0148998,45.44141
c55_1_d1.col,55,362,8,660,3438,OPTIMAL,7,0.00182202,0.0149838,0.0168058,45.25391
c55_2_d2.col,55,362,8,660,3438,OPTIMAL,7,0.0023875,0.0167565,0.019144,45.74219
