name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,9800,46304,OPTIMAL,50,0.146298,0.890319,1.03662,67.90625
GEOM100a.col,100,992,91,13000,90381,OPTIMAL,66,0.480188,87.051,87.5312,90.01953
GEOM100b.col,100,1050,121,14000,101401,OPTIMAL,71,1.19091,72.7103,73.9012,96.61719
GEOM110.col,110,638,64,10780,52713,OPTIMAL,50,0.166912,1.3129,1.47981,69.68359
GEOM110a.col,110,1207,109,14960,111887,OPTIMAL,69,1.02738,95.823,96.8503,102.89062
GEOM110b.col,110,1256,121,16720,128787,OPTIMAL,77,1.27747,213.37,214.648,134.92188
GEOM120.col,120,773,73,13920,72555,OPTIMAL,59,0.222939,3.22687,3.44981,73.33203
GEOM120a.col,120,1434,109,19440,154915,OPTIMAL,82,0.899808,171.79,172.69,112.38672
GEOM120b.col,120,1491,123,19680,161503,OPTIMAL,83,1.41917,2612.66,2614.08,210.41797
GEOM20.col,20,20,24,800,1981,OPTIMAL,21,0.00216035,0.0158625,0.0180229,45.39844
GEOM20a.col,20,37,24,760,2204,OPTIMAL,20,0.00300476,0.0193496,0.0223544,45.58594
GEOM20b.col,20,32,16,480,1325,OPTIMAL,13,0.001528,0.0145752,0.0161032,45.18359
GEOM30.col,30,50,33,1620,4561,OPTIMAL,28,0.00463696,0.0292419,0.0338789,45.85938
GEOM30a.col,30,81,32,1560,5197,OPTIMAL,27,0.00514374,0.0305109,0.0356546,45.39844
GEOM30b.col,30,81,27,1500,4996,OPTIMAL,26,0.00251088,0.0129302,0.015441,45.39844
GEOM40.col,40,78,33,2160,6387,OPTIMAL,28,0.00737107,0.0326151,0.0399862,45.79688
GEOM40a.col,40,146,50,2880,10977,OPTIMAL,37,0.0275369,0.107465,0.135002,52.95312
GEOM40b.col,40,157,40,2560,10105,OPTIMAL,33,0.015881,0.0560462,0.0719272,45.39844
GEOM50.col,50,127,36,2700,8780,OPTIMAL,28,0.0148134,0.0552669,0.0700803,46.00781
GEOM50a.col,50,238,61,4900,21413,OPTIMAL,50,0.0511993,0.564951,0.616151,63.25
GEOM50b.col,50,249,54,3400,15217,OPTIMAL,35,0.0697162,0.255028,0.324744,62.0
GEOM60.col,60,185,36,3840,13541,OPTIMAL,33,0.013603,0.0376349,0.0512379,45.43359
GEOM60a.col,60,339,61,5880,28312,OPTIMAL,50,0.0723774,0.653576,0.725954,64.5
GEOM60b.col,60,366,63,4800,24181,OPTIMAL,41,0.118652,0.966009,1.08466,64.37891
GEOM70.col,70,267,44,5180,20170,OPTIMAL,38,0.0287424,0.0841393,0.112882,61.84766
GEOM70a.col,70,459,72,8400,44271,OPTIMAL,61,0.101699,1.92493,2.02663,68.39844
GEOM70b.col,70,488,76,6440,35259,OPTIMAL,47,0.232784,3.43466,3.66745,67.99219
GEOM80.col,80,349,54,6400,26681,OPTIMAL,41,0.0782084,0.200989,0.279198,62.86328
GEOM80a.col,80,612,79,9920,57705,OPTIMAL,63,0.191028,4.12647,4.31749,71.85547
GEOM80b.col,80,663,98,9440,57918,OPTIMAL,60,0.489908,6.26122,6.75113,73.38281
GEOM90.col,90,441,54,8100,35956,OPTIMAL,46,0.0659339,0.252875,0.318809,64.71094
GEOM90a.col,90,789,80,11160,71149,OPTIMAL,63,0.252623,7.71929,7.97192,75.16797
GEOM90b.col,90,860,109,12240,82871,OPTIMAL,69,0.742472,43.7334,44.4758,91.11719
c21_1_d1.col,21,105,8,252,1114,OPTIMAL,7,0.000580969,0.00954901,0.01013,45.4375
c21_1_d2.col,21,105,8,252,1114,OPTIMAL,7,0.000587197,0.0100182,0.0106054,45.39844
c21_2_d1.col,21,105,11,336,1492,OPTIMAL,9,0.00125572,0.0138055,0.0150612,45.82422
c21_2_d2.col,21,105,11,336,1492,OPTIMAL,9,0.000971367,0.0188443,0.0198157,45.37109
c21_3_d1.col,21,105,8,252,1114,OPTIMAL,7,0.000588372,0.00992503,0.0105134,45.24609
c21_3_d2.col,21,105,8,252,1114,OPTIMAL,7,0.000592425,0.00980348,0.0103959,45.39844
c21_4_d1.col,21,105,11,336,1492,OPTIMAL,9,0.00130314,0.0144122,0.0157153,45.46094
c21_4_d2.col,21,105,11,336,1492,OPTIMAL,9,0.000806676,0.0126967,0.0135033,45.43359
c21_5_d1.col,21,105,8,252,1114,OPTIMAL,7,0.000599133,0.00974312,0.0103423,45.51953
c21_5_d2.col,21,105,8,252,1114,OPTIMAL,7,0.000577532,0.0098891,0.0104666,45.46094
c21_6_d1.col,21,105,11,336,1492,OPTIMAL,9,0.00128277,0.0134106,0.0146934,45.43359
c21_6_d2.col,21,105,11,336,1492,OPTIMAL,9,0.000816191,0.0448084,0.0456246,45.82422
c21_7_d1.col,21,105,8,252,1114,OPTIMAL,7,0.000594484,0.00974912,0.0103436,45.85938
c21_7_d2.col,21,105,8,252,1114,OPTIMAL,7,0.000585102,0.0098523,0.0104374,45.46094
c21_8_d1.col,21,105,11,336,1492,OPTIMAL,9,0.000976449,0.0137826,0.014759,45.39844
c21_8_d2.col,21,105,11,336,1492,OPTIMAL,9,0.00122406,0.0139414,0.0151655,45.39844
c55_1_d1.col,55,362,8,660,3438,OPTIMAL,7,0.0018919,0.0160622,0.0179541,45.46094
c55_2_d2.col,55,362,8,660,3438,OPTIMAL,7,0.00191976,0.0171995,0.0191192,45.46094
