name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,62008,OPTIMAL,50,0.016253,0.326338,0.342592,67.58203
GEOM100a.col,100,992,91,18200,129172,OPTIMAL,66,0.0379364,114.458,114.496,128.80469
GEOM100b.col,100,1050,121,24200,180450,OPTIMAL,71,0.0507316,64.1743,64.2251,118.32812
GEOM110.col,110,638,64,14080,70532,OPTIMAL,50,0.0249558,0.415322,0.440277,68.61328
GEOM110a.col,110,1207,109,23980,183923,OPTIMAL,69,0.0593307,81.3922,81.4516,136.57422
GEOM110b.col,110,1256,121,26620,210056,OPTIMAL,77,0.0575821,247.734,247.792,147.88672
GEOM120.col,120,773,73,17520,93149,OPTIMAL,59,0.0296694,1.32355,1.35322,77.35547
GEOM120a.col,120,1434,109,26160,211866,OPTIMAL,82,0.0652412,146.664,146.729,134.58203
GEOM120b.col,120,1491,123,29520,247233,OPTIMAL,83,0.0698189,2583.77,2583.84,292.31641
GEOM20.col,20,20,24,960,2460,OPTIMAL,21,0.000984758,0.00138163,0.00236639,45.69531
GEOM20a.col,20,37,24,960,2888,OPTIMAL,20,0.00113125,0.00175788,0.00288913,45.39453
GEOM20b.col,20,32,16,640,1852,OPTIMAL,13,0.000477634,0.000472298,0.000949932,45.45312
GEOM30.col,30,50,33,1980,5760,OPTIMAL,28,0.00236296,0.00315425,0.00551721,45.57812
GEOM30a.col,30,81,32,1920,6582,OPTIMAL,27,0.00170007,0.00252725,0.00422731,45.75781
GEOM30b.col,30,81,27,1620,5457,OPTIMAL,26,0.002157,0.0016861,0.0038431,45.33203
GEOM40.col,40,78,33,2640,8054,OPTIMAL,28,0.00250882,0.00391545,0.00642427,45.69141
GEOM40a.col,40,146,50,4000,15820,OPTIMAL,37,0.00477626,0.0269756,0.0317519,45.33203
GEOM40b.col,40,157,40,3200,12960,OPTIMAL,33,0.00327858,0.0159264,0.019205,45.33203
GEOM50.col,50,127,36,3600,12172,OPTIMAL,28,0.00482689,0.0065291,0.011356,45.45703
GEOM50a.col,50,238,61,6100,27268,OPTIMAL,50,0.00748935,0.266806,0.274295,58.99219
GEOM50b.col,50,249,54,5400,25196,OPTIMAL,35,0.00635599,0.073982,0.080338,45.82031
GEOM60.col,60,185,36,4320,15480,OPTIMAL,33,0.00687551,0.00882379,0.0156993,45.32812
GEOM60a.col,60,339,61,7320,35979,OPTIMAL,50,0.0131817,0.271264,0.284446,61.11719
GEOM60b.col,60,366,63,7560,39498,OPTIMAL,41,0.00996858,0.691137,0.701106,61.66797
GEOM70.col,70,267,44,6160,24488,OPTIMAL,38,0.00969447,0.0260875,0.035782,45.82031
GEOM70a.col,70,459,72,10080,53978,OPTIMAL,61,0.0147107,1.85233,1.86704,67.0
GEOM70b.col,70,488,76,10640,60398,OPTIMAL,47,0.0156646,1.19544,1.21111,66.30859
GEOM80.col,80,349,54,8640,37166,OPTIMAL,41,0.0100622,0.0509543,0.0610165,45.58203
GEOM80a.col,80,612,79,12640,74908,OPTIMAL,63,0.0229017,4.94767,4.97057,94.14844
GEOM80b.col,80,663,98,15680,99374,OPTIMAL,60,0.0270753,3.52585,3.55293,94.87109
GEOM90.col,90,441,54,9720,43974,OPTIMAL,46,0.0181396,0.0865651,0.104705,61.59766
GEOM90a.col,90,789,80,14400,93450,OPTIMAL,63,0.0301958,5.74174,5.77194,98.26172
GEOM90b.col,90,860,109,19620,136580,OPTIMAL,69,0.0395269,19.193,19.2325,106.89062
c21_1_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000564519,0.00306678,0.0036313,44.70703
c21_1_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000568401,0.00313086,0.00369926,45.33203
c21_2_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000793345,0.00430728,0.00510063,45.33203
c21_2_d2.col,21,105,11,462,2121,OPTIMAL,9,0.00087977,0.0030234,0.00390317,45.69141
c21_3_d1.col,21,105,8,336,1533,OPTIMAL,7,0.00057845,0.00303941,0.00361786,45.51562
c21_3_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000598323,0.00209573,0.00269405,45.33203
c21_4_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000813841,0.00317937,0.00399321,45.82031
c21_4_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000799749,0.00427311,0.00507286,45.32812
c21_5_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000570419,0.00313923,0.00370965,45.82031
c21_5_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000576616,0.00232748,0.00290409,45.88281
c21_6_d1.col,21,105,11,462,2121,OPTIMAL,9,0.0008091,0.00445552,0.00526462,45.45312
c21_6_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000787221,0.00431,0.00509722,45.58203
c21_7_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000582864,0.00232482,0.00290768,45.92969
c21_7_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000575656,0.00222584,0.00280149,45.33203
c21_8_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000799695,0.00455514,0.00535483,45.33203
c21_8_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000538427,0.00331469,0.00385312,45.33203
c55_1_d1.col,55,362,8,880,4711,OPTIMAL,7,0.00170684,0.00664353,0.00835037,45.45703
c55_2_d2.col,55,362,8,880,4711,OPTIMAL,7,0.00167972,0.00735267,0.00903239,45.39453
