name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,62008,OPTIMAL,50,0.016364,0.347681,0.364045,67.41016
GEOM100a.col,100,992,91,18200,129172,OPTIMAL,66,0.0368272,102.538,102.575,119.37109
GEOM100b.col,100,1050,121,24200,180450,OPTIMAL,71,0.0519139,52.4128,52.4647,114.90234
GEOM110.col,110,638,64,14080,70532,OPTIMAL,50,0.0199112,0.415038,0.434949,69.35547
GEOM110a.col,110,1207,109,23980,183923,OPTIMAL,69,0.0620179,90.9885,91.0505,133.78906
GEOM110b.col,110,1256,121,26620,210056,OPTIMAL,77,0.0625741,283.59,283.652,143.40625
GEOM120.col,120,773,73,17520,93149,OPTIMAL,59,0.0276862,1.36098,1.38867,75.14844
GEOM120a.col,120,1434,109,26160,211866,OPTIMAL,82,0.0617057,136.426,136.487,150.99219
GEOM120b.col,120,1491,123,29520,247233,OPTIMAL,83,0.0794284,2808.75,2808.83,289.67578
GEOM20.col,20,20,24,960,2460,OPTIMAL,21,0.000874923,0.00126063,0.00213556,45.48828
GEOM20a.col,20,37,24,960,2888,OPTIMAL,20,0.00112722,0.00173365,0.00286087,45.82812
GEOM20b.col,20,32,16,640,1852,OPTIMAL,13,0.000727868,0.000541099,0.00126897,45.39453
GEOM30.col,30,50,33,1980,5760,OPTIMAL,28,0.00229165,0.00372646,0.00601812,45.45703
GEOM30a.col,30,81,32,1920,6582,OPTIMAL,27,0.0019334,0.00273218,0.00466558,45.76562
GEOM30b.col,30,81,27,1620,5457,OPTIMAL,26,0.00184231,0.00110176,0.00294406,45.33984
GEOM40.col,40,78,33,2640,8054,OPTIMAL,28,0.0025064,0.00365345,0.00615984,45.45703
GEOM40a.col,40,146,50,4000,15820,OPTIMAL,37,0.00457019,0.0277139,0.0322841,44.08594
GEOM40b.col,40,157,40,3200,12960,OPTIMAL,33,0.00452255,0.0156908,0.0202134,45.40234
GEOM50.col,50,127,36,3600,12172,OPTIMAL,28,0.00305398,0.00473403,0.00778801,45.33984
GEOM50a.col,50,238,61,6100,27268,OPTIMAL,50,0.00716069,0.26647,0.273631,59.40234
GEOM50b.col,50,249,54,5400,25196,OPTIMAL,35,0.00704931,0.169338,0.176387,57.5625
GEOM60.col,60,185,36,4320,15480,OPTIMAL,33,0.00646637,0.005564,0.0120304,45.39453
GEOM60a.col,60,339,61,7320,35979,OPTIMAL,50,0.00995424,0.333085,0.343039,61.31641
GEOM60b.col,60,366,63,7560,39498,OPTIMAL,41,0.0156379,0.549173,0.564811,61.4375
GEOM70.col,70,267,44,6160,24488,OPTIMAL,38,0.00635077,0.0256337,0.0319844,45.33984
GEOM70a.col,70,459,72,10080,53978,OPTIMAL,61,0.0142189,1.94209,1.95631,68.43359
GEOM70b.col,70,488,76,10640,60398,OPTIMAL,47,0.0153825,1.46993,1.48532,67.125
GEOM80.col,80,349,54,8640,37166,OPTIMAL,41,0.0104702,0.0502178,0.060688,45.40234
GEOM80a.col,80,612,79,12640,74908,OPTIMAL,63,0.0215831,4.83546,4.85704,91.83594
GEOM80b.col,80,663,98,15680,99374,OPTIMAL,60,0.0263601,3.72035,3.74671,93.19141
GEOM90.col,90,441,54,9720,43974,OPTIMAL,46,0.0156299,0.139306,0.154936,62.35938
GEOM90a.col,90,789,80,14400,93450,OPTIMAL,63,0.0245476,6.22298,6.24753,98.23438
GEOM90b.col,90,860,109,19620,136580,OPTIMAL,69,0.0368847,18.4238,18.4607,107.64844
c21_1_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000515618,0.0051261,0.00564172,45.52344
c21_1_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000512052,0.004106,0.00461805,45.33984
c21_2_d1.col,21,105,11,462,2121,OPTIMAL,9,0.00077656,0.00557233,0.00634889,45.40234
c21_2_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000772419,0.00563871,0.00641113,45.80859
c21_3_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000513527,0.00524394,0.00575747,45.45703
c21_3_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000353705,0.0034911,0.00384481,45.46484
c21_4_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000772877,0.00442935,0.00520222,45.58984
c21_4_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000761841,0.00583498,0.00659683,45.39453
c21_5_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000509464,0.00397851,0.00448797,44.71484
c21_5_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000510836,0.00500966,0.0055205,45.33984
c21_6_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000762835,0.00583096,0.00659379,45.39453
c21_6_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000806807,0.00409103,0.00489784,45.82812
c21_7_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000517158,0.00502435,0.00554151,45.62109
c21_7_d2.col,21,105,8,336,1533,OPTIMAL,7,0.00052145,0.003843,0.00436445,45.70312
c21_8_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000767043,0.00577228,0.00653933,45.40234
c21_8_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000856259,0.00364685,0.00450311,45.89062
c55_1_d1.col,55,362,8,880,4711,OPTIMAL,7,0.0014436,0.00468302,0.00612663,45.52734
c55_2_d2.col,55,362,8,880,4711,OPTIMAL,7,0.0014924,0.0049012,0.0063936,45.55078
