name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,62009,OPTIMAL,50,0.0166118,0.355427,0.372039,67.64062
GEOM100a.col,100,992,91,18200,129173,OPTIMAL,66,0.0372469,162.912,162.95,138.26172
GEOM100b.col,100,1050,121,24200,180451,OPTIMAL,71,0.050936,61.8923,61.9432,121.62891
GEOM110.col,110,638,64,14080,70533,OPTIMAL,50,0.0198421,0.314385,0.334227,69.99609
GEOM110a.col,110,1207,109,23980,183924,OPTIMAL,69,0.0512389,204.075,204.126,182.47266
GEOM110b.col,110,1256,121,26620,210057,OPTIMAL,77,0.0572553,223.874,223.931,137.10547
GEOM120.col,120,773,73,17520,93150,OPTIMAL,59,0.0263977,1.44072,1.46712,77.53516
GEOM120a.col,120,1434,109,26160,211867,OPTIMAL,82,0.0619476,188.523,188.585,143.03906
GEOM120b.col,120,1491,123,29520,247234,OPTIMAL,83,0.0731069,3078.31,3078.39,290.52344
GEOM20.col,20,20,24,960,2461,OPTIMAL,21,0.00103931,0.000727967,0.00176728,45.46094
GEOM20a.col,20,37,24,960,2889,OPTIMAL,20,0.001124,0.0016329,0.00275691,45.33203
GEOM20b.col,20,32,16,640,1853,OPTIMAL,13,0.000739268,0.000573405,0.00131267,45.30859
GEOM30.col,30,50,33,1980,5761,OPTIMAL,28,0.00181916,0.00303409,0.00485325,45.37109
GEOM30a.col,30,81,32,1920,6583,OPTIMAL,27,0.00241022,0.00344828,0.00585851,45.52344
GEOM30b.col,30,81,27,1620,5458,OPTIMAL,26,0.0019734,0.0011178,0.0030912,45.39844
GEOM40.col,40,78,33,2640,8055,OPTIMAL,28,0.00304116,0.00360149,0.00664265,45.12109
GEOM40a.col,40,146,50,4000,15821,OPTIMAL,37,0.00440726,0.0287926,0.0331999,45.27344
GEOM40b.col,40,157,40,3200,12961,OPTIMAL,33,0.00359646,0.0143724,0.0179688,45.39844
GEOM50.col,50,127,36,3600,12173,OPTIMAL,28,0.00339613,0.00445981,0.00785594,45.39453
GEOM50a.col,50,238,61,6100,27269,OPTIMAL,50,0.00754481,0.229185,0.23673,59.42188
GEOM50b.col,50,249,54,5400,25197,OPTIMAL,35,0.00651655,0.0775734,0.0840899,45.76172
GEOM60.col,60,185,36,4320,15481,OPTIMAL,33,0.00453105,0.00628533,0.0108164,45.30859
GEOM60a.col,60,339,61,7320,35980,OPTIMAL,50,0.0104342,0.274458,0.284892,60.32422
GEOM60b.col,60,366,63,7560,39499,OPTIMAL,41,0.0102052,0.433084,0.44329,61.21484
GEOM70.col,70,267,44,6160,24489,OPTIMAL,38,0.00695907,0.0196916,0.0266507,45.52344
GEOM70a.col,70,459,72,10080,53979,OPTIMAL,61,0.0147009,1.21929,1.23399,67.89453
GEOM70b.col,70,488,76,10640,60399,OPTIMAL,47,0.0157959,1.97033,1.98612,65.56641
GEOM80.col,80,349,54,8640,37167,OPTIMAL,41,0.0139011,0.0584689,0.0723699,45.82031
GEOM80a.col,80,612,79,12640,74909,OPTIMAL,63,0.0263793,2.68314,2.70952,93.78125
GEOM80b.col,80,663,98,15680,99375,OPTIMAL,60,0.0353674,3.44284,3.4782,94.57031
GEOM90.col,90,441,54,9720,43975,OPTIMAL,46,0.0122142,0.0816518,0.093866,44.26953
GEOM90a.col,90,789,80,14400,93451,OPTIMAL,63,0.0270927,5.2851,5.31219,98.71094
GEOM90b.col,90,860,109,19620,136581,OPTIMAL,69,0.0364343,25.7902,25.8266,112.30078
c21_1_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000578553,0.00219315,0.0027717,45.8125
c21_1_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000578924,0.00168721,0.00226613,45.33594
c21_2_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000820551,0.00316229,0.00398285,45.39844
c21_2_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000818302,0.00252353,0.00334183,45.30859
c21_3_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000579072,0.00227892,0.002858,45.85938
c21_3_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000563777,0.00183717,0.00240095,45.33594
c21_4_d1.col,21,105,11,462,2122,OPTIMAL,9,0.00086958,0.00218785,0.00305743,45.46094
c21_4_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000808405,0.00304398,0.00385238,45.73438
c21_5_d1.col,21,105,8,336,1534,OPTIMAL,7,0.00057317,0.0018804,0.00245357,45.45703
c21_5_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000695755,0.0017321,0.00242785,45.39844
c21_6_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000814956,0.00305138,0.00386634,45.24609
c21_6_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000809105,0.00275078,0.00355988,45.39453
c21_7_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000561478,0.00246084,0.00302232,45.67188
c21_7_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000569568,0.00187596,0.00244553,45.33594
c21_8_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000804674,0.00223248,0.00303715,45.33594
c21_8_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000808804,0.00258554,0.00339435,45.39844
c55_1_d1.col,55,362,8,880,4712,OPTIMAL,7,0.00163109,0.00943799,0.0110691,45.39453
c55_2_d2.col,55,362,8,880,4712,OPTIMAL,7,0.00168204,0.00924211,0.0109241,45.46094
