name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,62009,OPTIMAL,50,0.0163561,0.345566,0.361923,67.44922
GEOM100a.col,100,992,91,18200,129173,OPTIMAL,66,0.0363814,126.762,126.799,126.82031
GEOM100b.col,100,1050,121,24200,180451,OPTIMAL,71,0.0541841,68.1055,68.1596,117.91797
GEOM110.col,110,638,64,14080,70533,OPTIMAL,50,0.0225795,0.326293,0.348873,69.875
GEOM110a.col,110,1207,109,23980,183924,OPTIMAL,69,0.0500083,205.007,205.057,151.84766
GEOM110b.col,110,1256,121,26620,210057,OPTIMAL,77,0.0604579,261.57,261.631,156.97656
GEOM120.col,120,773,73,17520,93150,OPTIMAL,59,0.0266159,1.54437,1.57099,75.52344
GEOM120a.col,120,1434,109,26160,211867,OPTIMAL,82,0.0599978,153.247,153.307,145.6875
GEOM120b.col,120,1491,123,29520,247234,OPTIMAL,83,0.074674,2651.53,2651.6,278.54297
GEOM20.col,20,20,24,960,2461,OPTIMAL,21,0.000918868,0.000697316,0.00161618,45.45703
GEOM20a.col,20,37,24,960,2889,OPTIMAL,20,0.00105559,0.00120681,0.0022624,45.33203
GEOM20b.col,20,32,16,640,1853,OPTIMAL,13,0.000718972,0.000605076,0.00132405,45.45312
GEOM30.col,30,50,33,1980,5761,OPTIMAL,28,0.00226401,0.00482487,0.00708887,45.69141
GEOM30a.col,30,81,32,1920,6583,OPTIMAL,27,0.00238896,0.00482883,0.00721778,45.33203
GEOM30b.col,30,81,27,1620,5458,OPTIMAL,26,0.00220494,0.00152146,0.0037264,45.51953
GEOM40.col,40,78,33,2640,8055,OPTIMAL,28,0.00325805,0.00461724,0.00787528,45.45312
GEOM40a.col,40,146,50,4000,15821,OPTIMAL,37,0.00626628,0.034579,0.0408453,45.33203
GEOM40b.col,40,157,40,3200,12961,OPTIMAL,33,0.00468282,0.0146884,0.0193713,45.51953
GEOM50.col,50,127,36,3600,12173,OPTIMAL,28,0.00476483,0.00628675,0.0110516,45.39453
GEOM50a.col,50,238,61,6100,27269,OPTIMAL,50,0.0089255,0.23414,0.243065,59.98047
GEOM50b.col,50,249,54,5400,25197,OPTIMAL,35,0.00933064,0.147154,0.156485,57.66797
GEOM60.col,60,185,36,4320,15481,OPTIMAL,33,0.00552167,0.00628879,0.0118105,45.39062
GEOM60a.col,60,339,61,7320,35980,OPTIMAL,50,0.00883717,0.270475,0.279312,60.96484
GEOM60b.col,60,366,63,7560,39499,OPTIMAL,41,0.0102275,1.16099,1.17121,61.21094
GEOM70.col,70,267,44,6160,24489,OPTIMAL,38,0.00647696,0.0193377,0.0258146,45.39453
GEOM70a.col,70,459,72,10080,53979,OPTIMAL,61,0.0145929,1.18019,1.19478,66.75
GEOM70b.col,70,488,76,10640,60399,OPTIMAL,47,0.0190879,1.95559,1.97468,66.21094
GEOM80.col,80,349,54,8640,37167,OPTIMAL,41,0.0150233,0.0603267,0.07535,45.64453
GEOM80a.col,80,612,79,12640,74909,OPTIMAL,63,0.020713,2.63706,2.65777,90.62891
GEOM80b.col,80,663,98,15680,99375,OPTIMAL,60,0.034627,3.51275,3.54738,93.07812
GEOM90.col,90,441,54,9720,43975,OPTIMAL,46,0.0176377,0.0769684,0.0946062,45.33203
GEOM90a.col,90,789,80,14400,93451,OPTIMAL,63,0.026494,5.20404,5.23053,95.06641
GEOM90b.col,90,860,109,19620,136581,OPTIMAL,69,0.0374949,18.0522,18.0897,108.63281
c21_1_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000513283,0.004391,0.00490428,45.45703
c21_1_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000507234,0.0044074,0.00491463,45.33203
c21_2_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000866696,0.00199191,0.00285861,45.39453
c21_2_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000809848,0.00251483,0.00332468,45.87891
c21_3_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000515698,0.0043613,0.004877,45.39062
c21_3_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000512732,0.00437449,0.00488723,45.69531
c21_4_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000783307,0.00278073,0.00356403,45.51953
c21_4_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000777703,0.00201432,0.00279203,45.39062
c21_5_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000516818,0.00444363,0.00496045,45.69531
c21_5_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000504233,0.00341262,0.00391685,45.82031
c21_6_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000776723,0.00211968,0.0028964,45.32812
c21_6_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000768854,0.00276083,0.00352968,45.33203
c21_7_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000523595,0.00344378,0.00396737,45.45312
c21_7_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000590885,0.00297907,0.00356995,45.14453
c21_8_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000769233,0.00279913,0.00356836,45.39453
c21_8_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000826911,0.00215006,0.00297697,45.45703
c55_1_d1.col,55,362,8,880,4712,OPTIMAL,7,0.00117206,0.0034237,0.00459576,45.69531
c55_2_d2.col,55,362,8,880,4712,OPTIMAL,7,0.00127474,0.00340246,0.0046772,45.82031
