name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,62008,OPTIMAL,50,0.0163562,0.329988,0.346344,67.625
GEOM100a.col,100,992,91,18200,129172,OPTIMAL,66,0.0379884,116.713,116.751,133.17969
GEOM100b.col,100,1050,121,24200,180450,OPTIMAL,71,0.0473192,66.2043,66.2516,119.15234
GEOM110.col,110,638,64,14080,70532,OPTIMAL,50,0.0187311,0.403146,0.421877,68.72266
GEOM110a.col,110,1207,109,23980,183923,OPTIMAL,69,0.0515942,184.873,184.925,156.64453
GEOM110b.col,110,1256,121,26620,210056,OPTIMAL,77,0.0568769,244.191,244.248,146.58594
GEOM120.col,120,773,73,17520,93149,OPTIMAL,59,0.0272133,1.30621,1.33342,77.98828
GEOM120a.col,120,1434,109,26160,211866,OPTIMAL,82,0.0622514,161.093,161.155,136.61328
GEOM120b.col,120,1491,123,29520,247233,OPTIMAL,83,0.068945,2764.9,2764.97,292.78125
GEOM20.col,20,20,24,960,2460,OPTIMAL,21,0.000634452,0.0010465,0.00168095,45.38672
GEOM20a.col,20,37,24,960,2888,OPTIMAL,20,0.00111155,0.00169272,0.00280428,45.32422
GEOM20b.col,20,32,16,640,1852,OPTIMAL,13,0.000812008,0.000546103,0.00135811,45.38281
GEOM30.col,30,50,33,1980,5760,OPTIMAL,28,0.00149938,0.00300045,0.00449982,45.25781
GEOM30a.col,30,81,32,1920,6582,OPTIMAL,27,0.00246371,0.00353337,0.00599709,45.38672
GEOM30b.col,30,81,27,1620,5457,OPTIMAL,26,0.00189994,0.00112311,0.00302305,45.32422
GEOM40.col,40,78,33,2640,8054,OPTIMAL,28,0.00214908,0.00359314,0.00574222,45.68359
GEOM40a.col,40,146,50,4000,15820,OPTIMAL,37,0.00441454,0.026938,0.0313525,45.32422
GEOM40b.col,40,157,40,3200,12960,OPTIMAL,33,0.00504717,0.0198546,0.0249018,45.8125
GEOM50.col,50,127,36,3600,12172,OPTIMAL,28,0.00370922,0.0042835,0.00799272,45.38672
GEOM50a.col,50,238,61,6100,27268,OPTIMAL,50,0.00701739,0.268044,0.275061,59.00391
GEOM50b.col,50,249,54,5400,25196,OPTIMAL,35,0.0070689,0.0734209,0.0804898,45.32422
GEOM60.col,60,185,36,4320,15480,OPTIMAL,33,0.00438464,0.00567226,0.0100569,45.32031
GEOM60a.col,60,339,61,7320,35979,OPTIMAL,50,0.0128116,0.269949,0.28276,61.16016
GEOM60b.col,60,366,63,7560,39498,OPTIMAL,41,0.0103991,0.667229,0.677628,61.73828
GEOM70.col,70,267,44,6160,24488,OPTIMAL,38,0.0101787,0.025699,0.0358777,45.32422
GEOM70a.col,70,459,72,10080,53978,OPTIMAL,61,0.0147137,1.83714,1.85185,66.94141
GEOM70b.col,70,488,76,10640,60398,OPTIMAL,47,0.0161137,1.37734,1.39345,66.33594
GEOM80.col,80,349,54,8640,37166,OPTIMAL,41,0.010511,0.050683,0.0611939,45.38672
GEOM80a.col,80,612,79,12640,74908,OPTIMAL,63,0.0199647,4.45162,4.47159,94.21094
GEOM80b.col,80,663,98,15680,99374,OPTIMAL,60,0.0268788,2.99657,3.02345,94.49609
GEOM90.col,90,441,54,9720,43974,OPTIMAL,46,0.0119354,0.0862145,0.0981499,48.14062
GEOM90a.col,90,789,80,14400,93450,OPTIMAL,63,0.025828,5.51912,5.54495,97.24219
GEOM90b.col,90,860,109,19620,136580,OPTIMAL,69,0.0380678,19.4137,19.4517,103.21484
c21_1_d1.col,21,105,8,336,1533,OPTIMAL,7,0.00040408,0.00219869,0.00260277,45.51172
c21_1_d2.col,21,105,8,336,1533,OPTIMAL,7,0.00057362,0.00222737,0.00280099,45.32422
c21_2_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000781801,0.00446419,0.00524599,45.38672
c21_2_d2.col,21,105,11,462,2121,OPTIMAL,9,0.0008669,0.00339224,0.00425914,45.13281
c21_3_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000595511,0.00237273,0.00296824,45.38281
c21_3_d2.col,21,105,8,336,1533,OPTIMAL,7,0.00058353,0.0022061,0.00278963,45.8125
c21_4_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000833629,0.00304001,0.00387364,45.32422
c21_4_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000777464,0.00311712,0.00389459,45.32031
c21_5_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000419,0.00206818,0.00248718,46.0
c21_5_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000582193,0.00223208,0.00281427,45.875
c21_6_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000759698,0.00321422,0.00397392,45.38281
c21_6_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000793665,0.00456392,0.00535759,45.9375
c21_7_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000628098,0.00310722,0.00373532,45.68359
c21_7_d2.col,21,105,8,336,1533,OPTIMAL,7,0.00057713,0.00239569,0.00297282,45.38672
c21_8_d1.col,21,105,11,462,2121,OPTIMAL,9,0.00081586,0.00325849,0.00407435,45.32422
c21_8_d2.col,21,105,11,462,2121,OPTIMAL,9,0.00079631,0.00386013,0.00465644,45.38672
c55_1_d1.col,55,362,8,880,4711,OPTIMAL,7,0.00164002,0.00750508,0.00914511,45.32422
c55_2_d2.col,55,362,8,880,4711,OPTIMAL,7,0.00162784,0.00753329,0.00916113,45.8125
