name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,62009,OPTIMAL,50,0.0158222,0.365551,0.381373,67.69531
GEOM100a.col,100,992,91,18200,129173,OPTIMAL,66,0.0368842,116.549,116.586,131.90625
GEOM100b.col,100,1050,121,24200,180451,OPTIMAL,71,0.0519744,60.0041,60.0561,119.36719
GEOM110.col,110,638,64,14080,70533,OPTIMAL,50,0.0215447,0.313128,0.334672,69.98047
GEOM110a.col,110,1207,109,23980,183924,OPTIMAL,69,0.0517258,89.9464,89.9981,135.30469
GEOM110b.col,110,1256,121,26620,210057,OPTIMAL,77,0.0574358,267.098,267.155,155.98047
GEOM120.col,120,773,73,17520,93150,OPTIMAL,59,0.0314161,1.44276,1.47418,77.50391
GEOM120a.col,120,1434,109,26160,211867,OPTIMAL,82,0.0660264,233.043,233.109,164.33203
GEOM120b.col,120,1491,123,29520,247234,SATISFIABLE,83,0.0744408,3599.93,3600.0,320.02734
GEOM20.col,20,20,24,960,2461,OPTIMAL,21,0.00103234,0.0011159,0.00214824,45.39453
GEOM20a.col,20,37,24,960,2889,OPTIMAL,20,0.00113101,0.00133548,0.00246648,45.88281
GEOM20b.col,20,32,16,640,1853,OPTIMAL,13,0.000716094,0.000611338,0.00132743,45.45312
GEOM30.col,30,50,33,1980,5761,OPTIMAL,28,0.00227645,0.00490125,0.00717769,45.39062
GEOM30a.col,30,81,32,1920,6583,OPTIMAL,27,0.00239703,0.00465103,0.00704807,45.75781
GEOM30b.col,30,81,27,1620,5458,OPTIMAL,26,0.00222973,0.00137451,0.00360424,45.33203
GEOM40.col,40,78,33,2640,8055,OPTIMAL,28,0.00321717,0.00574203,0.00895919,44.57812
GEOM40a.col,40,146,50,4000,15821,OPTIMAL,37,0.00627451,0.0305329,0.0368075,45.39453
GEOM40b.col,40,157,40,3200,12961,OPTIMAL,33,0.00388006,0.0145551,0.0184351,45.82031
GEOM50.col,50,127,36,3600,12173,OPTIMAL,28,0.00350139,0.00420612,0.00770751,45.39453
GEOM50a.col,50,238,61,6100,27269,OPTIMAL,50,0.0113307,0.237616,0.248946,59.35547
GEOM50b.col,50,249,54,5400,25197,OPTIMAL,35,0.00681676,0.0765634,0.0833801,45.39453
GEOM60.col,60,185,36,4320,15481,OPTIMAL,33,0.00398903,0.00639777,0.0103868,45.51562
GEOM60a.col,60,339,61,7320,35980,OPTIMAL,50,0.00905115,0.27364,0.282692,60.24219
GEOM60b.col,60,366,63,7560,39499,OPTIMAL,41,0.0100571,0.451883,0.46194,61.125
GEOM70.col,70,267,44,6160,24489,OPTIMAL,38,0.00910408,0.0195182,0.0286223,45.69531
GEOM70a.col,70,459,72,10080,53979,OPTIMAL,61,0.0149847,1.22159,1.23658,67.92969
GEOM70b.col,70,488,76,10640,60399,OPTIMAL,47,0.0211518,1.76632,1.78747,65.48047
GEOM80.col,80,349,54,8640,37167,OPTIMAL,41,0.0110298,0.058788,0.0698177,45.69531
GEOM80a.col,80,612,79,12640,74909,OPTIMAL,63,0.0262521,2.73496,2.76121,93.88281
GEOM80b.col,80,663,98,15680,99375,OPTIMAL,60,0.0271053,3.49937,3.52647,94.51953
GEOM90.col,90,441,54,9720,43975,OPTIMAL,46,0.012841,0.0808005,0.0936415,45.58203
GEOM90a.col,90,789,80,14400,93451,OPTIMAL,63,0.0305664,4.73742,4.76798,97.28125
GEOM90b.col,90,860,109,19620,136581,OPTIMAL,69,0.0371818,26.375,26.4122,112.59375
c21_1_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000400055,0.0018356,0.00223566,45.14453
c21_1_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000568091,0.00226937,0.00283746,45.39453
c21_2_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000803565,0.00304254,0.0038461,45.39453
c21_2_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000650886,0.00224653,0.00289742,46.00391
c21_3_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000540479,0.00170309,0.00224357,45.32812
c21_3_d2.col,21,105,8,336,1534,OPTIMAL,7,0.00057216,0.00236708,0.00293924,45.69531
c21_4_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000828212,0.00204518,0.00287339,45.20703
c21_4_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000788739,0.00306701,0.00385575,45.39062
c21_5_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000567212,0.00156634,0.00213356,45.88281
c21_5_d2.col,21,105,8,336,1534,OPTIMAL,7,0.00056072,0.00224149,0.00280221,45.82031
c21_6_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000717543,0.00233151,0.00304905,45.32812
c21_6_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000565069,0.00242649,0.00299156,45.88281
c21_7_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000591609,0.00224998,0.00284159,46.12891
c21_7_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000574476,0.00202009,0.00259457,45.39453
c21_8_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000817342,0.00276341,0.00358076,45.39453
c21_8_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000817266,0.00244172,0.00325899,44.26953
c55_1_d1.col,55,362,8,880,4712,OPTIMAL,7,0.00105089,0.00616486,0.00721574,45.88281
c55_2_d2.col,55,362,8,880,4712,OPTIMAL,7,0.00155195,0.00606247,0.00761443,45.75781
