name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,62009,OPTIMAL,50,0.0171231,0.344358,0.361481,67.37109
GEOM100a.col,100,992,91,18200,129173,OPTIMAL,66,0.0364632,105.313,105.349,137.34766
GEOM100b.col,100,1050,121,24200,180451,OPTIMAL,71,0.050127,55.4698,55.5199,114.34766
GEOM110.col,110,638,64,14080,70533,OPTIMAL,50,0.0200563,0.325879,0.345935,68.30859
GEOM110a.col,110,1207,109,23980,183924,OPTIMAL,69,0.0510398,126.049,126.1,145.37891
GEOM110b.col,110,1256,121,26620,210057,OPTIMAL,77,0.0568247,266.175,266.232,163.5625
GEOM120.col,120,773,73,17520,93150,OPTIMAL,59,0.0264614,1.45131,1.47777,75.40625
GEOM120a.col,120,1434,109,26160,211867,OPTIMAL,82,0.0630305,206.07,206.133,141.06641
GEOM120b.col,120,1491,123,29520,247234,OPTIMAL,83,0.069481,3263.64,3263.71,319.72266
GEOM20.col,20,20,24,960,2461,OPTIMAL,21,0.000962152,0.000864138,0.00182629,45.39062
GEOM20a.col,20,37,24,960,2889,OPTIMAL,20,0.000771452,0.00113412,0.00190557,45.38672
GEOM20b.col,20,32,16,640,1853,OPTIMAL,13,0.000465261,0.000529301,0.000994562,45.13281
GEOM30.col,30,50,33,1980,5761,OPTIMAL,28,0.0019126,0.00309522,0.00500782,45.93359
GEOM30a.col,30,81,32,1920,6583,OPTIMAL,27,0.00208059,0.00313175,0.00521234,45.75391
GEOM30b.col,30,81,27,1620,5458,OPTIMAL,26,0.00219383,0.0010809,0.00327474,45.32812
GEOM40.col,40,78,33,2640,8055,OPTIMAL,28,0.0032188,0.00539473,0.00861354,45.32031
GEOM40a.col,40,146,50,4000,15821,OPTIMAL,37,0.00455268,0.0322525,0.0368052,45.32812
GEOM40b.col,40,157,40,3200,12961,OPTIMAL,33,0.00347013,0.014584,0.0180541,45.32812
GEOM50.col,50,127,36,3600,12173,OPTIMAL,28,0.00336381,0.00423272,0.00759653,45.32422
GEOM50a.col,50,238,61,6100,27269,OPTIMAL,50,0.00732849,0.236539,0.243868,60.00781
GEOM50b.col,50,249,54,5400,25197,OPTIMAL,35,0.00917918,0.14633,0.15551,57.64844
GEOM60.col,60,185,36,4320,15481,OPTIMAL,33,0.00416377,0.00620881,0.0103726,45.32031
GEOM60a.col,60,339,61,7320,35980,OPTIMAL,50,0.00884569,0.268822,0.277667,60.89453
GEOM60b.col,60,366,63,7560,39499,OPTIMAL,41,0.010501,0.652202,0.662703,61.16016
GEOM70.col,70,267,44,6160,24489,OPTIMAL,38,0.00945049,0.0197318,0.0291823,45.26562
GEOM70a.col,70,459,72,10080,53979,OPTIMAL,61,0.0233347,1.18187,1.2052,66.80859
GEOM70b.col,70,488,76,10640,60399,OPTIMAL,47,0.0156885,1.56784,1.58352,65.30078
GEOM80.col,80,349,54,8640,37167,OPTIMAL,41,0.0152584,0.0595097,0.0747681,45.38672
GEOM80a.col,80,612,79,12640,74909,OPTIMAL,63,0.0209097,2.58259,2.6035,90.57422
GEOM80b.col,80,663,98,15680,99375,OPTIMAL,60,0.0303159,3.62182,3.65213,93.04297
GEOM90.col,90,441,54,9720,43975,OPTIMAL,46,0.0121279,0.0770857,0.0892136,45.32422
GEOM90a.col,90,789,80,14400,93451,OPTIMAL,63,0.0239049,4.79085,4.81476,94.77344
GEOM90b.col,90,860,109,19620,136581,OPTIMAL,69,0.0364132,26.0666,26.103,114.50781
c21_1_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000410886,0.00306974,0.00348063,45.9375
c21_1_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000511565,0.00325919,0.00377076,45.20312
c21_2_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000783254,0.00180803,0.00259129,45.39062
c21_2_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000573146,0.0019523,0.00252545,45.63281
c21_3_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000619643,0.00317647,0.00379611,45.19531
c21_3_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000517856,0.00351414,0.004032,45.20312
c21_4_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000787915,0.00293952,0.00372744,45.75391
c21_4_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000517562,0.00207934,0.0025969,45.32031
c21_5_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000562215,0.00311891,0.00368112,45.875
c21_5_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000517786,0.00434234,0.00486013,45.87891
c21_6_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000774468,0.00293179,0.00370625,45.32031
c21_6_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000770729,0.00266449,0.00343522,45.38672
c21_7_d1.col,21,105,8,336,1534,OPTIMAL,7,0.00051552,0.00311153,0.00362705,45.68359
c21_7_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000330596,0.00300155,0.00333214,45.94141
c21_8_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000892154,0.00202471,0.00291687,45.32812
c21_8_d2.col,21,105,11,462,2122,OPTIMAL,9,0.00079601,0.00202809,0.0028241,45.32812
c55_1_d1.col,55,362,8,880,4712,OPTIMAL,7,0.00125583,0.00333646,0.00459228,45.875
c55_2_d2.col,55,362,8,880,4712,OPTIMAL,7,0.00144362,0.00438623,0.00582985,45.87891
