name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,62008,OPTIMAL,50,0.0221564,0.35951,0.381667,67.45703
GEOM100a.col,100,992,91,18200,129172,OPTIMAL,66,0.0418122,114.601,114.643,119.39844
GEOM100b.col,100,1050,121,24200,180450,OPTIMAL,71,0.0557743,63.2785,63.3342,114.95312
GEOM110.col,110,638,64,14080,70532,OPTIMAL,50,0.0188259,0.426992,0.445818,69.44531
GEOM110a.col,110,1207,109,23980,183923,OPTIMAL,69,0.0553881,101.031,101.086,130.88672
GEOM110b.col,110,1256,121,26620,210056,OPTIMAL,77,0.059648,319.958,320.018,142.10156
GEOM120.col,120,773,73,17520,93149,OPTIMAL,59,0.0319266,1.5488,1.58073,75.125
GEOM120a.col,120,1434,109,26160,211866,OPTIMAL,82,0.0618755,145.445,145.507,148.09766
GEOM120b.col,120,1491,123,29520,247233,OPTIMAL,83,0.0802809,3276.76,3276.84,289.65234
GEOM20.col,20,20,24,960,2460,OPTIMAL,21,0.000995301,0.00138105,0.00237635,42.5625
GEOM20a.col,20,37,24,960,2888,OPTIMAL,20,0.00113869,0.00174497,0.00288366,45.91797
GEOM20b.col,20,32,16,640,1852,OPTIMAL,13,0.000769685,0.00035524,0.00112492,45.97656
GEOM30.col,30,50,33,1980,5760,OPTIMAL,28,0.00240963,0.00374599,0.00615562,45.91406
GEOM30a.col,30,81,32,1920,6582,OPTIMAL,27,0.00249763,0.00369699,0.00619462,41.38281
GEOM30b.col,30,81,27,1620,5457,OPTIMAL,26,0.00170237,0.000955919,0.00265829,42.94141
GEOM40.col,40,78,33,2640,8054,OPTIMAL,28,0.00346622,0.00530848,0.00877471,46.16406
GEOM40a.col,40,146,50,4000,15820,OPTIMAL,37,0.00400923,0.028889,0.0328982,43.0625
GEOM40b.col,40,157,40,3200,12960,OPTIMAL,33,0.00476497,0.0160577,0.0208227,42.94141
GEOM50.col,50,127,36,3600,12172,OPTIMAL,28,0.00482301,0.00622135,0.0110444,45.42969
GEOM50a.col,50,238,61,6100,27268,OPTIMAL,50,0.00730687,0.286739,0.294046,58.80859
GEOM50b.col,50,249,54,5400,25196,OPTIMAL,35,0.00757178,0.201152,0.208724,54.56641
GEOM60.col,60,185,36,4320,15480,OPTIMAL,33,0.00505567,0.00539571,0.0104514,45.97656
GEOM60a.col,60,339,61,7320,35979,OPTIMAL,50,0.014515,0.381951,0.396466,58.41797
GEOM60b.col,60,366,63,7560,39498,OPTIMAL,41,0.0123579,0.590587,0.602945,61.44531
GEOM70.col,70,267,44,6160,24488,OPTIMAL,38,0.0108503,0.0295484,0.0403987,42.94141
GEOM70a.col,70,459,72,10080,53978,OPTIMAL,61,0.0162051,2.15664,2.17285,68.43359
GEOM70b.col,70,488,76,10640,60398,OPTIMAL,47,0.0201671,1.52516,1.54532,67.17969
GEOM80.col,80,349,54,8640,37166,OPTIMAL,41,0.00985701,0.0529342,0.0627912,45.42969
GEOM80a.col,80,612,79,12640,74908,OPTIMAL,63,0.0261076,5.60738,5.63349,89.02734
GEOM80b.col,80,663,98,15680,99374,OPTIMAL,60,0.0275511,3.94625,3.9738,90.23828
GEOM90.col,90,441,54,9720,43974,OPTIMAL,46,0.0125995,0.145675,0.158274,62.33203
GEOM90a.col,90,789,80,14400,93450,OPTIMAL,63,0.0263194,6.55737,6.58369,98.25391
GEOM90b.col,90,860,109,19620,136580,OPTIMAL,69,0.0373488,20.4319,20.4693,107.69922
c21_1_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000547384,0.0051743,0.00572168,46.04297
c21_1_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000577769,0.00508548,0.00566325,43.0625
c21_2_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000557949,0.00404418,0.00460213,42.55859
c21_2_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000772831,0.0046655,0.00543833,45.48828
c21_3_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000522963,0.00507654,0.0055995,45.97656
c21_3_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000528565,0.00493889,0.00546746,42.94141
c21_4_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000799983,0.00441638,0.00521636,46.05859
c21_4_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000799213,0.00466033,0.00545954,45.91406
c21_5_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000546924,0.00414847,0.00469539,45.85547
c21_5_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000569598,0.00555843,0.00612803,45.92188
c21_6_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000793193,0.00586837,0.00666157,45.36328
c21_6_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000845584,0.00622994,0.00707553,46.04297
c21_7_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000577894,0.00472232,0.00530021,46.28516
c21_7_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000573132,0.00404576,0.00461889,45.73438
c21_8_d1.col,21,105,11,462,2121,OPTIMAL,9,0.00077597,0.00460442,0.00538039,42.87891
c21_8_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000543723,0.00400904,0.00455277,45.43359
c55_1_d1.col,55,362,8,880,4711,OPTIMAL,7,0.00157976,0.00347941,0.00505917,45.42969
c55_2_d2.col,55,362,8,880,4711,OPTIMAL,7,0.00149518,0.00437461,0.0058698,42.5625
