name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12800,62009,OPTIMAL,50,0.0245645,0.342567,0.367132,67.35938
GEOM100a.col,100,992,91,18200,129173,OPTIMAL,66,0.0372884,129.064,129.102,126.69531
GEOM100b.col,100,1050,121,24200,180451,OPTIMAL,71,0.0522981,69.1154,69.1677,117.78906
GEOM110.col,110,638,64,14080,70533,OPTIMAL,50,0.0190318,0.324984,0.344016,69.85547
GEOM110a.col,110,1207,109,23980,183924,OPTIMAL,69,0.0508351,207.249,207.3,157.28516
GEOM110b.col,110,1256,121,26620,210057,OPTIMAL,77,0.0607362,265.201,265.261,156.91406
GEOM120.col,120,773,73,17520,93150,OPTIMAL,59,0.0277048,1.59574,1.62344,75.4375
GEOM120a.col,120,1434,109,26160,211867,OPTIMAL,82,0.0612231,155.121,155.183,145.58984
GEOM120b.col,120,1491,123,29520,247234,OPTIMAL,83,0.0686889,2689.05,2689.12,279.58984
GEOM20.col,20,20,24,960,2461,OPTIMAL,21,0.00102056,0.000905662,0.00192622,45.75391
GEOM20a.col,20,37,24,960,2889,OPTIMAL,20,0.00112508,0.00151066,0.00263574,45.32812
GEOM20b.col,20,32,16,640,1853,OPTIMAL,13,0.000751088,0.000545423,0.00129651,45.38672
GEOM30.col,30,50,33,1980,5761,OPTIMAL,28,0.0020867,0.0032009,0.00528761,45.19922
GEOM30a.col,30,81,32,1920,6583,OPTIMAL,27,0.00216256,0.00320184,0.0053644,45.81641
GEOM30b.col,30,81,27,1620,5458,OPTIMAL,26,0.00224021,0.00144922,0.00368942,45.32812
GEOM40.col,40,78,33,2640,8055,OPTIMAL,28,0.00335167,0.00552727,0.00887894,45.32422
GEOM40a.col,40,146,50,4000,15821,OPTIMAL,37,0.00635132,0.0364862,0.0428375,45.26562
GEOM40b.col,40,157,40,3200,12961,OPTIMAL,33,0.00513056,0.0183908,0.0235214,45.39062
GEOM50.col,50,127,36,3600,12173,OPTIMAL,28,0.00305341,0.00417452,0.00722793,45.39062
GEOM50a.col,50,238,61,6100,27269,OPTIMAL,50,0.0111826,0.236196,0.247378,59.93359
GEOM50b.col,50,249,54,5400,25197,OPTIMAL,35,0.0108275,0.148224,0.159052,57.55078
GEOM60.col,60,185,36,4320,15481,OPTIMAL,33,0.0063223,0.0102126,0.0165349,45.38672
GEOM60a.col,60,339,61,7320,35980,OPTIMAL,50,0.0140551,0.27107,0.285125,60.96484
GEOM60b.col,60,366,63,7560,39499,OPTIMAL,41,0.0148156,1.1485,1.16332,61.14062
GEOM70.col,70,267,44,6160,24489,OPTIMAL,38,0.00948349,0.0194253,0.0289088,45.57812
GEOM70a.col,70,459,72,10080,53979,OPTIMAL,61,0.0186864,1.20124,1.21993,66.73438
GEOM70b.col,70,488,76,10640,60399,OPTIMAL,47,0.0157715,1.96198,1.97775,64.54688
GEOM80.col,80,349,54,8640,37167,OPTIMAL,41,0.0154839,0.0557678,0.0712517,45.64062
GEOM80a.col,80,612,79,12640,74909,OPTIMAL,63,0.0230413,2.64831,2.67135,90.53906
GEOM80b.col,80,663,98,15680,99375,OPTIMAL,60,0.025503,3.48236,3.50787,93.00781
GEOM90.col,90,441,54,9720,43975,OPTIMAL,46,0.0170722,0.0787406,0.0958128,45.45312
GEOM90a.col,90,789,80,14400,93451,OPTIMAL,63,0.0246368,5.43022,5.45485,94.88672
GEOM90b.col,90,860,109,19620,136581,OPTIMAL,69,0.0365398,18.18,18.2166,108.54688
c21_1_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000361925,0.00279678,0.00315871,45.32812
c21_1_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000604651,0.00300749,0.00361214,45.51562
c21_2_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000796912,0.00232464,0.00312155,45.39062
c21_2_d2.col,21,105,11,462,2122,OPTIMAL,9,0.00080363,0.00279473,0.00359836,45.38672
c21_3_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000536227,0.00403951,0.00457574,45.32422
c21_3_d2.col,21,105,8,336,1534,OPTIMAL,7,0.00050164,0.00315207,0.00365371,45.26562
c21_4_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000774889,0.00222018,0.00299507,45.39062
c21_4_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000557183,0.00193371,0.0024909,45.38672
c21_5_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000577198,0.00326334,0.00384053,45.39062
c21_5_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000556767,0.00424592,0.00480268,45.32812
c21_6_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000794071,0.00216782,0.00296189,45.44922
c21_6_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000792942,0.00272171,0.00351465,45.81641
c21_7_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000538836,0.00344996,0.0039888,45.44922
c21_7_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000521333,0.00423895,0.00476028,45.39062
c21_8_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000770376,0.00276403,0.0035344,45.26562
c21_8_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000814586,0.0028028,0.00361738,45.875
c55_1_d1.col,55,362,8,880,4712,OPTIMAL,7,0.00147713,0.00493671,0.00641384,45.45312
c55_2_d2.col,55,362,8,880,4712,OPTIMAL,7,0.00152164,0.00471,0.00623164,45.39062
