name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,9800,46304,OPTIMAL,50,0.648922,0.526314,1.17524,65.69141
GEOM100a.col,100,992,91,13000,90381,OPTIMAL,66,2.32566,272.357,274.682,133.0
GEOM100b.col,100,1050,121,14000,101401,OPTIMAL,71,5.56648,89.8408,95.4073,124.65625
GEOM110.col,110,638,64,10780,52713,OPTIMAL,50,0.740073,0.473672,1.21374,70.39844
GEOM110a.col,110,1207,109,14960,111887,OPTIMAL,69,4.76646,246.638,251.404,144.47656
GEOM110b.col,110,1256,121,16720,128787,OPTIMAL,77,6.20381,171.144,177.348,140.04688
GEOM120.col,120,773,73,13920,72555,OPTIMAL,59,1.03516,2.05445,3.0896,76.69922
GEOM120a.col,120,1434,109,19440,154915,OPTIMAL,82,4.1476,128.921,133.068,134.38281
GEOM120b.col,120,1491,123,19680,161503,OPTIMAL,83,6.73546,2067.97,2074.71,223.76562
GEOM20.col,20,20,24,800,1981,OPTIMAL,21,0.00713643,0.00102881,0.00816524,45.5
GEOM20a.col,20,37,24,760,2204,OPTIMAL,20,0.00896733,0.00126856,0.0102359,45.73828
GEOM20b.col,20,32,16,480,1325,OPTIMAL,13,0.00672049,0.0010217,0.00774219,45.91797
GEOM30.col,30,50,33,1620,4561,OPTIMAL,28,0.023879,0.00379244,0.0276714,45.36719
GEOM30a.col,30,81,32,1560,5197,OPTIMAL,27,0.0251488,0.00303344,0.0281822,45.375
GEOM30b.col,30,81,27,1500,4996,OPTIMAL,26,0.0101553,0.00127514,0.0114304,45.375
GEOM40.col,40,78,33,2160,6387,OPTIMAL,28,0.0335002,0.00467801,0.0381782,45.42969
GEOM40a.col,40,146,50,2880,10977,OPTIMAL,37,0.129756,0.0354824,0.165239,55.48047
GEOM40b.col,40,157,40,2560,10105,OPTIMAL,33,0.0680027,0.0176044,0.0856071,45.4375
GEOM50.col,50,127,36,2700,8780,OPTIMAL,28,0.0767749,0.00609692,0.0828718,45.375
GEOM50a.col,50,238,61,4900,21413,OPTIMAL,50,0.226471,0.325911,0.552382,60.15625
GEOM50b.col,50,249,54,3400,15217,OPTIMAL,35,0.287439,0.0537365,0.341175,57.25391
GEOM60.col,60,185,36,3840,13541,OPTIMAL,33,0.0490343,0.00625862,0.0552929,45.42969
GEOM60a.col,60,339,61,5880,28312,OPTIMAL,50,0.299111,0.419118,0.718229,61.64453
GEOM60b.col,60,366,63,4800,24181,OPTIMAL,41,0.530862,0.650585,1.18145,60.27734
GEOM70.col,70,267,44,5180,20170,OPTIMAL,38,0.122404,0.0253709,0.147775,57.42188
GEOM70a.col,70,459,72,8400,44271,OPTIMAL,61,0.484058,1.29267,1.77673,67.91797
GEOM70b.col,70,488,76,6440,35259,OPTIMAL,47,1.05414,2.30477,3.3589,65.38281
GEOM80.col,80,349,54,6400,26681,OPTIMAL,41,0.351489,0.0644846,0.415974,59.75
GEOM80a.col,80,612,79,9920,57705,OPTIMAL,63,0.912312,2.46604,3.37836,99.08594
GEOM80b.col,80,663,98,9440,57918,OPTIMAL,60,2.33824,3.60864,5.94688,100.33203
GEOM90.col,90,441,54,8100,35956,OPTIMAL,46,0.297445,0.158647,0.456092,63.59375
GEOM90a.col,90,789,80,11160,71149,OPTIMAL,63,1.19458,6.64062,7.8352,103.96484
GEOM90b.col,90,860,109,12240,82871,OPTIMAL,69,3.57279,43.8168,47.3896,112.34375
c21_1_d1.col,21,105,8,252,1114,OPTIMAL,7,0.0027564,0.00203842,0.00479482,45.98438
c21_1_d2.col,21,105,8,252,1114,OPTIMAL,7,0.00217807,0.00189561,0.00407368,45.5
c21_2_d1.col,21,105,11,336,1492,OPTIMAL,9,0.00550155,0.00321367,0.00871521,45.3125
c21_2_d2.col,21,105,11,336,1492,OPTIMAL,9,0.00540906,0.00298604,0.00839509,46.04297
c21_3_d1.col,21,105,8,252,1114,OPTIMAL,7,0.00230954,0.00176927,0.00407881,45.55469
c21_3_d2.col,21,105,8,252,1114,OPTIMAL,7,0.00214165,0.00198001,0.00412166,45.375
c21_4_d1.col,21,105,11,336,1492,OPTIMAL,9,0.00374434,0.00225186,0.0059962,45.375
c21_4_d2.col,21,105,11,336,1492,OPTIMAL,9,0.00415165,0.00210999,0.00626164,45.73047
c21_5_d1.col,21,105,8,252,1114,OPTIMAL,7,0.00218266,0.00165027,0.00383293,45.4375
c21_5_d2.col,21,105,8,252,1114,OPTIMAL,7,0.0019174,0.00178634,0.00370374,45.80078
c21_6_d1.col,21,105,11,336,1492,OPTIMAL,9,0.00541696,0.00325932,0.00867628,45.85547
c21_6_d2.col,21,105,11,336,1492,OPTIMAL,9,0.00400849,0.00230608,0.00631457,45.92578
c21_7_d1.col,21,105,8,252,1114,OPTIMAL,7,0.00229002,0.00175414,0.00404416,45.66406
c21_7_d2.col,21,105,8,252,1114,OPTIMAL,7,0.00275207,0.0025591,0.00531117,45.3125
c21_8_d1.col,21,105,11,336,1492,OPTIMAL,9,0.00407379,0.00220515,0.00627894,45.375
c21_8_d2.col,21,105,11,336,1492,OPTIMAL,9,0.00541824,0.00308263,0.00850087,45.375
c55_1_d1.col,55,362,8,660,3438,OPTIMAL,7,0.00658416,0.00341065,0.00999481,45.98828
c55_2_d2.col,55,362,8,660,3438,OPTIMAL,7,0.00591835,0.00341863,0.00933699,45.92578
