name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,9800,46304,OPTIMAL,50,0.152748,1.03921,1.19196,67.78516
GEOM100a.col,100,992,91,13000,90381,OPTIMAL,66,0.494281,133.414,133.908,94.50781
GEOM100b.col,100,1050,121,14000,101401,OPTIMAL,71,1.22708,86.5894,87.8165,91.71094
GEOM110.col,110,638,64,10780,52713,OPTIMAL,50,0.165894,1.11366,1.27955,69.68359
GEOM110a.col,110,1207,109,14960,111887,OPTIMAL,69,1.05893,149.33,150.389,113.17578
GEOM110b.col,110,1256,121,16720,128787,OPTIMAL,77,1.34101,300.598,301.939,108.10938
GEOM120.col,120,773,73,13920,72555,OPTIMAL,59,0.235925,2.40543,2.64135,73.23047
GEOM120a.col,120,1434,109,19440,154915,OPTIMAL,82,0.932722,147.196,148.129,117.23438
GEOM120b.col,120,1491,123,19680,161503,OPTIMAL,83,1.47713,2272.4,2273.87,192.98438
GEOM20.col,20,20,24,800,1981,OPTIMAL,21,0.00214834,0.0164007,0.018549,45.87891
GEOM20a.col,20,37,24,760,2204,OPTIMAL,20,0.00309165,0.0194731,0.0225648,45.73828
GEOM20b.col,20,32,16,480,1325,OPTIMAL,13,0.00144868,0.0148001,0.0162488,45.79297
GEOM30.col,30,50,33,1620,4561,OPTIMAL,28,0.00464712,0.028239,0.0328862,44.30469
GEOM30a.col,30,81,32,1560,5197,OPTIMAL,27,0.00562476,0.0303507,0.0359755,45.375
GEOM30b.col,30,81,27,1500,4996,OPTIMAL,26,0.00249005,0.0122988,0.0147889,45.86328
GEOM40.col,40,78,33,2160,6387,OPTIMAL,28,0.00671382,0.0333136,0.0400274,45.42969
GEOM40a.col,40,146,50,2880,10977,OPTIMAL,37,0.0277706,0.149061,0.176832,52.83203
GEOM40b.col,40,157,40,2560,10105,OPTIMAL,33,0.0146543,0.0587483,0.0734025,45.86328
GEOM50.col,50,127,36,2700,8780,OPTIMAL,28,0.0153478,0.0551163,0.0704641,45.37109
GEOM50a.col,50,238,61,4900,21413,OPTIMAL,50,0.0526506,0.547142,0.599792,62.96875
GEOM50b.col,50,249,54,3400,15217,OPTIMAL,35,0.0628927,0.287219,0.350111,61.96484
GEOM60.col,60,185,36,3840,13541,OPTIMAL,33,0.0118581,0.0360279,0.047886,45.42969
GEOM60a.col,60,339,61,5880,28312,OPTIMAL,50,0.0676011,0.563676,0.631278,64.57422
GEOM60b.col,60,366,63,4800,24181,OPTIMAL,41,0.114191,1.46073,1.57493,65.64844
GEOM70.col,70,267,44,5180,20170,OPTIMAL,38,0.0276968,0.0820318,0.109729,61.77344
GEOM70a.col,70,459,72,8400,44271,OPTIMAL,61,0.103222,2.49471,2.59793,68.52734
GEOM70b.col,70,488,76,6440,35259,OPTIMAL,47,0.236325,2.85343,3.08975,67.76172
GEOM80.col,80,349,54,6400,26681,OPTIMAL,41,0.0752851,0.208633,0.283918,54.28906
GEOM80a.col,80,612,79,9920,57705,OPTIMAL,63,0.195046,3.56911,3.76416,71.74219
GEOM80b.col,80,663,98,9440,57918,OPTIMAL,60,0.50186,5.38891,5.89077,73.91406
GEOM90.col,90,441,54,8100,35956,OPTIMAL,46,0.065042,0.253121,0.318163,64.61719
GEOM90a.col,90,789,80,11160,71149,OPTIMAL,63,0.259589,6.72625,6.98584,75.05469
GEOM90b.col,90,860,109,12240,82871,OPTIMAL,69,0.755305,43.7874,44.5427,83.99609
c21_1_d1.col,21,105,8,252,1114,OPTIMAL,7,0.000616155,0.0100325,0.0106487,45.85938
c21_1_d2.col,21,105,8,252,1114,OPTIMAL,7,0.000387073,0.0102757,0.0106627,45.4375
c21_2_d1.col,21,105,11,336,1492,OPTIMAL,9,0.000808396,0.0127279,0.0135363,45.5625
c21_2_d2.col,21,105,11,336,1492,OPTIMAL,9,0.00129315,0.012871,0.0141641,45.36719
c21_3_d1.col,21,105,8,252,1114,OPTIMAL,7,0.000605992,0.0103922,0.0109982,45.85547
c21_3_d2.col,21,105,8,252,1114,OPTIMAL,7,0.000377219,0.0104594,0.0108366,45.375
c21_4_d1.col,21,105,11,336,1492,OPTIMAL,9,0.00127012,0.0129104,0.0141806,45.5625
c21_4_d2.col,21,105,11,336,1492,OPTIMAL,9,0.000822327,0.0129406,0.013763,45.36719
c21_5_d1.col,21,105,8,252,1114,OPTIMAL,7,0.000587129,0.0108961,0.0114832,45.37109
c21_5_d2.col,21,105,8,252,1114,OPTIMAL,7,0.000378501,0.0105985,0.010977,45.4375
c21_6_d1.col,21,105,11,336,1492,OPTIMAL,9,0.000794173,0.0134771,0.0142713,45.30469
c21_6_d2.col,21,105,11,336,1492,OPTIMAL,9,0.00122389,0.0132532,0.0144771,45.92578
c21_7_d1.col,21,105,8,252,1114,OPTIMAL,7,0.000590377,0.0104014,0.0109918,45.42969
c21_7_d2.col,21,105,8,252,1114,OPTIMAL,7,0.000589291,0.0103494,0.0109387,45.4375
c21_8_d1.col,21,105,11,336,1492,OPTIMAL,9,0.00123221,0.0129191,0.0141513,45.3125
c21_8_d2.col,21,105,11,336,1492,OPTIMAL,9,0.0012902,0.0135278,0.014818,45.4375
c55_1_d1.col,55,362,8,660,3438,OPTIMAL,7,0.00198494,0.0160025,0.0179874,45.4375
c55_2_d2.col,55,362,8,660,3438,OPTIMAL,7,0.00152692,0.0452543,0.0467813,45.45312
