name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,16900,121785,OPTIMAL,50,0.0399596,0.693075,0.733034,82.23047
GEOM100a.col,100,992,91,24400,271922,OPTIMAL,66,0.0941811,171.282,171.376,128.53906
GEOM100b.col,100,1050,121,32500,382054,OPTIMAL,71,0.135682,124.773,124.909,141.04688
GEOM110.col,110,638,64,18590,139010,OPTIMAL,50,0.0515218,0.778484,0.830006,84.0625
GEOM110a.col,110,1207,109,32340,392714,OPTIMAL,69,0.143108,122.286,122.429,143.93359
GEOM110b.col,110,1256,121,35750,447284,OPTIMAL,77,0.164184,813.24,813.404,193.85938
GEOM120.col,120,773,73,23280,186940,OPTIMAL,59,0.0742379,2.57214,2.64638,97.03516
GEOM120a.col,120,1434,109,35280,457796,OPTIMAL,82,0.164913,809.269,809.434,189.6875
GEOM120b.col,120,1491,123,39480,532014,SATISFIABLE,83,0.196041,3599.8,3600.0,309.78125
GEOM20.col,20,20,24,1066,3431,OPTIMAL,21,0.00153836,0.00111367,0.00265203,45.58594
GEOM20a.col,20,37,24,1073,4230,OPTIMAL,20,0.00192602,0.00213543,0.00406146,45.52344
GEOM20b.col,20,32,16,600,2085,OPTIMAL,13,0.000687038,0.000487459,0.0011745,45.33984
GEOM30.col,30,50,33,2370,9443,OPTIMAL,28,0.00444426,0.00380129,0.00824554,45.46484
GEOM30a.col,30,81,32,2310,11149,OPTIMAL,27,0.00526634,0.00329868,0.00856502,45.58594
GEOM30b.col,30,81,27,1800,8037,OPTIMAL,26,0.00402518,0.00145352,0.0054787,46.19922
GEOM40.col,40,78,33,3146,13123,OPTIMAL,28,0.00471376,0.00321202,0.00792578,45.46484
GEOM40a.col,40,146,50,5080,29520,OPTIMAL,37,0.0105706,0.0164638,0.0270345,45.52344
GEOM40b.col,40,157,40,4000,23043,OPTIMAL,33,0.00936495,0.0117652,0.0211301,45.46094
GEOM50.col,50,127,36,4236,19672,OPTIMAL,28,0.00898503,0.00433457,0.0133196,45.58203
GEOM50a.col,50,238,61,7800,53389,OPTIMAL,50,0.021827,0.446849,0.468676,65.29297
GEOM50b.col,50,249,54,6750,45554,OPTIMAL,35,0.0156421,0.101763,0.117405,61.72266
GEOM60.col,60,185,36,5100,25744,OPTIMAL,33,0.00926305,0.00585425,0.0151173,45.95312
GEOM60a.col,60,339,61,9360,71045,OPTIMAL,50,0.0288159,0.514213,0.543029,69.89062
GEOM60b.col,60,366,63,9600,74623,OPTIMAL,41,0.0300755,0.646767,0.676842,69.48438
GEOM70.col,70,267,44,7560,43983,OPTIMAL,38,0.0137323,0.0293164,0.0430487,45.52344
GEOM70a.col,70,459,72,12950,108118,OPTIMAL,61,0.0362659,3.7671,3.80337,79.74219
GEOM70b.col,70,488,76,14000,120307,OPTIMAL,47,0.0407804,2.82058,2.86136,79.04688
GEOM80.col,80,349,54,10800,68448,OPTIMAL,41,0.0264554,0.0406034,0.0670589,44.83594
GEOM80a.col,80,612,79,16480,154615,OPTIMAL,63,0.0538742,8.94619,9.00007,89.30078
GEOM80b.col,80,663,98,20640,201822,OPTIMAL,60,0.0714835,5.61362,5.6851,96.11328
GEOM90.col,90,441,54,12150,81436,OPTIMAL,46,0.0288542,0.0978156,0.12667,67.73828
GEOM90a.col,90,789,80,18720,192184,OPTIMAL,63,0.0697471,9.23928,9.30903,99.89844
GEOM90b.col,90,860,109,26460,285382,OPTIMAL,69,0.104947,43.4675,43.5724,121.375
c21_1_d1.col,21,105,8,315,1323,OPTIMAL,7,0.00045803,0.00413082,0.00458885,45.23438
c21_1_d2.col,21,105,8,315,1323,OPTIMAL,7,0.00071126,0.00459052,0.00530178,45.46094
c21_2_d1.col,21,105,11,441,2940,OPTIMAL,9,0.00129531,0.00268994,0.00398525,45.52344
c21_2_d2.col,21,105,11,441,2940,OPTIMAL,9,0.00136403,0.00235319,0.00371721,45.82812
c21_3_d1.col,21,105,8,315,1323,OPTIMAL,7,0.00047033,0.00400719,0.00447752,45.33984
c21_3_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000699902,0.00433526,0.00503516,45.58594
c21_4_d1.col,21,105,11,441,2940,OPTIMAL,9,0.00132275,0.00275622,0.00407897,45.94922
c21_4_d2.col,21,105,11,441,2940,OPTIMAL,9,0.000909932,0.00247565,0.00338558,45.27734
c21_5_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000719602,0.00590271,0.00662232,45.58203
c21_5_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000715591,0.00516582,0.00588141,45.33594
c21_6_d1.col,21,105,11,441,2940,OPTIMAL,9,0.000846971,0.00230609,0.00315306,45.46484
c21_6_d2.col,21,105,11,441,2940,OPTIMAL,9,0.00132307,0.00244965,0.00377272,45.46094
c21_7_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000741199,0.0050421,0.0057833,45.46484
c21_7_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000715866,0.00567733,0.0063932,45.58594
c21_8_d1.col,21,105,11,441,2940,OPTIMAL,9,0.0012946,0.00342359,0.00471819,45.94922
c21_8_d2.col,21,105,11,441,2940,OPTIMAL,9,0.000856007,0.00240245,0.00325845,45.52344
c55_1_d1.col,55,362,8,825,4161,OPTIMAL,7,0.00204446,0.00402779,0.00607225,45.58594
c55_2_d2.col,55,362,8,825,4161,OPTIMAL,7,0.00214042,0.00408735,0.00622776,45.58594
