name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,16900,121785,OPTIMAL,50,0.0383674,0.796367,0.834735,82.50391
GEOM100a.col,100,992,91,24400,271922,OPTIMAL,66,0.0932045,132.747,132.84,136.51172
GEOM100b.col,100,1050,121,32500,382054,OPTIMAL,71,0.130108,135.603,135.733,138.59766
GEOM110.col,110,638,64,18590,139010,OPTIMAL,50,0.0468059,0.80472,0.851526,85.30859
GEOM110a.col,110,1207,109,32340,392714,OPTIMAL,69,0.13318,114.97,115.103,142.25
GEOM110b.col,110,1256,121,35750,447284,OPTIMAL,77,0.154955,1026.06,1026.21,200.26562
GEOM120.col,120,773,73,23280,186940,OPTIMAL,59,0.0641929,2.6199,2.6841,96.06641
GEOM120a.col,120,1434,109,35280,457796,OPTIMAL,82,0.159011,216.201,216.36,171.02734
GEOM120b.col,120,1491,123,39480,532014,OPTIMAL,83,0.185946,1355.26,1355.44,211.70703
GEOM20.col,20,20,24,1066,3431,OPTIMAL,21,0.00148622,0.000945342,0.00243157,45.20703
GEOM20a.col,20,37,24,1073,4230,OPTIMAL,20,0.00145271,0.00123728,0.00268999,45.44141
GEOM20b.col,20,32,16,600,2085,OPTIMAL,13,0.000953321,0.000732825,0.00168615,45.30859
GEOM30.col,30,50,33,2370,9443,OPTIMAL,28,0.00440357,0.00366912,0.00807269,45.37109
GEOM30a.col,30,81,32,2310,11149,OPTIMAL,27,0.00496182,0.00334732,0.00830914,45.44141
GEOM30b.col,30,81,27,1800,8037,OPTIMAL,26,0.00381946,0.00147194,0.0052914,45.94531
GEOM40.col,40,78,33,3146,13123,OPTIMAL,28,0.0047755,0.00321797,0.00799347,45.18359
GEOM40a.col,40,146,50,5080,29520,OPTIMAL,37,0.0134868,0.0198169,0.0333038,45.39453
GEOM40b.col,40,157,40,4000,23043,OPTIMAL,33,0.0105786,0.0138224,0.024401,45.39453
GEOM50.col,50,127,36,4236,19672,OPTIMAL,28,0.0092938,0.00555943,0.0148532,45.375
GEOM50a.col,50,238,61,7800,53389,OPTIMAL,50,0.0197589,0.437187,0.456946,65.99219
GEOM50b.col,50,249,54,6750,45554,OPTIMAL,35,0.0209666,0.0704997,0.0914663,45.74219
GEOM60.col,60,185,36,5100,25744,OPTIMAL,33,0.00861926,0.00382417,0.0124434,45.30859
GEOM60a.col,60,339,61,9360,71045,OPTIMAL,50,0.0308078,0.51589,0.546698,69.73438
GEOM60b.col,60,366,63,9600,74623,OPTIMAL,41,0.025948,0.702509,0.728457,68.5
GEOM70.col,70,267,44,7560,43983,OPTIMAL,38,0.0133234,0.0268592,0.0401826,45.39453
GEOM70a.col,70,459,72,12950,108118,OPTIMAL,61,0.0333047,3.19803,3.23133,81.79688
GEOM70b.col,70,488,76,14000,120307,OPTIMAL,47,0.0388241,2.03742,2.07624,77.26172
GEOM80.col,80,349,54,10800,68448,OPTIMAL,41,0.0221041,0.0421585,0.0642626,45.37891
GEOM80a.col,80,612,79,16480,154615,OPTIMAL,63,0.0509244,7.74909,7.80002,86.125
GEOM80b.col,80,663,98,20640,201822,OPTIMAL,60,0.0721579,5.3485,5.42066,95.65625
GEOM90.col,90,441,54,12150,81436,OPTIMAL,46,0.026844,0.0987203,0.125564,67.625
GEOM90a.col,90,789,80,18720,192184,OPTIMAL,63,0.0637524,9.12718,9.19094,103.89062
GEOM90b.col,90,860,109,26460,285382,OPTIMAL,69,0.0938944,49.3132,49.4071,115.83594
c21_1_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000439639,0.00501136,0.005451,45.375
c21_1_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000308133,0.00410969,0.00441782,45.94531
c21_2_d1.col,21,105,11,441,2940,OPTIMAL,9,0.0010947,0.0021135,0.00320821,45.20703
c21_2_d2.col,21,105,11,441,2940,OPTIMAL,9,0.0010687,0.00280363,0.00387234,45.37109
c21_3_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000450347,0.00414267,0.00459302,45.24609
c21_3_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000445198,0.005816,0.0062612,45.26953
c21_4_d1.col,21,105,11,441,2940,OPTIMAL,9,0.00106399,0.00308352,0.0041475,45.31641
c21_4_d2.col,21,105,11,441,2940,OPTIMAL,9,0.00104242,0.00244701,0.00348942,45.73438
c21_5_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000451673,0.00575278,0.00620446,45.92578
c21_5_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000453652,0.00582158,0.00627524,45.37891
c21_6_d1.col,21,105,11,441,2940,OPTIMAL,9,0.000706228,0.00207637,0.0027826,45.85938
c21_6_d2.col,21,105,11,441,2940,OPTIMAL,9,0.000704162,0.00222826,0.00293243,45.06641
c21_7_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000460607,0.00430574,0.00476635,45.37109
c21_7_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000456849,0.00442357,0.00488041,45.19141
c21_8_d1.col,21,105,11,441,2940,OPTIMAL,9,0.0010471,0.00302915,0.00407625,45.26953
c21_8_d2.col,21,105,11,441,2940,OPTIMAL,9,0.00103877,0.00312509,0.00416386,45.19141
c55_1_d1.col,55,362,8,825,4161,OPTIMAL,7,0.0012361,0.00600203,0.00723813,45.86719
c55_2_d2.col,55,362,8,825,4161,OPTIMAL,7,0.00127552,0.00625343,0.00752894,45.94531
