name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,16900,121817,OPTIMAL,50,0.0446426,0.69987,0.744513,82.27344
GEOM100a.col,100,992,91,24400,271968,OPTIMAL,66,0.0960563,124.531,124.627,126.02344
GEOM100b.col,100,1050,121,32500,382115,OPTIMAL,71,0.139758,188.085,188.224,147.33203
GEOM110.col,110,638,64,18590,139042,OPTIMAL,50,0.0501813,0.868687,0.918868,86.79688
GEOM110a.col,110,1207,109,32340,392769,OPTIMAL,69,0.138476,486.629,486.768,176.76172
GEOM110b.col,110,1256,121,35750,447345,OPTIMAL,77,0.161778,704.925,705.087,187.45312
GEOM120.col,120,773,73,23280,186977,OPTIMAL,59,0.0678847,2.62298,2.69086,97.16406
GEOM120a.col,120,1434,109,35280,457851,OPTIMAL,82,0.168083,142.531,142.699,164.05859
GEOM120b.col,120,1491,123,39480,532076,SATISFIABLE,83,0.197346,3599.8,3600.0,287.14062
GEOM20.col,20,20,24,1066,3443,OPTIMAL,21,0.00101549,0.000772572,0.00178807,45.41406
GEOM20a.col,20,37,24,1073,4242,OPTIMAL,20,0.00189004,0.00112251,0.00301256,45.39844
GEOM20b.col,20,32,16,600,2093,OPTIMAL,13,0.00104783,0.000735936,0.00178377,45.39062
GEOM30.col,30,50,33,2370,9460,OPTIMAL,28,0.00432035,0.00375311,0.00807346,45.87891
GEOM30a.col,30,81,32,2310,11165,OPTIMAL,27,0.00515381,0.00428735,0.00944116,45.41406
GEOM30b.col,30,81,27,1800,8051,OPTIMAL,26,0.00401155,0.0016183,0.00562985,45.41406
GEOM40.col,40,78,33,3146,13140,OPTIMAL,28,0.00587845,0.00411583,0.00999428,45.07812
GEOM40a.col,40,146,50,5080,29545,OPTIMAL,37,0.0104301,0.0216998,0.0321299,45.41406
GEOM40b.col,40,157,40,4000,23063,OPTIMAL,33,0.0113277,0.0123978,0.0237255,45.28906
GEOM50.col,50,127,36,4236,19690,OPTIMAL,28,0.00803318,0.00427859,0.0123118,45.33203
GEOM50a.col,50,238,61,7800,53420,OPTIMAL,50,0.0177805,0.4754,0.49318,66.03906
GEOM50b.col,50,249,54,6750,45581,OPTIMAL,35,0.0196136,0.0884633,0.108077,60.625
GEOM60.col,60,185,36,5100,25762,OPTIMAL,33,0.0122727,0.00422359,0.0164963,45.39062
GEOM60a.col,60,339,61,9360,71076,OPTIMAL,50,0.0240478,0.518748,0.542796,69.67578
GEOM60b.col,60,366,63,9600,74655,OPTIMAL,41,0.026118,0.551368,0.577486,68.17578
GEOM70.col,70,267,44,7560,44005,OPTIMAL,38,0.0143562,0.027776,0.0421321,46.08984
GEOM70a.col,70,459,72,12950,108154,OPTIMAL,61,0.0452017,2.1591,2.2043,79.59375
GEOM70b.col,70,488,76,14000,120345,OPTIMAL,47,0.0390695,2.73462,2.77369,78.98438
GEOM80.col,80,349,54,10800,68475,OPTIMAL,41,0.0286418,0.0376745,0.0663163,45.39844
GEOM80a.col,80,612,79,16480,154655,OPTIMAL,63,0.0520888,6.82387,6.87596,88.33984
GEOM80b.col,80,663,98,20640,201871,OPTIMAL,60,0.0712713,5.27518,5.34645,94.09766
GEOM90.col,90,441,54,12150,81463,OPTIMAL,46,0.0277028,0.0949464,0.122649,68.69531
GEOM90a.col,90,789,80,18720,192224,OPTIMAL,63,0.0748124,10.3723,10.4471,98.41797
GEOM90b.col,90,860,109,26460,285437,OPTIMAL,69,0.102313,38.3143,38.4166,119.96484
c21_1_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000724764,0.00356952,0.00429429,45.39453
c21_1_d2.col,21,105,8,315,1327,OPTIMAL,7,0.00071936,0.00372278,0.00444214,45.22656
c21_2_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00102994,0.00182499,0.00285492,45.83984
c21_2_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00136119,0.00246918,0.00383037,45.39062
c21_3_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000491833,0.00254631,0.00303814,45.39062
c21_3_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000719029,0.00386554,0.00458457,45.41406
c21_4_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00132602,0.00245734,0.00378336,45.21094
c21_4_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00133961,0.0024543,0.0037939,45.39062
c21_5_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000735105,0.00353814,0.00427325,45.94531
c21_5_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000709339,0.00361737,0.00432671,45.39844
c21_6_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00132628,0.00238244,0.00370872,45.20312
c21_6_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00136772,0.00237532,0.00374304,45.39844
c21_7_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000738206,0.00367671,0.00441492,45.44141
c21_7_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000449229,0.00282662,0.00327585,45.02344
c21_8_d1.col,21,105,11,441,2946,OPTIMAL,9,0.000881516,0.0017714,0.00265292,45.22656
c21_8_d2.col,21,105,11,441,2946,OPTIMAL,9,0.000885421,0.00162577,0.0025112,45.58594
c55_1_d1.col,55,362,8,825,4165,OPTIMAL,7,0.00202824,0.00400386,0.0060321,45.39844
c55_2_d2.col,55,362,8,825,4165,OPTIMAL,7,0.00216501,0.00606416,0.00822917,45.53906
