name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,16900,121817,OPTIMAL,50,0.0385613,0.712044,0.750605,82.0625
GEOM100a.col,100,992,91,24400,271968,OPTIMAL,66,0.0949798,98.9397,99.0347,129.76562
GEOM100b.col,100,1050,121,32500,382115,OPTIMAL,71,0.127783,140.299,140.427,142.14844
GEOM110.col,110,638,64,18590,139042,OPTIMAL,50,0.0441612,0.903506,0.947667,83.61719
GEOM110a.col,110,1207,109,32340,392769,OPTIMAL,69,0.130439,186.948,187.078,173.51172
GEOM110b.col,110,1256,121,35750,447345,OPTIMAL,77,0.151874,869.67,869.821,183.40625
GEOM120.col,120,773,73,23280,186977,OPTIMAL,59,0.0621186,2.58822,2.65034,98.33203
GEOM120a.col,120,1434,109,35280,457851,OPTIMAL,82,0.157136,809.548,809.705,190.10938
GEOM120b.col,120,1491,123,39480,532076,OPTIMAL,83,0.1753,744.057,744.232,197.80469
GEOM20.col,20,20,24,1066,3443,OPTIMAL,21,0.00152475,0.00102537,0.00255012,45.37891
GEOM20a.col,20,37,24,1073,4242,OPTIMAL,20,0.00187732,0.00168363,0.00356095,45.37891
GEOM20b.col,20,32,16,600,2093,OPTIMAL,13,0.000918161,0.000663504,0.00158166,44.74609
GEOM30.col,30,50,33,2370,9460,OPTIMAL,28,0.00317601,0.00262871,0.00580472,45.37109
GEOM30a.col,30,81,32,2310,11165,OPTIMAL,27,0.0031371,0.00300458,0.00614168,45.19141
GEOM30b.col,30,81,27,1800,8051,OPTIMAL,26,0.00365109,0.000997925,0.00464902,45.37891
GEOM40.col,40,78,33,3146,13140,OPTIMAL,28,0.0044374,0.00267113,0.00710852,45.37109
GEOM40a.col,40,146,50,5080,29545,OPTIMAL,37,0.0092229,0.0213663,0.0305892,45.19141
GEOM40b.col,40,157,40,4000,23063,OPTIMAL,33,0.0109146,0.0123781,0.0232928,45.19141
GEOM50.col,50,127,36,4236,19690,OPTIMAL,28,0.00926584,0.00679441,0.0160602,45.86328
GEOM50a.col,50,238,61,7800,53420,OPTIMAL,50,0.0167308,0.477734,0.494465,64.86719
GEOM50b.col,50,249,54,6750,45581,OPTIMAL,35,0.0162458,0.0577209,0.0739667,45.37891
GEOM60.col,60,185,36,5100,25762,OPTIMAL,33,0.00953878,0.00396186,0.0135006,45.37109
GEOM60a.col,60,339,61,9360,71076,OPTIMAL,50,0.0231336,0.514231,0.537365,69.24219
GEOM60b.col,60,366,63,9600,74655,OPTIMAL,41,0.0292122,0.567188,0.596401,67.42578
GEOM70.col,70,267,44,7560,44005,OPTIMAL,38,0.0131848,0.0269672,0.040152,45.86719
GEOM70a.col,70,459,72,12950,108154,OPTIMAL,61,0.0332068,2.47773,2.51094,79.71875
GEOM70b.col,70,488,76,14000,120345,OPTIMAL,47,0.0398846,1.90191,1.9418,80.99219
GEOM80.col,80,349,54,10800,68475,OPTIMAL,41,0.0277162,0.0370026,0.0647188,45.44141
GEOM80a.col,80,612,79,16480,154655,OPTIMAL,63,0.0540166,6.75659,6.8106,85.53906
GEOM80b.col,80,663,98,20640,201871,OPTIMAL,60,0.0653283,4.83288,4.8982,94.11328
GEOM90.col,90,441,54,12150,81463,OPTIMAL,46,0.0258177,0.0895292,0.115347,67.58203
GEOM90a.col,90,789,80,18720,192224,OPTIMAL,63,0.061578,8.78889,8.85046,98.63672
GEOM90b.col,90,860,109,26460,285437,OPTIMAL,69,0.0947602,51.4568,51.5515,121.59375
c21_1_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000466207,0.00353256,0.00399876,45.3125
c21_1_d2.col,21,105,8,315,1327,OPTIMAL,7,0.00046734,0.00279033,0.00325767,45.37891
c21_2_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00108194,0.00255727,0.00363922,45.25391
c21_2_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00105345,0.00180601,0.00285946,45.73438
c21_3_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000466039,0.00355684,0.00402288,45.85938
c21_3_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000465225,0.0034898,0.00395503,45.37891
c21_4_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00108351,0.00264958,0.00373309,45.19141
c21_4_d2.col,21,105,11,441,2946,OPTIMAL,9,0.000935483,0.00202262,0.0029581,45.37109
c21_5_d1.col,21,105,8,315,1327,OPTIMAL,7,0.00047286,0.00372901,0.00420187,45.375
c21_5_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000471389,0.00303006,0.00350145,45.86719
c21_6_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00110032,0.00222125,0.00332157,45.30859
c21_6_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00106127,0.00257704,0.00363831,45.19141
c21_7_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000485532,0.00331899,0.00380452,45.79688
c21_7_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000452594,0.00361435,0.00406695,45.31641
c21_8_d1.col,21,105,11,441,2946,OPTIMAL,9,0.000721518,0.00170733,0.00242885,45.37891
c21_8_d2.col,21,105,11,441,2946,OPTIMAL,9,0.000715678,0.00183401,0.00254969,45.25391
c55_1_d1.col,55,362,8,825,4165,OPTIMAL,7,0.0012849,0.00605813,0.00734303,45.44141
c55_2_d2.col,55,362,8,825,4165,OPTIMAL,7,0.00130533,0.00432775,0.00563308,45.56641
