name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12500,89521,OPTIMAL,50,0.595028,0.732683,1.32771,80.04688
GEOM100a.col,100,992,91,17100,187432,OPTIMAL,66,2.14513,207.969,210.114,132.84375
GEOM100b.col,100,1050,121,18100,208507,OPTIMAL,71,5.23629,173.774,179.011,146.23047
GEOM110.col,110,638,64,13750,102274,OPTIMAL,50,0.682144,0.936106,1.61825,86.57422
GEOM110a.col,110,1207,109,19470,234818,OPTIMAL,69,4.72398,240.039,244.763,157.33203
GEOM110b.col,110,1256,121,22000,269629,OPTIMAL,77,6.39763,823.992,830.39,181.32422
GEOM120.col,120,773,73,18000,144280,OPTIMAL,59,0.938847,3.67808,4.61693,95.625
GEOM120a.col,120,1434,109,25200,326219,OPTIMAL,82,4.1729,968.298,972.471,205.54297
GEOM120b.col,120,1491,123,26280,341175,OPTIMAL,83,6.7638,2709.33,2716.09,271.35547
GEOM20.col,20,20,24,906,2749,OPTIMAL,21,0.00685916,0.00148529,0.00834444,45.40625
GEOM20a.col,20,37,24,873,3128,OPTIMAL,20,0.00967236,0.00252787,0.0122002,45.83203
GEOM20b.col,20,32,16,440,1392,OPTIMAL,13,0.00385693,0.000756258,0.00461318,45.39844
GEOM30.col,30,50,33,1800,6740,OPTIMAL,28,0.019242,0.00429384,0.0235359,45.39844
GEOM30a.col,30,81,32,1740,8041,OPTIMAL,27,0.0198646,0.00349692,0.0233615,45.34375
GEOM30b.col,30,81,27,1680,7512,OPTIMAL,26,0.0110371,0.00166116,0.0126982,45.83203
GEOM40.col,40,78,33,2393,9397,OPTIMAL,28,0.0237388,0.00495717,0.028696,45.64844
GEOM40a.col,40,146,50,3400,18800,OPTIMAL,37,0.114226,0.0260251,0.140251,56.88672
GEOM40b.col,40,157,40,3080,17322,OPTIMAL,33,0.0565174,0.0136016,0.0701191,45.40625
GEOM50.col,50,127,36,2993,13155,OPTIMAL,28,0.0613069,0.00874936,0.0700563,45.89453
GEOM50a.col,50,238,61,6250,41693,OPTIMAL,50,0.19916,0.427014,0.626174,65.23438
GEOM50b.col,50,249,54,4050,26370,OPTIMAL,35,0.264763,0.113042,0.377805,60.21484
GEOM60.col,60,185,36,4620,23216,OPTIMAL,33,0.0426803,0.00592638,0.0486067,45.82422
GEOM60a.col,60,339,61,7500,55541,OPTIMAL,50,0.267357,0.610467,0.877824,70.14453
GEOM60b.col,60,366,63,6000,45037,OPTIMAL,41,0.4768,0.846253,1.32305,67.92578
GEOM70.col,70,267,44,6580,36435,OPTIMAL,38,0.109971,0.0377279,0.147699,59.82031
GEOM70a.col,70,459,72,10780,89401,OPTIMAL,61,0.449103,4.74359,5.19269,82.28125
GEOM70b.col,70,488,76,8330,67255,OPTIMAL,47,0.964307,4.29284,5.25715,77.89062
GEOM80.col,80,349,54,8000,49315,OPTIMAL,41,0.313452,0.0522475,0.3657,64.16406
GEOM80a.col,80,612,79,12640,116511,OPTIMAL,63,0.856029,8.33211,9.18814,91.65625
GEOM80b.col,80,663,98,12160,115720,OPTIMAL,60,2.24156,7.40871,9.65027,92.75391
GEOM90.col,90,441,54,9900,65068,OPTIMAL,46,0.262895,0.0871901,0.350085,66.39453
GEOM90a.col,90,789,80,14220,143734,OPTIMAL,63,1.18305,12.3898,13.5729,95.61719
GEOM90b.col,90,860,109,15930,170283,OPTIMAL,69,3.92331,51.7146,55.6379,116.82812
c21_1_d1.col,21,105,8,231,945,OPTIMAL,7,0.00176658,0.00542044,0.00718702,45.40234
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.00176404,0.00538703,0.00715107,45.34375
c21_2_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00303353,0.00228705,0.00532058,45.89453
c21_2_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00451103,0.0030172,0.00752824,45.69922
c21_3_d1.col,21,105,8,231,945,OPTIMAL,7,0.00176422,0.00426838,0.0060326,45.94922
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.00131255,0.00381987,0.00513243,45.40625
c21_4_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00398119,0.00285495,0.00683614,45.70703
c21_4_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00414682,0.0032843,0.00743112,45.33594
c21_5_d1.col,21,105,8,231,945,OPTIMAL,7,0.00187552,0.00397092,0.00584644,45.89453
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.00173382,0.00501485,0.00674867,45.34375
c21_6_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00419022,0.00336551,0.00755574,45.69922
c21_6_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00425823,0.00331429,0.00757252,46.01953
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.00184326,0.00552199,0.00736525,45.6875
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.00170702,0.00431151,0.00601854,45.76953
c21_8_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00417715,0.00326988,0.00744703,44.65625
c21_8_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00292832,0.00236601,0.00529433,45.95703
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.00379685,0.00358381,0.00738066,45.76953
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.00538437,0.004725,0.0101094,45.65625
