name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12500,89521,OPTIMAL,50,0.328818,0.833539,1.16236,72.90625
GEOM100a.col,100,992,91,17100,187432,OPTIMAL,66,1.28751,235.949,237.237,102.14844
GEOM100b.col,100,1050,121,18100,208507,OPTIMAL,71,3.47884,163.625,167.104,106.80859
GEOM110.col,110,638,64,13750,102274,OPTIMAL,50,0.376265,0.899448,1.27571,74.70703
GEOM110a.col,110,1207,109,19470,234818,OPTIMAL,69,2.91012,142.426,145.336,111.58984
GEOM110b.col,110,1256,121,22000,269629,OPTIMAL,77,3.75862,1297.76,1301.52,129.18359
GEOM120.col,120,773,73,18000,144280,OPTIMAL,59,0.538637,2.79028,3.32892,82.20312
GEOM120a.col,120,1434,109,25200,326219,OPTIMAL,82,2.55631,1426.95,1429.5,141.49219
GEOM120b.col,120,1491,123,26280,341175,SATISFIABLE,83,4.21675,3595.84,3600.06,167.875
GEOM20.col,20,20,24,906,2749,OPTIMAL,21,0.00357886,0.0164625,0.0200414,45.44922
GEOM20a.col,20,37,24,873,3128,OPTIMAL,20,0.00406743,0.0211485,0.025216,45.38672
GEOM20b.col,20,32,16,440,1392,OPTIMAL,13,0.00174367,0.0435005,0.0452442,45.4375
GEOM30.col,30,50,33,1800,6740,OPTIMAL,28,0.0106674,0.0325379,0.0432052,45.5
GEOM30a.col,30,81,32,1740,8041,OPTIMAL,27,0.011935,0.0364776,0.0484127,45.63672
GEOM30b.col,30,81,27,1680,7512,OPTIMAL,26,0.00658032,0.0145536,0.0211339,45.38672
GEOM40.col,40,78,33,2393,9397,OPTIMAL,28,0.0132812,0.0364631,0.0497444,45.5625
GEOM40a.col,40,146,50,3400,18800,OPTIMAL,37,0.0648669,0.133666,0.198533,53.88672
GEOM40b.col,40,157,40,3080,17322,OPTIMAL,33,0.0325846,0.0718584,0.104443,61.35547
GEOM50.col,50,127,36,2993,13155,OPTIMAL,28,0.0311674,0.0651913,0.0963587,45.50781
GEOM50a.col,50,238,61,6250,41693,OPTIMAL,50,0.114044,0.734547,0.848591,66.26172
GEOM50b.col,50,249,54,4050,26370,OPTIMAL,35,0.140256,0.286004,0.42626,63.57422
GEOM60.col,60,185,36,4620,23216,OPTIMAL,33,0.0221712,0.0404506,0.0626218,45.4375
GEOM60a.col,60,339,61,7500,55541,OPTIMAL,50,0.158854,0.825649,0.984503,67.57031
GEOM60b.col,60,366,63,6000,45037,OPTIMAL,41,0.2737,1.13735,1.41105,67.41016
GEOM70.col,70,267,44,6580,36435,OPTIMAL,38,0.0585494,0.0980162,0.156566,55.00391
GEOM70a.col,70,459,72,10780,89401,OPTIMAL,61,0.247205,4.68215,4.92935,75.51562
GEOM70b.col,70,488,76,8330,67255,OPTIMAL,47,0.559086,2.82812,3.38721,73.58203
GEOM80.col,80,349,54,8000,49315,OPTIMAL,41,0.170672,0.233393,0.404065,56.68359
GEOM80a.col,80,612,79,12640,116511,OPTIMAL,63,0.482941,11.3861,11.869,81.71094
GEOM80b.col,80,663,98,12160,115720,OPTIMAL,60,1.29819,7.28844,8.58662,82.91797
GEOM90.col,90,441,54,9900,65068,OPTIMAL,46,0.144383,0.271968,0.416351,67.91406
GEOM90a.col,90,789,80,14220,143734,OPTIMAL,63,0.654228,13.9897,14.6439,85.17578
GEOM90b.col,90,860,109,15930,170283,OPTIMAL,69,2.09799,60.0589,62.1569,95.99609
c21_1_d1.col,21,105,8,231,945,OPTIMAL,7,0.00116187,0.0169748,0.0181367,45.44141
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.00113664,0.0159665,0.0171031,45.32422
c21_2_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00157854,0.0141412,0.0157197,45.32422
c21_2_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00235416,0.0139424,0.0162966,45.86328
c21_3_d1.col,21,105,8,231,945,OPTIMAL,7,0.00116709,0.0167031,0.0178702,45.4375
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.00115006,0.0153898,0.0165398,45.38672
c21_4_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00253381,0.0145235,0.0170573,45.38672
c21_4_d2.col,21,105,11,315,1914,OPTIMAL,9,0.0025286,0.0133816,0.0159102,45.73828
c21_5_d1.col,21,105,8,231,945,OPTIMAL,7,0.00116234,0.0156476,0.01681,45.44531
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.00117828,0.0138696,0.0150479,45.8125
c21_6_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00259921,0.0147185,0.0173178,45.4375
c21_6_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00253172,0.0137856,0.0163173,45.875
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.00113863,0.0161601,0.0172987,45.92578
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.00118313,0.0171497,0.0183328,45.38672
c21_8_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00253735,0.0141097,0.0166471,45.38672
c21_8_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00252591,0.014394,0.0169199,45.875
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.00285375,0.0191738,0.0220276,46.0
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.00352145,0.0196137,0.0231351,45.38672
