name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12500,89521,OPTIMAL,50,0.544553,1.19659,1.74115,79.875
GEOM100a.col,100,992,91,17100,187432,OPTIMAL,66,2.01965,195.728,197.747,124.15625
GEOM100b.col,100,1050,121,18100,208507,OPTIMAL,71,5.28788,162.76,168.048,134.0
GEOM110.col,110,638,64,13750,102274,OPTIMAL,50,0.613264,0.796694,1.40996,84.14062
GEOM110a.col,110,1207,109,19470,234818,OPTIMAL,69,4.40477,181.673,186.077,150.74609
GEOM110b.col,110,1256,121,22000,269629,OPTIMAL,77,5.60252,783.09,788.692,176.71094
GEOM120.col,120,773,73,18000,144280,OPTIMAL,59,0.89608,3.39746,4.29354,93.57812
GEOM120a.col,120,1434,109,25200,326219,OPTIMAL,82,3.89914,886.083,889.982,178.97656
GEOM120b.col,120,1491,123,26280,341175,OPTIMAL,83,6.29582,1361.06,1367.35,211.00391
GEOM20.col,20,20,24,906,2749,OPTIMAL,21,0.00636727,0.0014004,0.00776767,45.39844
GEOM20a.col,20,37,24,873,3128,OPTIMAL,20,0.00625046,0.00150054,0.007751,45.75391
GEOM20b.col,20,32,16,440,1392,OPTIMAL,13,0.0025036,0.00061803,0.00312163,45.26172
GEOM30.col,30,50,33,1800,6740,OPTIMAL,28,0.0176107,0.00431038,0.021921,45.32422
GEOM30a.col,30,81,32,1740,8041,OPTIMAL,27,0.0224789,0.0040455,0.0265244,45.39453
GEOM30b.col,30,81,27,1680,7512,OPTIMAL,26,0.00806839,0.00106349,0.00913188,45.75781
GEOM40.col,40,78,33,2393,9397,OPTIMAL,28,0.023468,0.00485753,0.0283255,45.75
GEOM40a.col,40,146,50,3400,18800,OPTIMAL,37,0.10614,0.0247059,0.130846,56.94922
GEOM40b.col,40,157,40,3080,17322,OPTIMAL,33,0.0532478,0.0136249,0.0668727,45.39453
GEOM50.col,50,127,36,2993,13155,OPTIMAL,28,0.0519872,0.00702514,0.0590123,45.20312
GEOM50a.col,50,238,61,6250,41693,OPTIMAL,50,0.17905,0.432665,0.611715,65.25
GEOM50b.col,50,249,54,4050,26370,OPTIMAL,35,0.238223,0.111665,0.349888,59.48828
GEOM60.col,60,185,36,4620,23216,OPTIMAL,33,0.0406015,0.00578952,0.046391,45.9375
GEOM60a.col,60,339,61,7500,55541,OPTIMAL,50,0.242256,0.606021,0.848277,70.36719
GEOM60b.col,60,366,63,6000,45037,OPTIMAL,41,0.445402,0.688423,1.13382,67.33984
GEOM70.col,70,267,44,6580,36435,OPTIMAL,38,0.104081,0.0375652,0.141646,59.79297
GEOM70a.col,70,459,72,10780,89401,OPTIMAL,61,0.402636,4.62096,5.0236,82.55078
GEOM70b.col,70,488,76,8330,67255,OPTIMAL,47,0.908857,2.9417,3.85056,76.73438
GEOM80.col,80,349,54,8000,49315,OPTIMAL,41,0.278315,0.0477013,0.326016,63.78125
GEOM80a.col,80,612,79,12640,116511,OPTIMAL,63,0.794846,8.44935,9.24419,88.90234
GEOM80b.col,80,663,98,12160,115720,OPTIMAL,60,2.06514,6.74931,8.81445,92.33984
GEOM90.col,90,441,54,9900,65068,OPTIMAL,46,0.239987,0.0841584,0.324145,66.34766
GEOM90a.col,90,789,80,14220,143734,OPTIMAL,63,1.03655,10.149,11.1855,94.40234
GEOM90b.col,90,860,109,15930,170283,OPTIMAL,69,3.15059,43.0201,46.1707,118.72266
c21_1_d1.col,21,105,8,231,945,OPTIMAL,7,0.00105527,0.00374926,0.00480452,45.39062
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.000801312,0.00366946,0.00447077,45.82031
c21_2_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00282503,0.0027257,0.00555073,45.39453
c21_2_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00325526,0.0034914,0.00674667,45.44922
c21_3_d1.col,21,105,8,231,945,OPTIMAL,7,0.00107251,0.00545099,0.0065235,45.32422
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.00110062,0.00551746,0.00661808,45.75781
c21_4_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00322293,0.00361929,0.00684222,45.82031
c21_4_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00329849,0.00282096,0.00611945,45.44922
c21_5_d1.col,21,105,8,231,945,OPTIMAL,7,0.00102416,0.00393888,0.00496304,44.89062
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.0011148,0.00535792,0.00647273,45.14062
c21_6_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00327676,0.00375058,0.00702734,45.32422
c21_6_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00272124,0.00249021,0.00521145,45.94141
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.00110654,0.00557619,0.00668273,45.63672
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.00119632,0.00380476,0.00500108,45.87891
c21_8_d1.col,21,105,11,315,1914,OPTIMAL,9,0.0032649,0.00383877,0.00710367,45.75781
c21_8_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00330474,0.00382142,0.00712615,45.87891
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.00312937,0.00549549,0.00862486,45.32812
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.0029618,0.00461885,0.00758065,45.33594
