name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12500,89546,OPTIMAL,50,0.320116,0.82842,1.14854,73.78516
GEOM100a.col,100,992,91,17100,187465,OPTIMAL,66,1.29047,108.539,109.829,101.26953
GEOM100b.col,100,1050,121,18100,208542,OPTIMAL,71,3.44546,173.996,177.441,106.01562
GEOM110.col,110,638,64,13750,102299,OPTIMAL,50,0.374501,1.003,1.3775,74.28906
GEOM110a.col,110,1207,109,19470,234852,OPTIMAL,69,2.88698,191.843,194.73,111.94922
GEOM110b.col,110,1256,121,22000,269667,OPTIMAL,77,3.76135,1208.68,1212.44,131.75
GEOM120.col,120,773,73,18000,144309,OPTIMAL,59,0.53687,3.4168,3.95367,82.0625
GEOM120a.col,120,1434,109,25200,326260,OPTIMAL,82,2.53106,1402.38,1404.91,136.26172
GEOM120b.col,120,1491,123,26280,341216,OPTIMAL,83,4.22054,2897.21,2901.43,168.05078
GEOM20.col,20,20,24,906,2759,OPTIMAL,21,0.00361589,0.0171771,0.020793,45.57031
GEOM20a.col,20,37,24,873,3138,OPTIMAL,20,0.00575731,0.0223365,0.0280938,45.37109
GEOM20b.col,20,32,16,440,1398,OPTIMAL,13,0.00223855,0.0142189,0.0164575,45.35938
GEOM30.col,30,50,33,1800,6754,OPTIMAL,28,0.00932876,0.0323814,0.0417101,45.35938
GEOM30a.col,30,81,32,1740,8054,OPTIMAL,27,0.0128427,0.0394878,0.0523304,45.80859
GEOM30b.col,30,81,27,1680,7525,OPTIMAL,26,0.00642464,0.0140867,0.0205113,45.38281
GEOM40.col,40,78,33,2393,9411,OPTIMAL,28,0.0147087,0.0389582,0.0536669,45.91016
GEOM40a.col,40,146,50,3400,18818,OPTIMAL,37,0.0655228,0.143065,0.208588,61.74609
GEOM40b.col,40,157,40,3080,17338,OPTIMAL,33,0.0384194,0.0734626,0.111882,53.49219
GEOM50.col,50,127,36,2993,13169,OPTIMAL,28,0.0296643,0.0626831,0.0923474,45.36328
GEOM50a.col,50,238,61,6250,41718,OPTIMAL,50,0.109745,0.629649,0.739395,65.49219
GEOM50b.col,50,249,54,4050,26387,OPTIMAL,35,0.146958,0.229612,0.37657,63.28125
GEOM60.col,60,185,36,4620,23232,OPTIMAL,33,0.0243008,0.0393293,0.0636301,45.42188
GEOM60a.col,60,339,61,7500,55566,OPTIMAL,50,0.147954,0.678419,0.826372,67.61719
GEOM60b.col,60,366,63,6000,45057,OPTIMAL,41,0.27593,1.31545,1.59138,68.04688
GEOM70.col,70,267,44,6580,36454,OPTIMAL,38,0.066454,0.101695,0.168149,54.94531
GEOM70a.col,70,459,72,10780,89431,OPTIMAL,61,0.244655,2.1702,2.41485,73.30469
GEOM70b.col,70,488,76,8330,67278,OPTIMAL,47,0.564174,3.81101,4.37519,73.64844
GEOM80.col,80,349,54,8000,49335,OPTIMAL,41,0.162156,0.241318,0.403474,56.64844
GEOM80a.col,80,612,79,12640,116542,OPTIMAL,63,0.485924,5.99403,6.47996,79.91016
GEOM80b.col,80,663,98,12160,115750,OPTIMAL,60,1.32139,7.06173,8.38312,83.30469
GEOM90.col,90,441,54,9900,65091,OPTIMAL,46,0.144111,0.283373,0.427484,67.80078
GEOM90a.col,90,789,80,14220,143765,OPTIMAL,63,0.644003,13.7429,14.3869,85.21094
GEOM90b.col,90,860,109,15930,170317,OPTIMAL,69,2.0983,50.9982,53.0965,95.51953
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.000681724,0.0107228,0.0114046,45.48828
c21_1_d2.col,21,105,8,231,948,OPTIMAL,7,0.00112431,0.0109939,0.0121182,45.44531
c21_2_d1.col,21,105,11,315,1918,OPTIMAL,9,0.0018858,0.0123172,0.014203,45.32031
c21_2_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00235229,0.0141396,0.0164919,45.35938
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.000697947,0.0102728,0.0109707,45.42188
c21_3_d2.col,21,105,8,231,948,OPTIMAL,7,0.000686508,0.0107322,0.0114188,45.32031
c21_4_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00253735,0.0129998,0.0155372,45.38281
c21_4_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00160709,0.0135967,0.0152038,45.60938
c21_5_d1.col,21,105,8,231,948,OPTIMAL,7,0.00103931,0.0109796,0.0120189,45.36328
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.00115092,0.010561,0.0117119,45.44531
c21_6_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00254984,0.0126803,0.0152301,45.42188
c21_6_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00156872,0.013217,0.0147857,45.36719
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.00116804,0.0100871,0.0112551,45.54688
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.000864592,0.0108164,0.011681,45.38281
c21_8_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00255022,0.0130375,0.0155877,45.38281
c21_8_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00159638,0.0127941,0.0143905,45.44531
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.00373048,0.0181124,0.0218429,45.42969
c55_2_d2.col,55,362,8,605,3000,OPTIMAL,7,0.0037462,0.0179962,0.0217424,45.87109
