name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12500,89546,OPTIMAL,50,0.539907,0.711148,1.25105,79.94141
GEOM100a.col,100,992,91,17100,187465,OPTIMAL,66,2.01444,126.331,128.345,117.28906
GEOM100b.col,100,1050,121,18100,208542,OPTIMAL,71,5.19118,194.486,199.678,135.03125
GEOM110.col,110,638,64,13750,102299,OPTIMAL,50,0.617943,0.855973,1.47392,84.08203
GEOM110a.col,110,1207,109,19470,234852,OPTIMAL,69,4.39989,145.79,150.19,131.14453
GEOM110b.col,110,1256,121,22000,269667,OPTIMAL,77,5.53821,876.096,881.634,177.16016
GEOM120.col,120,773,73,18000,144309,OPTIMAL,59,0.870221,3.82291,4.69313,94.09766
GEOM120a.col,120,1434,109,25200,326260,OPTIMAL,82,3.88786,925.112,929.0,204.94922
GEOM120b.col,120,1491,123,26280,341216,OPTIMAL,83,6.30498,3050.12,3056.42,266.67188
GEOM20.col,20,20,24,906,2759,OPTIMAL,21,0.006416,0.00151876,0.00793476,46.01172
GEOM20a.col,20,37,24,873,3138,OPTIMAL,20,0.00622743,0.00183487,0.0080623,45.39844
GEOM20b.col,20,32,16,440,1398,OPTIMAL,13,0.00372865,0.0006258,0.00435445,45.94531
GEOM30.col,30,50,33,1800,6754,OPTIMAL,28,0.0202863,0.00453492,0.0248212,45.51953
GEOM30a.col,30,81,32,1740,8054,OPTIMAL,27,0.0197598,0.00699712,0.0267569,45.88672
GEOM30b.col,30,81,27,1680,7525,OPTIMAL,26,0.00728869,0.00142138,0.00871006,45.33594
GEOM40.col,40,78,33,2393,9411,OPTIMAL,28,0.0234465,0.00426932,0.0277158,45.39453
GEOM40a.col,40,146,50,3400,18818,OPTIMAL,37,0.1091,0.0375245,0.146624,56.67188
GEOM40b.col,40,157,40,3080,17338,OPTIMAL,33,0.0529215,0.0121236,0.0650451,45.33594
GEOM50.col,50,127,36,2993,13169,OPTIMAL,28,0.0488994,0.00668296,0.0555824,45.39844
GEOM50a.col,50,238,61,6250,41718,OPTIMAL,50,0.189646,0.451561,0.641207,64.26953
GEOM50b.col,50,249,54,4050,26387,OPTIMAL,35,0.239044,0.0781075,0.317152,59.53125
GEOM60.col,60,185,36,4620,23232,OPTIMAL,33,0.0367416,0.00586756,0.0426091,45.82031
GEOM60a.col,60,339,61,7500,55566,OPTIMAL,50,0.246629,0.660418,0.907047,69.55078
GEOM60b.col,60,366,63,6000,45057,OPTIMAL,41,0.454908,1.18255,1.63745,67.72266
GEOM70.col,70,267,44,6580,36454,OPTIMAL,38,0.10185,0.0375714,0.139421,59.69922
GEOM70a.col,70,459,72,10780,89431,OPTIMAL,61,0.404935,3.26083,3.66576,81.51562
GEOM70b.col,70,488,76,8330,67278,OPTIMAL,47,0.902482,3.51204,4.41452,77.97656
GEOM80.col,80,349,54,8000,49335,OPTIMAL,41,0.286099,0.055138,0.341237,63.61719
GEOM80a.col,80,612,79,12640,116542,OPTIMAL,63,0.787223,6.14097,6.9282,87.92578
GEOM80b.col,80,663,98,12160,115750,OPTIMAL,60,2.03438,6.24194,8.27633,94.98438
GEOM90.col,90,441,54,9900,65091,OPTIMAL,46,0.239169,0.0791998,0.318369,68.12891
GEOM90a.col,90,789,80,14220,143765,OPTIMAL,63,1.04984,11.7877,12.8375,97.17969
GEOM90b.col,90,860,109,15930,170317,OPTIMAL,69,3.10833,77.6647,80.7731,113.65234
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.0011103,0.00269957,0.00380987,45.88672
c21_1_d2.col,21,105,8,231,948,OPTIMAL,7,0.00111295,0.00258477,0.00369772,45.88672
c21_2_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00316248,0.00162264,0.00478511,45.33594
c21_2_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00328989,0.00224857,0.00553845,45.45703
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.00111822,0.00299064,0.00410887,45.69531
c21_3_d2.col,21,105,8,231,948,OPTIMAL,7,0.00112275,0.00222986,0.00335261,45.46094
c21_4_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00267225,0.00137746,0.00404971,45.82422
c21_4_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00282142,0.00143208,0.00425351,45.88281
c21_5_d1.col,21,105,8,231,948,OPTIMAL,7,0.00110908,0.00280612,0.0039152,45.02344
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.00112708,0.0026904,0.00381748,45.69922
c21_6_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00269616,0.00149164,0.00418781,45.39453
c21_6_d2.col,21,105,11,315,1918,OPTIMAL,9,0.0023093,0.00136007,0.00366937,45.69922
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.00113679,0.00275523,0.00389202,45.92969
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.00113846,0.00270142,0.00383987,46.32422
c21_8_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00309881,0.00214023,0.00523904,45.33594
c21_8_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00337786,0.00195601,0.00533387,45.58594
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.00280011,0.00509331,0.00789342,45.52344
c55_2_d2.col,55,362,8,605,3000,OPTIMAL,7,0.00271725,0.00513416,0.00785141,45.39844
