name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,16802,120874,OPTIMAL,50,0.041016,0.719112,0.760128,82.19922
GEOM100a.col,100,992,91,24371,270898,OPTIMAL,66,0.0981569,105.845,105.943,131.13672
GEOM100b.col,100,1050,121,32496,380795,OPTIMAL,71,0.140593,136.818,136.958,137.23438
GEOM110.col,110,638,64,18502,138180,OPTIMAL,50,0.0494463,0.926673,0.976119,85.76953
GEOM110a.col,110,1207,109,32318,391963,OPTIMAL,69,0.143817,176.996,177.14,161.44531
GEOM110b.col,110,1256,121,35750,445752,OPTIMAL,77,0.1616,1076.37,1076.53,195.00781
GEOM120.col,120,773,73,23244,186286,OPTIMAL,59,0.0685838,2.67239,2.74098,97.96484
GEOM120a.col,120,1434,109,35258,457014,OPTIMAL,82,0.164079,1016.12,1016.28,204.04297
GEOM120b.col,120,1491,123,39480,530219,OPTIMAL,83,0.196158,1187.98,1188.17,210.75391
GEOM20.col,20,20,24,1080,3642,OPTIMAL,21,0.00162661,0.00114878,0.00277539,45.39844
GEOM20a.col,20,37,24,1084,4387,OPTIMAL,20,0.00136346,0.00141245,0.00277591,45.33594
GEOM20b.col,20,32,16,657,2356,OPTIMAL,13,0.00114951,0.000713485,0.00186299,45.20703
GEOM30.col,30,50,33,2406,9913,OPTIMAL,28,0.00440734,0.00377177,0.00817911,45.51953
GEOM30a.col,30,81,32,2306,11111,OPTIMAL,27,0.00517265,0.00320229,0.00837494,45.33594
GEOM30b.col,30,81,27,1849,8401,OPTIMAL,26,0.00307951,0.00140708,0.00448659,45.33594
GEOM40.col,40,78,33,3175,13604,OPTIMAL,28,0.00648055,0.00410299,0.0105835,45.26953
GEOM40a.col,40,146,50,5092,29508,OPTIMAL,37,0.0103052,0.0163898,0.026695,45.33594
GEOM40b.col,40,157,40,3976,22960,OPTIMAL,33,0.00773587,0.0158764,0.0236123,45.27344
GEOM50.col,50,127,36,4324,20423,OPTIMAL,28,0.00979585,0.00716008,0.0169559,45.39844
GEOM50a.col,50,238,61,7810,53039,OPTIMAL,50,0.0207485,0.415802,0.436551,65.92578
GEOM50b.col,50,249,54,6777,45627,OPTIMAL,35,0.0169512,0.091542,0.108493,60.63672
GEOM60.col,60,185,36,5192,26354,OPTIMAL,33,0.00980625,0.00500288,0.0148091,45.33203
GEOM60a.col,60,339,61,9372,70466,OPTIMAL,50,0.0243556,0.522911,0.547267,70.05469
GEOM60b.col,60,366,63,9611,74357,OPTIMAL,41,0.0306004,0.661785,0.692386,68.24219
GEOM70.col,70,267,44,7617,44311,OPTIMAL,38,0.0143934,0.0275414,0.0419348,45.33594
GEOM70a.col,70,459,72,12948,107610,OPTIMAL,61,0.0448999,3.95907,4.00397,79.58594
GEOM70b.col,70,488,76,13984,119771,OPTIMAL,47,0.0447034,2.70279,2.74749,77.5
GEOM80.col,80,349,54,10820,68630,OPTIMAL,41,0.0293629,0.0411964,0.0705593,45.39844
GEOM80a.col,80,612,79,16469,153867,OPTIMAL,63,0.0552433,8.49753,8.55277,87.69141
GEOM80b.col,80,663,98,20661,201202,OPTIMAL,60,0.0748611,5.48064,5.5555,94.35938
GEOM90.col,90,441,54,12182,81495,OPTIMAL,46,0.0369556,0.0896006,0.126556,68.28906
GEOM90a.col,90,789,80,18713,191273,OPTIMAL,63,0.0671589,9.31859,9.38575,96.9375
GEOM90b.col,90,860,109,26409,284264,OPTIMAL,69,0.110669,49.5531,49.6637,120.875
c21_1_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000456945,0.00401509,0.00447203,45.94922
c21_1_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000456218,0.00406488,0.00452109,45.82422
c21_2_d1.col,21,105,11,441,2940,OPTIMAL,9,0.00138746,0.00220681,0.00359427,45.82422
c21_2_d2.col,21,105,11,441,2940,OPTIMAL,9,0.0013637,0.00335923,0.00472293,45.39453
c21_3_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000487439,0.00398478,0.00447222,45.39453
c21_3_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000451833,0.00417547,0.0046273,45.39844
c21_4_d1.col,21,105,11,441,2940,OPTIMAL,9,0.00133064,0.00361463,0.00494526,45.33594
c21_4_d2.col,21,105,11,441,2940,OPTIMAL,9,0.0014477,0.00246111,0.00390881,45.14453
c21_5_d1.col,21,105,8,315,1323,OPTIMAL,7,0.0007484,0.00528296,0.00603136,45.46094
c21_5_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000724673,0.00462129,0.00534596,45.33594
c21_6_d1.col,21,105,11,441,2940,OPTIMAL,9,0.00126315,0.00238941,0.00365255,45.33203
c21_6_d2.col,21,105,11,441,2940,OPTIMAL,9,0.000901234,0.0024844,0.00338563,45.39844
c21_7_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000713831,0.004467,0.00518083,45.80859
c21_7_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000735489,0.00427316,0.00500864,45.33594
c21_8_d1.col,21,105,11,441,2940,OPTIMAL,9,0.00134748,0.00331061,0.00465809,45.27344
c21_8_d2.col,21,105,11,441,2940,OPTIMAL,9,0.000866142,0.00245539,0.00332153,45.39844
c55_1_d1.col,55,362,8,825,4161,OPTIMAL,7,0.00199526,0.00425455,0.00624981,45.82422
c55_2_d2.col,55,362,8,825,4161,OPTIMAL,7,0.00138357,0.00407341,0.00545698,45.39844
