name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,16802,120906,OPTIMAL,50,0.0422666,0.718638,0.760905,80.24219
GEOM100a.col,100,992,91,24371,270944,OPTIMAL,66,0.100264,157.25,157.35,128.67188
GEOM100b.col,100,1050,121,32496,380856,OPTIMAL,71,0.137129,165.494,165.631,133.21094
GEOM110.col,110,638,64,18502,138212,OPTIMAL,50,0.0470745,0.757733,0.804808,85.71094
GEOM110a.col,110,1207,109,32318,392018,OPTIMAL,69,0.136952,165.032,165.168,146.63672
GEOM110b.col,110,1256,121,35750,445813,OPTIMAL,77,0.160917,1065.74,1065.9,190.13281
GEOM120.col,120,773,73,23244,186323,OPTIMAL,59,0.07074,2.87159,2.94233,97.11328
GEOM120a.col,120,1434,109,35258,457069,OPTIMAL,82,0.164655,188.817,188.981,167.75391
GEOM120b.col,120,1491,123,39480,530281,OPTIMAL,83,0.222337,1363.75,1363.97,201.84375
GEOM20.col,20,20,24,1080,3654,OPTIMAL,21,0.00109661,0.000921434,0.00201804,45.41016
GEOM20a.col,20,37,24,1084,4399,OPTIMAL,20,0.00197353,0.00102393,0.00299746,45.41016
GEOM20b.col,20,32,16,657,2364,OPTIMAL,13,0.000749951,0.000606024,0.00135597,45.46484
GEOM30.col,30,50,33,2406,9930,OPTIMAL,28,0.00337846,0.00237371,0.00575217,45.76562
GEOM30a.col,30,81,32,2306,11127,OPTIMAL,27,0.00519246,0.00436285,0.00955531,45.34766
GEOM30b.col,30,81,27,1849,8415,OPTIMAL,26,0.00358816,0.00112327,0.00471143,45.41016
GEOM40.col,40,78,33,3175,13621,OPTIMAL,28,0.00419658,0.00278869,0.00698527,45.40234
GEOM40a.col,40,146,50,5092,29533,OPTIMAL,37,0.00938819,0.0237224,0.0331106,45.41016
GEOM40b.col,40,157,40,3976,22980,OPTIMAL,33,0.00836901,0.0117767,0.0201457,45.47266
GEOM50.col,50,127,36,4324,20441,OPTIMAL,28,0.00964989,0.00638316,0.016033,45.34375
GEOM50a.col,50,238,61,7810,53070,OPTIMAL,50,0.0173099,0.417598,0.434908,65.61328
GEOM50b.col,50,249,54,6777,45654,OPTIMAL,35,0.0176733,0.060876,0.0785492,45.41016
GEOM60.col,60,185,36,5192,26372,OPTIMAL,33,0.00843021,0.00454234,0.0129725,45.40234
GEOM60a.col,60,339,61,9372,70497,OPTIMAL,50,0.0271972,0.498677,0.525874,69.49609
GEOM60b.col,60,366,63,9611,74389,OPTIMAL,41,0.0249745,0.871748,0.896723,68.35547
GEOM70.col,70,267,44,7617,44333,OPTIMAL,38,0.0152349,0.0275676,0.0428025,44.66016
GEOM70a.col,70,459,72,12948,107646,OPTIMAL,61,0.0359205,2.4711,2.50702,78.98828
GEOM70b.col,70,488,76,13984,119809,OPTIMAL,47,0.0403853,2.32521,2.36559,76.73047
GEOM80.col,80,349,54,10820,68657,OPTIMAL,41,0.0248944,0.0414294,0.0663239,45.34375
GEOM80a.col,80,612,79,16469,153907,OPTIMAL,63,0.0531532,6.19431,6.24746,91.8125
GEOM80b.col,80,663,98,20661,201251,OPTIMAL,60,0.0752547,5.55859,5.63384,97.89062
GEOM90.col,90,441,54,12182,81522,OPTIMAL,46,0.0296468,0.0917758,0.121423,67.52344
GEOM90a.col,90,789,80,18713,191313,OPTIMAL,63,0.0655259,11.7887,11.8542,95.16406
GEOM90b.col,90,860,109,26409,284319,OPTIMAL,69,0.102285,59.5524,59.6547,123.10156
c21_1_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000719872,0.00360171,0.00432158,45.46875
c21_1_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000457839,0.00261607,0.00307391,45.34766
c21_2_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00133974,0.00175611,0.00309584,45.41016
c21_2_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00137778,0.00239955,0.00377732,45.40234
c21_3_d1.col,21,105,8,315,1327,OPTIMAL,7,0.00072793,0.00277769,0.00350562,45.40234
c21_3_d2.col,21,105,8,315,1327,OPTIMAL,7,0.00072608,0.00355452,0.0042806,45.41016
c21_4_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00136021,0.00196363,0.00332384,45.41016
c21_4_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00133143,0.00245318,0.0037846,45.33984
c21_5_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000738696,0.00360602,0.00434471,45.65625
c21_5_d2.col,21,105,8,315,1327,OPTIMAL,7,0.00071748,0.00357562,0.0042931,45.34766
c21_6_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00136334,0.00239227,0.00375561,45.58984
c21_6_d2.col,21,105,11,441,2946,OPTIMAL,9,0.0013547,0.00250695,0.00386165,45.59375
c21_7_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000769267,0.00272793,0.0034972,45.46094
c21_7_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000742839,0.00303419,0.00377703,45.28516
c21_8_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00132405,0.00241625,0.0037403,45.22266
c21_8_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00136575,0.00168535,0.0030511,45.34766
c55_1_d1.col,55,362,8,825,4165,OPTIMAL,7,0.00215463,0.00404425,0.00619887,45.53125
c55_2_d2.col,55,362,8,825,4165,OPTIMAL,7,0.00215703,0.00473963,0.00689666,45.77344
