name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,16802,120906,OPTIMAL,50,0.0396229,0.760221,0.799844,81.73438
GEOM100a.col,100,992,91,24371,270944,OPTIMAL,66,0.0939126,205.649,205.743,135.45703
GEOM100b.col,100,1050,121,32496,380856,OPTIMAL,71,0.131607,141.51,141.642,142.375
GEOM110.col,110,638,64,18502,138212,OPTIMAL,50,0.0471086,0.923222,0.970331,84.66406
GEOM110a.col,110,1207,109,32318,392018,OPTIMAL,69,0.138709,125.703,125.842,137.20703
GEOM110b.col,110,1256,121,35750,445813,OPTIMAL,77,0.166253,970.818,970.985,202.39062
GEOM120.col,120,773,73,23244,186323,OPTIMAL,59,0.0672111,2.8967,2.96392,98.95312
GEOM120a.col,120,1434,109,35258,457069,OPTIMAL,82,0.18209,1041.43,1041.61,198.51172
GEOM120b.col,120,1491,123,39480,530281,OPTIMAL,83,0.18058,1689.55,1689.73,249.80469
GEOM20.col,20,20,24,1080,3654,OPTIMAL,21,0.00165512,0.00109852,0.00275364,45.79688
GEOM20a.col,20,37,24,1084,4399,OPTIMAL,20,0.00204086,0.00151719,0.00355805,45.37109
GEOM20b.col,20,32,16,657,2364,OPTIMAL,13,0.00105402,0.000924379,0.0019784,45.36719
GEOM30.col,30,50,33,2406,9930,OPTIMAL,28,0.00448191,0.0036388,0.00812071,45.42969
GEOM30a.col,30,81,32,2306,11127,OPTIMAL,27,0.00504891,0.00415393,0.00920284,46.04688
GEOM30b.col,30,81,27,1849,8415,OPTIMAL,26,0.00252532,0.00129243,0.00381775,45.98438
GEOM40.col,40,78,33,3175,13621,OPTIMAL,28,0.00615735,0.00291809,0.00907544,45.36719
GEOM40a.col,40,146,50,5092,29533,OPTIMAL,37,0.00936905,0.0258967,0.0352657,45.43359
GEOM40b.col,40,157,40,3976,22980,OPTIMAL,33,0.00795969,0.0129497,0.0209094,45.43359
GEOM50.col,50,127,36,4324,20441,OPTIMAL,28,0.00941512,0.00487862,0.0142937,45.73438
GEOM50a.col,50,238,61,7810,53070,OPTIMAL,50,0.0172462,0.446337,0.463584,64.85547
GEOM50b.col,50,249,54,6777,45654,OPTIMAL,35,0.0161441,0.0608718,0.0770159,45.37109
GEOM60.col,60,185,36,5192,26372,OPTIMAL,33,0.0127342,0.00555092,0.0182851,45.42969
GEOM60a.col,60,339,61,9372,70497,OPTIMAL,50,0.0265837,0.566326,0.59291,70.14062
GEOM60b.col,60,366,63,9611,74389,OPTIMAL,41,0.0244875,0.745996,0.770483,68.73828
GEOM70.col,70,267,44,7617,44333,OPTIMAL,38,0.0138491,0.0280494,0.0418985,45.85938
GEOM70a.col,70,459,72,12948,107646,OPTIMAL,61,0.038661,2.57851,2.61717,78.89844
GEOM70b.col,70,488,76,13984,119809,OPTIMAL,47,0.0416235,2.23593,2.27756,79.40625
GEOM80.col,80,349,54,10820,68657,OPTIMAL,41,0.0267904,0.0395691,0.0663595,45.79688
GEOM80a.col,80,612,79,16469,153907,OPTIMAL,63,0.0536679,6.43719,6.49086,89.0625
GEOM80b.col,80,663,98,20661,201251,OPTIMAL,60,0.0705913,5.12435,5.19494,93.05859
GEOM90.col,90,441,54,12182,81522,OPTIMAL,46,0.0323883,0.11552,0.147909,68.21094
GEOM90a.col,90,789,80,18713,191313,OPTIMAL,63,0.0724959,12.2992,12.3717,99.63672
GEOM90b.col,90,860,109,26409,284319,OPTIMAL,69,0.0990117,61.4676,61.5666,120.85156
c21_1_d1.col,21,105,8,315,1327,OPTIMAL,7,0.00047287,0.00350237,0.00397524,45.85938
c21_1_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000471703,0.00302613,0.00349783,45.55859
c21_2_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00112602,0.00198036,0.00310639,45.85938
c21_2_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00107942,0.00262745,0.00370687,45.67969
c21_3_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000479724,0.0036487,0.00412842,45.36719
c21_3_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000470483,0.00380456,0.00427504,45.43359
c21_4_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00111056,0.00247669,0.00358725,45.98438
c21_4_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00110639,0.00249887,0.00360526,45.36719
c21_5_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000478354,0.00358333,0.00406169,45.98438
c21_5_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000469608,0.00369385,0.00416346,45.37109
c21_6_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00109863,0.00260154,0.00370017,45.36719
c21_6_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00111699,0.00201156,0.00312855,45.79688
c21_7_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000479759,0.00378519,0.00426495,46.03125
c21_7_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000321305,0.00240035,0.00272166,45.43359
c21_8_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00112257,0.00248021,0.00360278,45.79688
c21_8_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00108585,0.00259117,0.00367702,45.43359
c55_1_d1.col,55,362,8,825,4165,OPTIMAL,7,0.00129803,0.00603836,0.00733639,45.37109
c55_2_d2.col,55,362,8,825,4165,OPTIMAL,7,0.00131914,0.00594321,0.00726235,45.85938
