name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12514,88935,OPTIMAL,50,0.33601,0.939842,1.27585,72.92188
GEOM100a.col,100,992,91,17098,186361,OPTIMAL,66,1.30458,170.356,171.661,106.96875
GEOM100b.col,100,1050,121,18098,207850,OPTIMAL,71,3.40694,152.659,156.065,107.05078
GEOM110.col,110,638,64,13757,101686,OPTIMAL,50,0.380269,1.02104,1.40131,74.33984
GEOM110a.col,110,1207,109,19468,234301,OPTIMAL,69,2.86396,114.728,117.592,112.20703
GEOM110b.col,110,1256,121,21991,268833,OPTIMAL,77,3.69065,1266.15,1269.84,133.56641
GEOM120.col,120,773,73,18012,143526,OPTIMAL,59,0.539972,3.14405,3.68402,81.52344
GEOM120a.col,120,1434,109,25216,325837,OPTIMAL,82,2.52528,1228.26,1230.79,136.63281
GEOM120b.col,120,1491,123,26260,340273,OPTIMAL,83,4.12051,2835.22,2839.34,165.19922
GEOM20.col,20,20,24,890,2843,OPTIMAL,21,0.00368871,0.016853,0.0205417,45.57031
GEOM20a.col,20,37,24,860,3258,OPTIMAL,20,0.00449951,0.0220239,0.0265234,45.44531
GEOM20b.col,20,32,16,448,1470,OPTIMAL,13,0.00206157,0.0155678,0.0176294,46.05078
GEOM30.col,30,50,33,1887,7434,OPTIMAL,28,0.00923982,0.0325567,0.0417966,45.375
GEOM30a.col,30,81,32,1792,8299,OPTIMAL,27,0.015004,0.0388259,0.0538298,45.44531
GEOM30b.col,30,81,27,1726,7779,OPTIMAL,26,0.00475276,0.0133005,0.0180533,45.93359
GEOM40.col,40,78,33,2481,10181,OPTIMAL,28,0.0144762,0.0369126,0.0513887,45.375
GEOM40a.col,40,146,50,3428,18960,OPTIMAL,37,0.0626346,0.15348,0.216114,54.02734
GEOM40b.col,40,157,40,3077,17306,OPTIMAL,33,0.0362727,0.0706171,0.10689,61.4375
GEOM50.col,50,127,36,3094,13946,OPTIMAL,28,0.0310834,0.0661299,0.0972132,45.37891
GEOM50a.col,50,238,61,6268,41328,OPTIMAL,50,0.115834,0.712408,0.828242,65.98438
GEOM50b.col,50,249,54,4103,26494,OPTIMAL,35,0.146566,0.311342,0.457908,63.69531
GEOM60.col,60,185,36,4616,23237,OPTIMAL,33,0.0224169,0.042032,0.0644489,45.375
GEOM60a.col,60,339,61,7521,54918,OPTIMAL,50,0.15711,0.713712,0.870822,67.96875
GEOM60b.col,60,366,63,5968,44561,OPTIMAL,41,0.278556,1.15549,1.43404,67.52734
GEOM70.col,70,267,44,6537,36432,OPTIMAL,38,0.0634088,0.105167,0.168576,55.14844
GEOM70a.col,70,459,72,10786,88886,OPTIMAL,61,0.249,6.22669,6.47569,75.98438
GEOM70b.col,70,488,76,8295,66869,OPTIMAL,47,0.588205,4.47344,5.06165,74.23047
GEOM80.col,80,349,54,7949,48951,OPTIMAL,41,0.183054,0.228197,0.411251,66.51562
GEOM80a.col,80,612,79,12652,115919,OPTIMAL,63,0.4946,9.71139,10.206,80.65625
GEOM80b.col,80,663,98,12166,115041,OPTIMAL,60,1.381,7.4675,8.8485,83.25391
GEOM90.col,90,441,54,9965,65404,OPTIMAL,46,0.145227,0.284138,0.429365,68.12109
GEOM90a.col,90,789,80,14228,142969,OPTIMAL,63,0.645007,11.7439,12.3889,84.91016
GEOM90b.col,90,860,109,15926,169462,OPTIMAL,69,2.11702,90.4057,92.5228,96.50781
c21_1_d1.col,21,105,8,231,945,OPTIMAL,7,0.00114083,0.0157761,0.016917,44.75391
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.00116679,0.0167363,0.0179031,45.44531
c21_2_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00255918,0.0141571,0.0167162,45.44531
c21_2_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00193088,0.0139625,0.0158934,45.5625
c21_3_d1.col,21,105,8,231,945,OPTIMAL,7,0.00118658,0.0140216,0.0152082,45.73828
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.000710983,0.0168334,0.0175444,45.44531
c21_4_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00254398,0.0136223,0.0161663,45.57031
c21_4_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00164263,0.0139963,0.0156389,45.86328
c21_5_d1.col,21,105,8,231,945,OPTIMAL,7,0.000941846,0.0148877,0.0158295,45.37891
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.000880754,0.0168153,0.017696,45.93359
c21_6_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00252427,0.0141115,0.0166357,45.625
c21_6_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00190408,0.0141356,0.0160397,45.80859
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.00116516,0.015293,0.0164582,45.375
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.00100929,0.0161848,0.0171941,45.44531
c21_8_d1.col,21,105,11,315,1914,OPTIMAL,9,0.0025425,0.0136182,0.0161607,45.38281
c21_8_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00253503,0.0141928,0.0167278,45.38281
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.00253906,0.020606,0.023145,45.00781
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.00381547,0.019055,0.0228705,45.44531
