name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,12514,88960,OPTIMAL,50,0.32734,0.839593,1.16693,74.07031
GEOM100a.col,100,992,91,17098,186394,OPTIMAL,66,1.31222,126.65,127.962,116.41016
GEOM100b.col,100,1050,121,18098,207885,OPTIMAL,71,3.43076,182.499,185.93,106.57812
GEOM110.col,110,638,64,13757,101711,OPTIMAL,50,0.383976,0.978179,1.36215,75.63672
GEOM110a.col,110,1207,109,19468,234335,OPTIMAL,69,2.85497,180.994,183.849,112.13672
GEOM110b.col,110,1256,121,21991,268871,OPTIMAL,77,3.67684,1089.38,1093.06,130.76562
GEOM120.col,120,773,73,18012,143555,OPTIMAL,59,0.533372,2.66968,3.20305,81.01562
GEOM120a.col,120,1434,109,25216,325878,OPTIMAL,82,2.52745,1573.25,1575.78,141.64062
GEOM120b.col,120,1491,123,26260,340314,OPTIMAL,83,4.12466,2827.89,2832.02,167.32422
GEOM20.col,20,20,24,890,2853,OPTIMAL,21,0.00353692,0.0176176,0.0211545,45.38281
GEOM20a.col,20,37,24,860,3268,OPTIMAL,20,0.00521642,0.0218116,0.027028,45.85547
GEOM20b.col,20,32,16,448,1476,OPTIMAL,13,0.00186517,0.0157597,0.0176249,45.71875
GEOM30.col,30,50,33,1887,7448,OPTIMAL,28,0.00970071,0.0323503,0.042051,44.91797
GEOM30a.col,30,81,32,1792,8312,OPTIMAL,27,0.0122007,0.0383185,0.0505192,45.44531
GEOM30b.col,30,81,27,1726,7792,OPTIMAL,26,0.00528675,0.013659,0.0189458,45.19531
GEOM40.col,40,78,33,2481,10195,OPTIMAL,28,0.0141168,0.039897,0.0540137,45.35547
GEOM40a.col,40,146,50,3428,18978,OPTIMAL,37,0.0627221,0.140541,0.203263,61.61719
GEOM40b.col,40,157,40,3077,17322,OPTIMAL,33,0.0326247,0.0663427,0.0989674,48.11719
GEOM50.col,50,127,36,3094,13960,OPTIMAL,28,0.0318183,0.0668298,0.0986481,45.17578
GEOM50a.col,50,238,61,6268,41353,OPTIMAL,50,0.110756,0.783003,0.893758,65.89844
GEOM50b.col,50,249,54,4103,26511,OPTIMAL,35,0.14343,0.23182,0.37525,55.09375
GEOM60.col,60,185,36,4616,23253,OPTIMAL,33,0.0225695,0.0413325,0.063902,45.84375
GEOM60a.col,60,339,61,7521,54943,OPTIMAL,50,0.150588,0.720323,0.870911,68.59375
GEOM60b.col,60,366,63,5968,44581,OPTIMAL,41,0.277528,1.31472,1.59224,68.04297
GEOM70.col,70,267,44,6537,36451,OPTIMAL,38,0.0587461,0.102297,0.161043,55.08594
GEOM70a.col,70,459,72,10786,88916,OPTIMAL,61,0.25012,2.78465,3.03477,73.69922
GEOM70b.col,70,488,76,8295,66892,OPTIMAL,47,0.587855,2.92292,3.51077,73.44922
GEOM80.col,80,349,54,7949,48971,OPTIMAL,41,0.175048,0.24572,0.420768,65.58594
GEOM80a.col,80,612,79,12652,115950,OPTIMAL,63,0.496436,5.83771,6.33415,80.32812
GEOM80b.col,80,663,98,12166,115071,OPTIMAL,60,1.37867,6.6193,7.99798,83.58203
GEOM90.col,90,441,54,9965,65427,OPTIMAL,46,0.152136,0.278273,0.430409,68.09766
GEOM90a.col,90,789,80,14228,143000,OPTIMAL,63,0.64713,12.525,13.1721,84.94141
GEOM90b.col,90,860,109,15926,169496,OPTIMAL,69,2.12058,45.219,47.3396,95.13281
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.000898046,0.0106435,0.0115416,45.04688
c21_1_d2.col,21,105,8,231,948,OPTIMAL,7,0.000731181,0.00976355,0.0104947,45.38281
c21_2_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00163464,0.0132033,0.014838,45.44531
c21_2_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00192389,0.0131659,0.0150898,45.90625
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.000696285,0.0109035,0.0115998,45.29297
c21_3_d2.col,21,105,8,231,948,OPTIMAL,7,0.00115759,0.0105393,0.0116969,45.38281
c21_4_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00255421,0.0125439,0.0150981,44.93359
c21_4_d2.col,21,105,11,315,1918,OPTIMAL,9,0.002541,0.0129824,0.0155234,45.29297
c21_5_d1.col,21,105,8,231,948,OPTIMAL,7,0.000806756,0.0107079,0.0115147,45.42578
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.0011707,0.0110332,0.0122039,45.30469
c21_6_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00191352,0.0134496,0.0153631,45.35547
c21_6_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00191363,0.0135859,0.0154995,45.30469
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.00117754,0.0107607,0.0119383,45.60547
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.00118125,0.010819,0.0120002,45.73047
c21_8_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00192497,0.0140895,0.0160144,45.38281
c21_8_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00186819,0.0132461,0.0151143,44.74219
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.00285937,0.0181847,0.021044,45.24219
c55_2_d2.col,55,362,8,605,3000,OPTIMAL,7,0.00223547,0.0163669,0.0186024,45.50781
