name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,30742,177153,OPTIMAL,50,0.0539316,0.935527,0.989459,90.17188
GEOM100a.col,100,992,91,48466,368186,OPTIMAL,66,0.119938,127.174,127.294,149.95703
GEOM100b.col,100,1050,121,64760,511094,OPTIMAL,71,0.166141,147.141,147.307,152.45703
GEOM110.col,110,638,64,34312,201898,OPTIMAL,50,0.0631188,1.05032,1.11344,94.79688
GEOM110a.col,110,1207,109,64641,521918,OPTIMAL,69,0.202172,197.014,197.217,171.47266
GEOM110b.col,110,1256,121,72093,592656,OPTIMAL,77,0.214545,909.787,910.002,200.32422
GEOM120.col,120,773,73,43913,269472,OPTIMAL,59,0.0994925,2.98597,3.08546,113.64062
GEOM120a.col,120,1434,109,71390,602236,OPTIMAL,82,0.208365,882.572,882.78,221.83203
GEOM120b.col,120,1491,123,80468,695966,SATISFIABLE,83,0.235105,3599.77,3600.0,259.76562
GEOM20.col,20,20,24,1341,4531,OPTIMAL,21,0.00133388,0.00120141,0.00253529,45.47656
GEOM20a.col,20,37,24,1596,6322,OPTIMAL,20,0.00272716,0.00233298,0.00506013,45.90234
GEOM20b.col,20,32,16,1006,3709,OPTIMAL,13,0.00149869,0.0011765,0.00267518,45.96094
GEOM30.col,30,50,33,3229,12879,OPTIMAL,28,0.00548392,0.00613904,0.011623,45.77344
GEOM30a.col,30,81,32,3577,16217,OPTIMAL,27,0.00642956,0.00411866,0.0105482,45.41406
GEOM30b.col,30,81,27,3201,13641,OPTIMAL,26,0.00450848,0.00205897,0.00656746,46.21484
GEOM40.col,40,78,33,4605,18959,OPTIMAL,28,0.00703201,0.00579748,0.0128295,45.47266
GEOM40a.col,40,146,50,8208,42032,OPTIMAL,37,0.0172812,0.0444189,0.0617001,45.90234
GEOM40b.col,40,157,40,6772,34131,OPTIMAL,33,0.0115986,0.0340393,0.0456379,46.02734
GEOM50.col,50,127,36,6900,30328,OPTIMAL,28,0.0137849,0.0155663,0.0293512,45.90234
GEOM50a.col,50,238,61,13603,76601,OPTIMAL,50,0.0238471,0.476713,0.50056,69.15625
GEOM50b.col,50,249,54,12618,69026,OPTIMAL,35,0.0210365,0.166823,0.187859,65.12109
GEOM60.col,60,185,36,8856,40768,OPTIMAL,33,0.0168089,0.00934862,0.0261575,45.83594
GEOM60a.col,60,339,61,16785,100745,OPTIMAL,50,0.0311671,0.849136,0.880303,75.64844
GEOM60b.col,60,366,63,18465,110083,OPTIMAL,41,0.0353183,0.847618,0.882936,76.0
GEOM70.col,70,267,44,13386,67287,OPTIMAL,38,0.0230605,0.0667425,0.089803,46.15234
GEOM70a.col,70,459,72,24492,154286,OPTIMAL,61,0.0536557,4.40949,4.46315,90.01953
GEOM70b.col,70,488,76,26033,168439,OPTIMAL,47,0.0509763,3.17863,3.22961,86.9375
GEOM80.col,80,349,54,19670,103928,OPTIMAL,41,0.0327565,0.100978,0.133734,70.90625
GEOM80a.col,80,612,79,31584,215031,OPTIMAL,63,0.0635849,8.67134,8.73493,95.91406
GEOM80b.col,80,663,98,40657,281890,OPTIMAL,60,0.0915307,5.49679,5.58832,108.21094
GEOM90.col,90,441,54,22724,123732,OPTIMAL,46,0.0387717,0.174543,0.213315,75.16016
GEOM90a.col,90,789,80,37129,265820,OPTIMAL,63,0.0878541,11.4258,11.5137,114.83594
GEOM90b.col,90,860,109,52158,388174,OPTIMAL,69,0.149804,63.5026,63.6524,132.25781
c21_1_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000721035,0.00598256,0.0067036,45.90234
c21_1_d2.col,21,105,8,315,1323,OPTIMAL,7,0.00069301,0.00406275,0.00475576,45.90234
c21_2_d1.col,21,105,11,462,3024,OPTIMAL,9,0.00135084,0.00264919,0.00400003,45.90234
c21_2_d2.col,21,105,11,462,3024,OPTIMAL,9,0.00127766,0.00324942,0.00452709,46.02344
c21_3_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000690272,0.00422002,0.0049103,45.59766
c21_3_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000753828,0.00594632,0.00670015,45.96484
c21_4_d1.col,21,105,11,462,3024,OPTIMAL,9,0.00120709,0.00281808,0.00402517,45.83984
c21_4_d2.col,21,105,11,462,3024,OPTIMAL,9,0.00130382,0.00336409,0.00466791,45.89844
c21_5_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000659782,0.00438837,0.00504815,45.35156
c21_5_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000707934,0.00611198,0.00681992,46.02734
c21_6_d1.col,21,105,11,462,3024,OPTIMAL,9,0.00130626,0.00277097,0.00407724,45.83594
c21_6_d2.col,21,105,11,462,3024,OPTIMAL,9,0.00149647,0.00374479,0.00524126,45.77734
c21_7_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000690872,0.00591877,0.00660964,46.01172
c21_7_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000550935,0.00473487,0.0052858,45.96484
c21_8_d1.col,21,105,11,462,3024,OPTIMAL,9,0.000875835,0.00239774,0.00327357,45.47656
c21_8_d2.col,21,105,11,462,3024,OPTIMAL,9,0.00133976,0.00358275,0.00492252,45.71484
c55_1_d1.col,55,362,8,825,4161,OPTIMAL,7,0.0020938,0.00620582,0.00829962,46.02734
c55_2_d2.col,55,362,8,825,4161,OPTIMAL,7,0.00205729,0.00515054,0.00720784,45.35156
