name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,27342,163553,OPTIMAL,50,0.0465812,0.898699,0.94528,90.54688
GEOM100a.col,100,992,91,42715,345182,OPTIMAL,66,0.104725,108.042,108.147,145.32812
GEOM100b.col,100,1050,121,56875,479554,OPTIMAL,71,0.161042,174.246,174.407,163.91797
GEOM110.col,110,638,64,30562,186898,OPTIMAL,50,0.0606106,0.976304,1.03691,94.24609
GEOM110a.col,110,1207,109,56991,491318,OPTIMAL,69,0.153273,204.893,205.046,181.96875
GEOM110b.col,110,1256,121,63068,556556,OPTIMAL,77,0.173339,999.042,999.215,190.88281
GEOM120.col,120,773,73,38954,249636,OPTIMAL,59,0.083385,2.93651,3.0199,110.62109
GEOM120a.col,120,1434,109,62805,567896,OPTIMAL,82,0.184517,282.388,282.573,191.05469
GEOM120b.col,120,1491,123,70380,655614,OPTIMAL,83,0.200604,982.279,982.48,261.48438
GEOM20.col,20,20,24,1341,4531,OPTIMAL,21,0.00193328,0.00122561,0.00315888,45.76953
GEOM20a.col,20,37,24,1476,5842,OPTIMAL,20,0.00229609,0.00217299,0.00446908,45.44922
GEOM20b.col,20,32,16,894,3261,OPTIMAL,13,0.00101924,0.000755919,0.00177516,45.30078
GEOM30.col,30,50,33,3175,12663,OPTIMAL,28,0.00516706,0.00784594,0.013013,45.42578
GEOM30a.col,30,81,32,3187,14657,OPTIMAL,27,0.00582646,0.0047214,0.0105479,45.87891
GEOM30b.col,30,81,27,2879,12353,OPTIMAL,26,0.00487665,0.00195803,0.00683468,45.87891
GEOM40.col,40,78,33,4335,17879,OPTIMAL,28,0.00531044,0.00594413,0.0112546,45.55078
GEOM40a.col,40,146,50,7248,38192,OPTIMAL,37,0.0155937,0.0343501,0.0499438,45.81641
GEOM40b.col,40,157,40,6100,31443,OPTIMAL,33,0.00949984,0.021126,0.0306259,45.20312
GEOM50.col,50,127,36,6390,28288,OPTIMAL,28,0.00783664,0.0113113,0.019148,45.93359
GEOM50a.col,50,238,61,11937,69937,OPTIMAL,50,0.0244917,0.490102,0.514594,68.32812
GEOM50b.col,50,249,54,11298,63746,OPTIMAL,35,0.0184168,0.188037,0.206454,64.44531
GEOM60.col,60,185,36,8046,37528,OPTIMAL,33,0.0109393,0.00846035,0.0193996,45.42578
GEOM60a.col,60,339,61,14727,92513,OPTIMAL,50,0.0317948,0.591855,0.623649,75.66406
GEOM60b.col,60,366,63,16374,101719,OPTIMAL,41,0.0282636,0.58744,0.615703,72.41016
GEOM70.col,70,267,44,11982,61671,OPTIMAL,38,0.0194793,0.0398595,0.0593388,45.32812
GEOM70a.col,70,459,72,21708,143150,OPTIMAL,61,0.044355,3.44816,3.49252,86.91016
GEOM70b.col,70,488,76,23033,156439,OPTIMAL,47,0.0447766,2.41635,2.46113,85.24219
GEOM80.col,80,349,54,17558,95480,OPTIMAL,41,0.0289084,0.0912174,0.120126,66.64844
GEOM80a.col,80,612,79,28056,200919,OPTIMAL,63,0.0577063,8.94602,9.00372,97.64453
GEOM80b.col,80,663,98,35743,262234,OPTIMAL,60,0.0779568,5.8869,5.96486,103.00391
GEOM90.col,90,441,54,20260,113876,OPTIMAL,46,0.0349445,0.181993,0.216938,74.76562
GEOM90a.col,90,789,80,32777,248412,OPTIMAL,63,0.0807384,9.21766,9.29839,107.30469
GEOM90b.col,90,860,109,45953,363354,OPTIMAL,69,0.116727,46.2107,46.3274,128.24609
c21_1_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000453009,0.00399037,0.00444338,45.57031
c21_1_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000452076,0.00591726,0.00636934,45.45312
c21_2_d1.col,21,105,11,441,2940,OPTIMAL,9,0.00108303,0.001913,0.00299603,45.45312
c21_2_d2.col,21,105,11,441,2940,OPTIMAL,9,0.00102102,0.00289386,0.00391488,45.72656
c21_3_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000458129,0.00577882,0.00623694,45.42578
c21_3_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000462903,0.00492518,0.00538808,45.32812
c21_4_d1.col,21,105,11,441,2940,OPTIMAL,9,0.000689839,0.00206729,0.00275713,45.38672
c21_4_d2.col,21,105,11,441,2940,OPTIMAL,9,0.00101274,0.00232357,0.00333632,45.78906
c21_5_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000451929,0.00566335,0.00611528,45.25781
c21_5_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000459786,0.0040598,0.00451958,45.38672
c21_6_d1.col,21,105,11,441,2940,OPTIMAL,9,0.00100229,0.00227898,0.00328126,45.11328
c21_6_d2.col,21,105,11,441,2940,OPTIMAL,9,0.00104433,0.0029923,0.00403663,45.8125
c21_7_d1.col,21,105,8,315,1323,OPTIMAL,7,0.00045167,0.00560287,0.00605454,45.48828
c21_7_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000446425,0.0056877,0.00613413,45.875
c21_8_d1.col,21,105,11,441,2940,OPTIMAL,9,0.00104474,0.00298691,0.00403165,45.32812
c21_8_d2.col,21,105,11,441,2940,OPTIMAL,9,0.000887528,0.00196607,0.0028536,45.44922
c55_1_d1.col,55,362,8,825,4161,OPTIMAL,7,0.00126932,0.00535974,0.00662906,45.19922
c55_2_d2.col,55,362,8,825,4161,OPTIMAL,7,0.000930637,0.00603725,0.00696789,45.59375
