name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,30742,177185,OPTIMAL,50,0.0511705,0.906629,0.9578,93.72266
GEOM100a.col,100,992,91,48466,368232,OPTIMAL,66,0.117954,93.9748,94.0928,136.67578
GEOM100b.col,100,1050,121,64760,511155,OPTIMAL,71,0.15642,152.469,152.626,168.43359
GEOM110.col,110,638,64,34312,201930,OPTIMAL,50,0.0595169,0.95767,1.01719,97.73438
GEOM110a.col,110,1207,109,64641,521973,OPTIMAL,69,0.203437,232.967,233.171,174.18359
GEOM110b.col,110,1256,121,72093,592717,OPTIMAL,77,0.186681,713.881,714.068,204.40625
GEOM120.col,120,773,73,43913,269509,OPTIMAL,59,0.0917356,2.84627,2.93801,113.24609
GEOM120a.col,120,1434,109,71390,602291,OPTIMAL,82,0.214929,425.184,425.399,214.46875
GEOM120b.col,120,1491,123,80468,696028,OPTIMAL,83,0.22463,1011.38,1011.6,241.23828
GEOM20.col,20,20,24,1341,4543,OPTIMAL,21,0.00187463,0.00161605,0.00349068,45.95312
GEOM20a.col,20,37,24,1596,6334,OPTIMAL,20,0.00169494,0.00154363,0.00323857,45.38672
GEOM20b.col,20,32,16,1006,3717,OPTIMAL,13,0.0015356,0.00143342,0.00296902,45.99219
GEOM30.col,30,50,33,3229,12896,OPTIMAL,28,0.0051964,0.00788016,0.0130766,45.86719
GEOM30a.col,30,81,32,3577,16233,OPTIMAL,27,0.00503992,0.00426593,0.00930584,45.32422
GEOM30b.col,30,81,27,3201,13655,OPTIMAL,26,0.00695293,0.00305671,0.0100096,46.0625
GEOM40.col,40,78,33,4605,18976,OPTIMAL,28,0.00732733,0.00581895,0.0131463,45.80469
GEOM40a.col,40,146,50,8208,42057,OPTIMAL,37,0.0160103,0.0359946,0.0520049,45.44922
GEOM40b.col,40,157,40,6772,34151,OPTIMAL,33,0.0123546,0.0181733,0.0305279,45.26172
GEOM50.col,50,127,36,6900,30346,OPTIMAL,28,0.00875653,0.0120232,0.0207798,45.99609
GEOM50a.col,50,238,61,13603,76632,OPTIMAL,50,0.0216772,0.465234,0.486912,69.40625
GEOM50b.col,50,249,54,12618,69053,OPTIMAL,35,0.022082,0.115018,0.1371,65.81641
GEOM60.col,60,185,36,8856,40786,OPTIMAL,33,0.0132212,0.00896901,0.0221902,45.44141
GEOM60a.col,60,339,61,16785,100776,OPTIMAL,50,0.0336112,0.667255,0.700866,75.92578
GEOM60b.col,60,366,63,18465,110115,OPTIMAL,41,0.0322696,0.838137,0.870407,74.66797
GEOM70.col,70,267,44,13386,67309,OPTIMAL,38,0.0199199,0.0457978,0.0657176,45.44922
GEOM70a.col,70,459,72,24492,154322,OPTIMAL,61,0.0444372,2.63618,2.68062,86.03125
GEOM70b.col,70,488,76,26033,168477,OPTIMAL,47,0.0479367,2.3735,2.42144,84.98438
GEOM80.col,80,349,54,19670,103955,OPTIMAL,41,0.0364574,0.0892784,0.125736,70.70703
GEOM80a.col,80,612,79,31584,215071,OPTIMAL,63,0.0639098,5.92455,5.98846,103.12109
GEOM80b.col,80,663,98,40657,281939,OPTIMAL,60,0.0882298,5.95759,6.04582,108.94922
GEOM90.col,90,441,54,22724,123759,OPTIMAL,46,0.0367649,0.156029,0.192794,75.64844
GEOM90a.col,90,789,80,37129,265860,OPTIMAL,63,0.0785482,8.94171,9.02025,111.45312
GEOM90b.col,90,860,109,52158,388229,OPTIMAL,69,0.120788,56.3326,56.4534,133.01953
c21_1_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000470054,0.00253501,0.00300507,45.38281
c21_1_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000443999,0.00258857,0.00303257,45.32422
c21_2_d1.col,21,105,11,462,3030,OPTIMAL,9,0.00084554,0.00172532,0.00257086,45.875
c21_2_d2.col,21,105,11,462,3030,OPTIMAL,9,0.00129471,0.0025711,0.00386581,45.50391
c21_3_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000694515,0.00371975,0.00441427,45.37891
c21_3_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000704514,0.00345216,0.00415668,46.0
c21_4_d1.col,21,105,11,462,3030,OPTIMAL,9,0.00131473,0.00252302,0.00383775,45.44922
c21_4_d2.col,21,105,11,462,3030,OPTIMAL,9,0.00127391,0.00257469,0.00384861,45.69141
c21_5_d1.col,21,105,8,315,1327,OPTIMAL,7,0.0004836,0.00266915,0.00315275,45.38281
c21_5_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000681628,0.00276176,0.00344339,45.875
c21_6_d1.col,21,105,11,462,3030,OPTIMAL,9,0.00130564,0.00258629,0.00389193,45.80469
c21_6_d2.col,21,105,11,462,3030,OPTIMAL,9,0.00129111,0.00249415,0.00378526,45.51172
c21_7_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000737688,0.00352657,0.00426426,46.05469
c21_7_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000691141,0.00366804,0.00435918,45.75
c21_8_d1.col,21,105,11,462,3030,OPTIMAL,9,0.00130434,0.0024103,0.00371464,45.38672
c21_8_d2.col,21,105,11,462,3030,OPTIMAL,9,0.00129093,0.00261073,0.00390166,45.38672
c55_1_d1.col,55,362,8,825,4165,OPTIMAL,7,0.00145519,0.00417738,0.00563257,45.38672
c55_2_d2.col,55,362,8,825,4165,OPTIMAL,7,0.00140061,0.00455667,0.00595729,46.32812
