name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,27342,163585,OPTIMAL,50,0.0581987,0.962918,1.02112,90.30859
GEOM100a.col,100,992,91,42715,345228,OPTIMAL,66,0.100571,197.759,197.86,144.76562
GEOM100b.col,100,1050,121,56875,479615,OPTIMAL,71,0.156761,196.792,196.949,162.41406
GEOM110.col,110,638,64,30562,186930,OPTIMAL,50,0.0601468,0.888057,0.948204,92.625
GEOM110a.col,110,1207,109,56991,491373,OPTIMAL,69,0.149843,156.287,156.437,163.25
GEOM110b.col,110,1256,121,63068,556617,OPTIMAL,77,0.180717,617.14,617.321,196.13281
GEOM120.col,120,773,73,38954,249673,OPTIMAL,59,0.0826521,3.36151,3.44416,111.64062
GEOM120a.col,120,1434,109,62805,567951,OPTIMAL,82,0.1748,712.659,712.834,195.38281
GEOM120b.col,120,1491,123,70380,655676,SATISFIABLE,83,0.230576,3599.77,3600.0,252.01562
GEOM20.col,20,20,24,1341,4543,OPTIMAL,21,0.00123762,0.0013059,0.00254352,45.39453
GEOM20a.col,20,37,24,1476,5854,OPTIMAL,20,0.00227495,0.00196008,0.00423502,45.39453
GEOM20b.col,20,32,16,894,3269,OPTIMAL,13,0.00144103,0.00134292,0.00278395,45.9375
GEOM30.col,30,50,33,3175,12680,OPTIMAL,28,0.00437914,0.00541053,0.00978967,46.0
GEOM30a.col,30,81,32,3187,14673,OPTIMAL,27,0.00571803,0.00434518,0.0100632,45.39453
GEOM30b.col,30,81,27,2879,12367,OPTIMAL,26,0.00332934,0.00177158,0.00510092,45.39453
GEOM40.col,40,78,33,4335,17896,OPTIMAL,28,0.0060385,0.00611175,0.0121503,45.9375
GEOM40a.col,40,146,50,7248,38217,OPTIMAL,37,0.0107207,0.0382019,0.0489226,45.33203
GEOM40b.col,40,157,40,6100,31463,OPTIMAL,33,0.0131112,0.0175045,0.0306157,45.39453
GEOM50.col,50,127,36,6390,28306,OPTIMAL,28,0.00852934,0.0101824,0.0187117,45.39062
GEOM50a.col,50,238,61,11937,69968,OPTIMAL,50,0.0253956,0.498417,0.523813,68.44531
GEOM50b.col,50,249,54,11298,63773,OPTIMAL,35,0.0198546,0.102122,0.121977,64.66406
GEOM60.col,60,185,36,8046,37546,OPTIMAL,33,0.0113612,0.0087854,0.0201466,46.0
GEOM60a.col,60,339,61,14727,92544,OPTIMAL,50,0.0256859,0.57715,0.602835,73.67188
GEOM60b.col,60,366,63,16374,101751,OPTIMAL,41,0.0333518,0.983724,1.01708,74.82812
GEOM70.col,70,267,44,11982,61693,OPTIMAL,38,0.0226287,0.0377218,0.0603505,45.45703
GEOM70a.col,70,459,72,21708,143186,OPTIMAL,61,0.0435004,2.52352,2.56702,84.07422
GEOM70b.col,70,488,76,23033,156477,OPTIMAL,47,0.0498156,3.01994,3.06976,84.71094
GEOM80.col,80,349,54,17558,95507,OPTIMAL,41,0.031289,0.0778341,0.109123,68.86719
GEOM80a.col,80,612,79,28056,200959,OPTIMAL,63,0.0578789,6.30793,6.36581,97.67188
GEOM80b.col,80,663,98,35743,262283,OPTIMAL,60,0.080318,5.5972,5.67752,102.12109
GEOM90.col,90,441,54,20260,113903,OPTIMAL,46,0.0400832,0.146577,0.18666,75.07422
GEOM90a.col,90,789,80,32777,248452,OPTIMAL,63,0.072419,8.59857,8.67099,112.34375
GEOM90b.col,90,860,109,45953,363409,OPTIMAL,69,0.110242,54.6241,54.7344,130.39453
c21_1_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000540532,0.00391115,0.00445168,45.87891
c21_1_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000473061,0.00355909,0.00403216,45.20703
c21_2_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00103361,0.00210659,0.0031402,45.39453
c21_2_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00117235,0.00264366,0.003816,46.0
c21_3_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000550403,0.00286451,0.00341492,45.875
c21_3_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000391769,0.00264179,0.00303356,45.20703
c21_4_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00106539,0.00257887,0.00364425,45.39453
c21_4_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00111029,0.00278773,0.00389802,45.875
c21_5_d1.col,21,105,8,315,1327,OPTIMAL,7,0.00047452,0.00253144,0.00300596,44.32812
c21_5_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000472987,0.00282221,0.0032952,45.39453
c21_6_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00117028,0.00270034,0.00387063,45.44922
c21_6_d2.col,21,105,11,441,2946,OPTIMAL,9,0.000748239,0.00186477,0.00261301,46.25781
c21_7_d1.col,21,105,8,315,1327,OPTIMAL,7,0.00047941,0.00321327,0.00369268,45.49609
c21_7_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000492902,0.00338983,0.00388273,45.20703
c21_8_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00104946,0.00255466,0.00360412,45.20703
c21_8_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00106458,0.0017038,0.00276838,45.20703
c55_1_d1.col,55,362,8,825,4165,OPTIMAL,7,0.000999433,0.00429961,0.00529905,45.88281
c55_2_d2.col,55,362,8,825,4165,OPTIMAL,7,0.00128494,0.00608865,0.00737359,45.45703
