name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,22954,131337,OPTIMAL,50,0.697053,0.827339,1.52439,93.84375
GEOM100a.col,100,992,91,34236,255976,OPTIMAL,66,2.46343,172.504,174.967,146.86719
GEOM100b.col,100,1050,121,37303,285319,OPTIMAL,71,6.28212,137.548,143.83,153.70312
GEOM110.col,110,638,64,25626,149778,OPTIMAL,50,0.810324,0.963415,1.77374,100.40625
GEOM110a.col,110,1207,109,39551,315142,OPTIMAL,69,5.38092,176.944,182.324,161.60156
GEOM110b.col,110,1256,121,44888,361181,OPTIMAL,77,6.8087,993.798,1000.61,207.0
GEOM120.col,120,773,73,34196,209064,OPTIMAL,59,1.12657,3.94103,5.06761,116.40234
GEOM120a.col,120,1434,109,53365,438879,OPTIMAL,82,4.71207,722.149,726.861,195.79297
GEOM120b.col,120,1491,123,53831,451379,OPTIMAL,83,7.56918,843.786,851.355,251.77734
GEOM20.col,20,20,24,1136,3669,OPTIMAL,21,0.00771325,0.00187969,0.00959294,45.44922
GEOM20a.col,20,37,24,1298,4828,OPTIMAL,20,0.0084347,0.00265226,0.011087,45.92188
GEOM20b.col,20,32,16,715,2492,OPTIMAL,13,0.00413141,0.000844411,0.00497582,45.85547
GEOM30.col,30,50,33,2629,10056,OPTIMAL,28,0.0203102,0.00609374,0.0264039,45.49219
GEOM30a.col,30,81,32,2887,12629,OPTIMAL,27,0.0264222,0.00474929,0.0311715,45.44922
GEOM30b.col,30,81,27,2882,12320,OPTIMAL,26,0.0108083,0.00233283,0.0131412,45.38672
GEOM40.col,40,78,33,3775,14925,OPTIMAL,28,0.0303222,0.0074062,0.0377284,45.36719
GEOM40a.col,40,146,50,5946,28984,OPTIMAL,37,0.134894,0.0379777,0.172871,58.66406
GEOM40b.col,40,157,40,5327,26310,OPTIMAL,33,0.0724438,0.027055,0.0994988,58.26562
GEOM50.col,50,127,36,5076,21487,OPTIMAL,28,0.0669247,0.0103233,0.077248,45.55859
GEOM50a.col,50,238,61,10796,59877,OPTIMAL,50,0.238392,0.417673,0.656065,69.03516
GEOM50b.col,50,249,54,7649,40766,OPTIMAL,35,0.314747,0.149556,0.464303,61.96094
GEOM60.col,60,185,36,7605,35156,OPTIMAL,33,0.0491376,0.0107208,0.0598584,45.85547
GEOM60a.col,60,339,61,13316,78805,OPTIMAL,50,0.318755,0.680557,0.999312,77.05469
GEOM60b.col,60,366,63,11262,66085,OPTIMAL,41,0.580108,1.13278,1.71289,75.17578
GEOM70.col,70,267,44,11305,55335,OPTIMAL,38,0.132423,0.053888,0.186311,61.8125
GEOM70a.col,70,459,72,19927,125989,OPTIMAL,61,0.5064,4.69134,5.19774,91.35938
GEOM70b.col,70,488,76,15819,97211,OPTIMAL,47,1.16368,3.59577,4.75945,86.14844
GEOM80.col,80,349,54,14073,73607,OPTIMAL,41,0.36242,0.0760676,0.438487,70.60156
GEOM80a.col,80,612,79,24839,165307,OPTIMAL,63,0.959085,10.4649,11.4239,101.44922
GEOM80b.col,80,663,98,23939,162836,OPTIMAL,60,2.58542,7.69436,10.2798,111.01172
GEOM90.col,90,441,54,18868,100940,OPTIMAL,46,0.311856,0.180283,0.492139,81.58984
GEOM90a.col,90,789,80,28671,201538,OPTIMAL,63,1.25451,11.8668,13.1213,113.5625
GEOM90b.col,90,860,109,31910,234203,OPTIMAL,69,3.94646,62.8841,66.8306,130.46094
c21_1_d1.col,21,105,8,231,945,OPTIMAL,7,0.0010547,0.00371926,0.00477396,45.37109
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.00154807,0.00389816,0.00544623,45.44922
c21_2_d1.col,21,105,11,357,2082,OPTIMAL,9,0.00322103,0.00294152,0.00616255,45.07422
c21_2_d2.col,21,105,11,357,2082,OPTIMAL,9,0.0038889,0.00363509,0.00752398,45.36719
c21_3_d1.col,21,105,8,231,945,OPTIMAL,7,0.00166213,0.00547579,0.00713792,45.36719
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.00123914,0.0038557,0.00509484,45.38672
c21_4_d1.col,21,105,11,357,2082,OPTIMAL,9,0.00398502,0.00400746,0.00799248,45.98438
c21_4_d2.col,21,105,11,357,2082,OPTIMAL,9,0.00344161,0.00277286,0.00621447,45.73047
c21_5_d1.col,21,105,8,231,945,OPTIMAL,7,0.00144957,0.00387864,0.00532821,45.37109
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.00150566,0.00395576,0.00546143,45.92188
c21_6_d1.col,21,105,11,357,2082,OPTIMAL,9,0.00389655,0.00401188,0.00790843,44.99219
c21_6_d2.col,21,105,11,357,2082,OPTIMAL,9,0.00392474,0.00399228,0.00791702,45.98438
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.00164432,0.00544102,0.00708534,45.41797
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.00131341,0.00417499,0.0054884,45.37109
c21_8_d1.col,21,105,11,357,2082,OPTIMAL,9,0.00406223,0.00311365,0.00717588,45.9375
c21_8_d2.col,21,105,11,357,2082,OPTIMAL,9,0.00260361,0.00263906,0.00524267,45.37109
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.00381339,0.00365935,0.00747274,45.92188
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.00345662,0.00370816,0.00716478,45.51172
