name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,22954,131337,OPTIMAL,50,0.352194,1.29893,1.65113,78.69922
GEOM100a.col,100,992,91,34236,255976,OPTIMAL,66,1.27801,154.506,155.784,107.26172
GEOM100b.col,100,1050,121,37303,285319,OPTIMAL,71,3.50759,190.285,193.792,114.15234
GEOM110.col,110,638,64,25626,149778,OPTIMAL,50,0.406529,1.51964,1.92616,81.78906
GEOM110a.col,110,1207,109,39551,315142,OPTIMAL,69,2.89347,215.797,218.69,124.64062
GEOM110b.col,110,1256,121,44888,361181,OPTIMAL,77,3.83312,1333.9,1337.73,144.08203
GEOM120.col,120,773,73,34196,209064,OPTIMAL,59,0.564129,4.35207,4.9162,90.79297
GEOM120a.col,120,1434,109,53365,438879,OPTIMAL,82,2.56104,2139.54,2142.11,151.72656
GEOM120b.col,120,1491,123,53831,451379,SATISFIABLE,83,4.23237,3595.77,3600.0,168.24219
GEOM20.col,20,20,24,1136,3669,OPTIMAL,21,0.00335122,0.0186037,0.0219549,45.80469
GEOM20a.col,20,37,24,1298,4828,OPTIMAL,20,0.0050448,0.0248765,0.0299213,45.37891
GEOM20b.col,20,32,16,715,2492,OPTIMAL,13,0.00269732,0.0169499,0.0196472,45.79688
GEOM30.col,30,50,33,2629,10056,OPTIMAL,28,0.0118257,0.0399432,0.0517689,45.30859
GEOM30a.col,30,81,32,2887,12629,OPTIMAL,27,0.0148278,0.0472161,0.0620439,45.37891
GEOM30b.col,30,81,27,2882,12320,OPTIMAL,26,0.00674895,0.0175839,0.0243329,45.37891
GEOM40.col,40,78,33,3775,14925,OPTIMAL,28,0.0153417,0.045322,0.0606638,45.43359
GEOM40a.col,40,146,50,5946,28984,OPTIMAL,37,0.06804,0.165025,0.233066,58.34375
GEOM40b.col,40,157,40,5327,26310,OPTIMAL,33,0.040564,0.0972459,0.13781,62.06641
GEOM50.col,50,127,36,5076,21487,OPTIMAL,28,0.0378155,0.0883939,0.126209,55.66406
GEOM50a.col,50,238,61,10796,59877,OPTIMAL,50,0.122606,0.739418,0.862024,68.00781
GEOM50b.col,50,249,54,7649,40766,OPTIMAL,35,0.15589,0.407781,0.563671,65.22656
GEOM60.col,60,185,36,7605,35156,OPTIMAL,33,0.0256133,0.058204,0.0838174,45.37109
GEOM60a.col,60,339,61,13316,78805,OPTIMAL,50,0.157792,0.884915,1.04271,70.125
GEOM60b.col,60,366,63,11262,66085,OPTIMAL,41,0.289621,1.20423,1.49386,70.09375
GEOM70.col,70,267,44,11305,55335,OPTIMAL,38,0.068046,0.151333,0.219379,65.89453
GEOM70a.col,70,459,72,19927,125989,OPTIMAL,61,0.262207,8.68686,8.94907,78.75391
GEOM70b.col,70,488,76,15819,97211,OPTIMAL,47,0.584972,3.76026,4.34523,77.35547
GEOM80.col,80,349,54,14073,73607,OPTIMAL,41,0.183562,0.347502,0.531064,58.53516
GEOM80a.col,80,612,79,24839,165307,OPTIMAL,63,0.489394,12.6665,13.1559,85.64062
GEOM80b.col,80,663,98,23939,162836,OPTIMAL,60,1.36532,10.2546,11.6199,88.78516
GEOM90.col,90,441,54,18868,100940,OPTIMAL,46,0.157245,0.404949,0.562194,71.41797
GEOM90a.col,90,789,80,28671,201538,OPTIMAL,63,0.659373,14.9678,15.6272,90.94922
GEOM90b.col,90,860,109,31910,234203,OPTIMAL,69,2.11321,66.1941,68.3073,102.38672
c21_1_d1.col,21,105,8,231,945,OPTIMAL,7,0.000708626,0.0157424,0.016451,45.4375
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.00106803,0.0160462,0.0171142,45.37891
c21_2_d1.col,21,105,11,357,2082,OPTIMAL,9,0.00170896,0.0157764,0.0174854,45.37891
c21_2_d2.col,21,105,11,357,2082,OPTIMAL,9,0.00204605,0.0145069,0.0165529,45.73438
c21_3_d1.col,21,105,8,231,945,OPTIMAL,7,0.00104836,0.0149018,0.0159501,45.37109
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.00106404,0.0157175,0.0167815,44.69141
c21_4_d1.col,21,105,11,357,2082,OPTIMAL,9,0.00185271,0.0141125,0.0159652,45.37891
c21_4_d2.col,21,105,11,357,2082,OPTIMAL,9,0.00170531,0.0147666,0.0164719,45.37109
c21_5_d1.col,21,105,8,231,945,OPTIMAL,7,0.000839983,0.016515,0.017355,45.4375
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.001143,0.0170686,0.0182116,45.37891
c21_6_d1.col,21,105,11,357,2082,OPTIMAL,9,0.00169191,0.0143815,0.0160734,45.73438
c21_6_d2.col,21,105,11,357,2082,OPTIMAL,9,0.00230662,0.0154336,0.0177402,45.44141
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.00109087,0.0143053,0.0153962,46.17188
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.000804387,0.0146209,0.0154253,45.31641
c21_8_d1.col,21,105,11,357,2082,OPTIMAL,9,0.00208389,0.0138202,0.0159041,45.44141
c21_8_d2.col,21,105,11,357,2082,OPTIMAL,9,0.00226236,0.0139507,0.0162131,45.80469
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.00221908,0.0191642,0.0213833,45.50391
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.00296926,0.0465398,0.0495091,45.44141
