name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,20302,120729,OPTIMAL,50,0.631269,0.844688,1.47596,92.21875
GEOM100a.col,100,992,91,30105,239452,OPTIMAL,66,2.23335,188.242,190.475,137.97656
GEOM100b.col,100,1050,121,32655,266727,OPTIMAL,71,5.52393,201.869,207.393,145.17969
GEOM110.col,110,638,64,22701,138078,OPTIMAL,50,0.726795,1.28505,2.01185,96.9375
GEOM110a.col,110,1207,109,34691,295702,OPTIMAL,69,4.76146,239.066,243.827,166.38281
GEOM110b.col,110,1256,121,39188,338381,OPTIMAL,77,6.02537,924.257,930.283,194.97656
GEOM120.col,120,773,73,30194,193056,OPTIMAL,59,0.985113,4.41401,5.39913,111.48047
GEOM120a.col,120,1434,109,46800,412619,OPTIMAL,82,4.20681,954.755,958.962,212.10156
GEOM120b.col,120,1491,123,47175,424755,OPTIMAL,83,6.61797,849.944,856.562,212.54297
GEOM20.col,20,20,24,1136,3669,OPTIMAL,21,0.00574646,0.00133274,0.00707921,45.38672
GEOM20a.col,20,37,24,1208,4468,OPTIMAL,20,0.0120832,0.00377294,0.0158562,45.75
GEOM20b.col,20,32,16,635,2172,OPTIMAL,13,0.00351954,0.00110896,0.0046285,45.38672
GEOM30.col,30,50,33,2583,9872,OPTIMAL,28,0.0203664,0.00600476,0.0263712,45.44922
GEOM30a.col,30,81,32,2557,11309,OPTIMAL,27,0.0229739,0.00444698,0.0274209,45.38672
GEOM30b.col,30,81,27,2588,11144,OPTIMAL,26,0.0123848,0.00269252,0.0150773,45.38672
GEOM40.col,40,78,33,3545,14005,OPTIMAL,28,0.0284347,0.00744025,0.035875,45.44922
GEOM40a.col,40,146,50,5226,26104,OPTIMAL,37,0.121038,0.0350272,0.156066,58.15234
GEOM40b.col,40,157,40,4781,24126,OPTIMAL,33,0.0653948,0.0277246,0.0931194,47.80469
GEOM50.col,50,127,36,4685,19923,OPTIMAL,28,0.0618374,0.0110025,0.0728399,45.57422
GEOM50a.col,50,238,61,9470,54573,OPTIMAL,50,0.214343,0.459415,0.673758,68.04297
GEOM50b.col,50,249,54,6809,37406,OPTIMAL,35,0.274874,0.113254,0.388128,64.54688
GEOM60.col,60,185,36,6903,32348,OPTIMAL,33,0.0440143,0.0113261,0.0553404,45.38672
GEOM60a.col,60,339,61,11678,72253,OPTIMAL,50,0.274457,0.610775,0.885232,75.73438
GEOM60b.col,60,366,63,9950,60837,OPTIMAL,41,0.503679,1.28961,1.79329,73.85938
GEOM70.col,70,267,44,10174,50811,OPTIMAL,38,0.121089,0.0467252,0.167814,62.51562
GEOM70a.col,70,459,72,17623,116773,OPTIMAL,61,0.456082,5.04557,5.50165,86.52734
GEOM70b.col,70,488,76,14019,90011,OPTIMAL,47,1.02908,3.04766,4.07675,85.75781
GEOM80.col,80,349,54,12537,67463,OPTIMAL,41,0.329278,0.0733646,0.402643,67.08984
GEOM80a.col,80,612,79,22039,154107,OPTIMAL,63,0.873405,8.36783,9.24123,101.23047
GEOM80b.col,80,663,98,20978,150992,OPTIMAL,60,2.25723,7.3067,9.56392,104.76953
GEOM90.col,90,441,54,16796,92652,OPTIMAL,46,0.285394,0.17114,0.456533,70.85938
GEOM90a.col,90,789,80,25271,187938,OPTIMAL,63,1.1557,12.1028,13.2585,110.38672
GEOM90b.col,90,860,109,27968,218435,OPTIMAL,69,3.48848,47.3231,50.8116,124.62109
c21_1_d1.col,21,105,8,231,945,OPTIMAL,7,0.00104154,0.0053914,0.00643293,45.875
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.00105798,0.00400345,0.00506143,45.38672
c21_2_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00236608,0.00285907,0.00522515,45.44922
c21_2_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00251769,0.00263054,0.00514823,45.93359
c21_3_d1.col,21,105,8,231,945,OPTIMAL,7,0.00105866,0.00562167,0.00668033,45.38672
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.00100731,0.00387104,0.00487835,45.44922
c21_4_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00299313,0.00373467,0.0067278,45.38672
c21_4_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00298945,0.00395368,0.00694312,45.44922
c21_5_d1.col,21,105,8,231,945,OPTIMAL,7,0.00104922,0.00560153,0.00665075,45.38672
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.00104401,0.0054961,0.00654011,45.44922
c21_6_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00233743,0.00285064,0.00518808,45.38672
c21_6_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00300117,0.00365007,0.00665124,45.44922
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.00106447,0.00539525,0.00645972,45.42969
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.001075,0.00571946,0.00679446,45.44922
c21_8_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00244695,0.00283326,0.00528021,45.44922
c21_8_d2.col,21,105,11,315,1914,OPTIMAL,9,0.0029969,0.00374562,0.00674252,45.44922
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.00296295,0.00399993,0.00696288,45.38672
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.00232195,0.00360619,0.00592814,45.44922
