name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,20302,120729,OPTIMAL,50,0.305869,1.12067,1.42654,77.63672
GEOM100a.col,100,992,91,30105,239452,OPTIMAL,66,1.12041,250.892,252.012,106.46094
GEOM100b.col,100,1050,121,32655,266727,OPTIMAL,71,3.06321,167.248,170.311,112.125
GEOM110.col,110,638,64,22701,138078,OPTIMAL,50,0.361602,1.44138,1.80298,79.96094
GEOM110a.col,110,1207,109,34691,295702,OPTIMAL,69,2.5807,168.135,170.716,117.99219
GEOM110b.col,110,1256,121,39188,338381,OPTIMAL,77,3.33813,1329.59,1332.92,141.18359
GEOM120.col,120,773,73,30194,193056,OPTIMAL,59,0.492204,4.02532,4.51753,88.84766
GEOM120a.col,120,1434,109,46800,412619,OPTIMAL,82,2.27263,2098.61,2100.88,153.67969
GEOM120b.col,120,1491,123,47175,424755,SATISFIABLE,83,3.71038,3595.44,3599.15,173.89062
GEOM20.col,20,20,24,1136,3669,OPTIMAL,21,0.00311858,0.0191721,0.0222906,45.35938
GEOM20a.col,20,37,24,1208,4468,OPTIMAL,20,0.00407187,0.0239099,0.0279818,45.72266
GEOM20b.col,20,32,16,635,2172,OPTIMAL,13,0.00232186,0.0157445,0.0180664,45.83984
GEOM30.col,30,50,33,2583,9872,OPTIMAL,28,0.0093405,0.0388421,0.0481826,45.35156
GEOM30a.col,30,81,32,2557,11309,OPTIMAL,27,0.0112825,0.0416344,0.0529168,45.35938
GEOM30b.col,30,81,27,2588,11144,OPTIMAL,26,0.0045445,0.0167683,0.0213129,45.48438
GEOM40.col,40,78,33,3545,14005,OPTIMAL,28,0.0157434,0.0451798,0.0609232,45.41406
GEOM40a.col,40,146,50,5226,26104,OPTIMAL,37,0.0590862,0.151858,0.210944,62.43359
GEOM40b.col,40,157,40,4781,24126,OPTIMAL,33,0.0318722,0.0891197,0.120992,61.88281
GEOM50.col,50,127,36,4685,19923,OPTIMAL,28,0.0335304,0.0835986,0.117129,55.41406
GEOM50a.col,50,238,61,9470,54573,OPTIMAL,50,0.106811,0.700747,0.807558,66.85547
GEOM50b.col,50,249,54,6809,37406,OPTIMAL,35,0.140966,0.378304,0.51927,65.10156
GEOM60.col,60,185,36,6903,32348,OPTIMAL,33,0.0226866,0.0503841,0.0730707,45.41406
GEOM60a.col,60,339,61,11678,72253,OPTIMAL,50,0.137394,0.823548,0.960942,69.45703
GEOM60b.col,60,366,63,9950,60837,OPTIMAL,41,0.255654,1.55131,1.80696,69.44922
GEOM70.col,70,267,44,10174,50811,OPTIMAL,38,0.0609701,0.130955,0.191925,55.8125
GEOM70a.col,70,459,72,17623,116773,OPTIMAL,61,0.224644,5.83201,6.05665,77.69531
GEOM70b.col,70,488,76,14019,90011,OPTIMAL,47,0.512433,3.22197,3.7344,75.91406
GEOM80.col,80,349,54,12537,67463,OPTIMAL,41,0.159652,0.317917,0.477568,57.98047
GEOM80a.col,80,612,79,22039,154107,OPTIMAL,63,0.436485,11.6913,12.1278,83.95703
GEOM80b.col,80,663,98,20978,150992,OPTIMAL,60,1.16348,9.80163,10.9651,87.60547
GEOM90.col,90,441,54,16796,92652,OPTIMAL,46,0.142206,0.369713,0.511919,69.55078
GEOM90a.col,90,789,80,25271,187938,OPTIMAL,63,0.585759,14.4499,15.0356,89.28125
GEOM90b.col,90,860,109,27968,218435,OPTIMAL,69,1.86554,70.1785,72.044,101.48828
c21_1_d1.col,21,105,8,231,945,OPTIMAL,7,0.000487796,0.0161803,0.0166681,45.78125
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.000472425,0.0166114,0.0170839,45.35938
c21_2_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00101066,0.0126824,0.0136931,45.29688
c21_2_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00147401,0.013596,0.01507,45.16406
c21_3_d1.col,21,105,8,231,945,OPTIMAL,7,0.000463128,0.0168734,0.0173366,45.90234
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.000458308,0.0148491,0.0153074,45.78516
c21_4_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00100011,0.0137159,0.014716,45.35938
c21_4_d2.col,21,105,11,315,1914,OPTIMAL,9,0.000986694,0.013178,0.0141647,45.77734
c21_5_d1.col,21,105,8,231,945,OPTIMAL,7,0.000479922,0.016397,0.0168769,45.16797
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.000469618,0.0157541,0.0162237,45.42188
c21_6_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00148173,0.0138149,0.0152966,45.16406
c21_6_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00149383,0.0134969,0.0149907,45.35938
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.00044005,0.0470152,0.0474552,45.28906
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.000476092,0.0148667,0.0153428,45.42188
c21_8_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00146606,0.0145923,0.0160584,45.35938
c21_8_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00148992,0.0132283,0.0147182,45.35938
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.00144509,0.0188861,0.0203312,45.72266
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.00121917,0.0209057,0.0221249,45.78516
