name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,22954,131362,OPTIMAL,50,0.35264,1.55961,1.91225,77.42578
GEOM100a.col,100,992,91,34236,256009,OPTIMAL,66,1.27807,150.244,151.522,107.42969
GEOM100b.col,100,1050,121,37303,285354,OPTIMAL,71,3.51807,170.721,174.239,113.66016
GEOM110.col,110,638,64,25626,149803,OPTIMAL,50,0.400248,1.35885,1.75909,81.77344
GEOM110a.col,110,1207,109,39551,315176,OPTIMAL,69,2.89021,181.467,184.357,120.73438
GEOM110b.col,110,1256,121,44888,361219,OPTIMAL,77,3.78255,1163.73,1167.52,136.87891
GEOM120.col,120,773,73,34196,209093,OPTIMAL,59,0.571076,3.34478,3.91586,90.32812
GEOM120a.col,120,1434,109,53365,438920,OPTIMAL,82,2.56139,1699.29,1701.85,147.875
GEOM120b.col,120,1491,123,53831,451420,SATISFIABLE,83,4.27331,3594.88,3599.15,170.98047
GEOM20.col,20,20,24,1136,3679,OPTIMAL,21,0.0041273,0.019384,0.0235113,45.45312
GEOM20a.col,20,37,24,1298,4838,OPTIMAL,20,0.00548198,0.0254935,0.0309755,45.375
GEOM20b.col,20,32,16,715,2498,OPTIMAL,13,0.00272245,0.0165639,0.0192864,45.36719
GEOM30.col,30,50,33,2629,10070,OPTIMAL,28,0.00977961,0.0376643,0.0474439,45.85547
GEOM30a.col,30,81,32,2887,12642,OPTIMAL,27,0.0129321,0.0434821,0.0564142,45.39062
GEOM30b.col,30,81,27,2882,12333,OPTIMAL,26,0.00604619,0.0458908,0.051937,45.39062
GEOM40.col,40,78,33,3775,14939,OPTIMAL,28,0.0159929,0.0481566,0.0641495,45.24219
GEOM40a.col,40,146,50,5946,29002,OPTIMAL,37,0.0676469,0.165967,0.233614,63.09375
GEOM40b.col,40,157,40,5327,26326,OPTIMAL,33,0.0360619,0.0960433,0.132105,62.46094
GEOM50.col,50,127,36,5076,21501,OPTIMAL,28,0.0389964,0.0894711,0.128467,57.59766
GEOM50a.col,50,238,61,10796,59902,OPTIMAL,50,0.126436,0.750538,0.876974,67.99609
GEOM50b.col,50,249,54,7649,40783,OPTIMAL,35,0.155057,0.34526,0.500317,58.0625
GEOM60.col,60,185,36,7605,35172,OPTIMAL,33,0.0278694,0.0567592,0.0846286,45.17969
GEOM60a.col,60,339,61,13316,78830,OPTIMAL,50,0.1601,1.11867,1.27877,70.20703
GEOM60b.col,60,366,63,11262,66105,OPTIMAL,41,0.294805,0.953098,1.2479,69.75
GEOM70.col,70,267,44,11305,55354,OPTIMAL,38,0.0663637,0.148532,0.214896,66.03906
GEOM70a.col,70,459,72,19927,126019,OPTIMAL,61,0.254321,4.19896,4.45328,77.4375
GEOM70b.col,70,488,76,15819,97234,OPTIMAL,47,0.588406,4.12891,4.71732,77.03516
GEOM80.col,80,349,54,14073,73627,OPTIMAL,41,0.184149,0.347028,0.531177,58.54297
GEOM80a.col,80,612,79,24839,165338,OPTIMAL,63,0.495386,7.58276,8.07814,85.42578
GEOM80b.col,80,663,98,23939,162866,OPTIMAL,60,1.35143,11.6752,13.0266,88.96484
GEOM90.col,90,441,54,18868,100963,OPTIMAL,46,0.163898,0.39704,0.560938,72.03516
GEOM90a.col,90,789,80,28671,201569,OPTIMAL,63,0.654616,13.9867,14.6413,90.09766
GEOM90b.col,90,860,109,31910,234237,OPTIMAL,69,2.12721,127.091,129.219,105.62891
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.00107916,0.0105492,0.0116284,45.43359
c21_1_d2.col,21,105,8,231,948,OPTIMAL,7,0.00106891,0.0108212,0.0118902,45.45312
c21_2_d1.col,21,105,11,357,2086,OPTIMAL,9,0.00225656,0.0143963,0.0166529,45.39062
c21_2_d2.col,21,105,11,357,2086,OPTIMAL,9,0.00225426,0.0144887,0.0167429,45.42969
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.00107098,0.0096635,0.0107345,45.85547
c21_3_d2.col,21,105,8,231,948,OPTIMAL,7,0.00111467,0.0106494,0.011764,45.39062
c21_4_d1.col,21,105,11,357,2086,OPTIMAL,9,0.00228636,0.0144325,0.0167189,45.81641
c21_4_d2.col,21,105,11,357,2086,OPTIMAL,9,0.00226939,0.0147943,0.0170637,45.36719
c21_5_d1.col,21,105,8,231,948,OPTIMAL,7,0.00104213,0.0129286,0.0139708,45.85938
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.00104831,0.00972969,0.010778,45.375
c21_6_d1.col,21,105,11,357,2086,OPTIMAL,9,0.00232151,0.0142236,0.0165451,45.36719
c21_6_d2.col,21,105,11,357,2086,OPTIMAL,9,0.00231191,0.0132872,0.0155991,45.92578
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.00105292,0.0108603,0.0119132,45.60938
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.00105766,0.0101647,0.0112223,45.98828
c21_8_d1.col,21,105,11,357,2086,OPTIMAL,9,0.00227095,0.0139773,0.0162482,45.87891
c21_8_d2.col,21,105,11,357,2086,OPTIMAL,9,0.00227765,0.0138447,0.0161223,45.375
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.00246353,0.0169413,0.0194048,45.86328
c55_2_d2.col,55,362,8,605,3000,OPTIMAL,7,0.00253591,0.017003,0.0195389,45.45312
