name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,20302,120754,OPTIMAL,50,0.627337,0.828069,1.45541,93.16797
GEOM100a.col,100,992,91,30105,239485,OPTIMAL,66,2.24692,107.096,109.343,129.94922
GEOM100b.col,100,1050,121,32655,266762,OPTIMAL,71,5.67314,196.205,201.878,147.77344
GEOM110.col,110,638,64,22701,138103,OPTIMAL,50,0.741234,0.989386,1.73062,98.39453
GEOM110a.col,110,1207,109,34691,295736,OPTIMAL,69,4.70762,225.338,230.046,166.02734
GEOM110b.col,110,1256,121,39188,338419,OPTIMAL,77,6.05822,699.078,705.136,176.46875
GEOM120.col,120,773,73,30194,193085,OPTIMAL,59,1.00375,4.01994,5.02369,112.54688
GEOM120a.col,120,1434,109,46800,412660,OPTIMAL,82,4.15831,956.866,961.024,208.26172
GEOM120b.col,120,1491,123,47175,424796,OPTIMAL,83,6.75554,1253.99,1260.74,223.00391
GEOM20.col,20,20,24,1136,3679,OPTIMAL,21,0.00557258,0.00129,0.00686258,45.4375
GEOM20a.col,20,37,24,1208,4478,OPTIMAL,20,0.0111861,0.00286199,0.0140481,45.4375
GEOM20b.col,20,32,16,635,2178,OPTIMAL,13,0.00415841,0.000910024,0.00506844,45.80078
GEOM30.col,30,50,33,2583,9886,OPTIMAL,28,0.0205526,0.00618456,0.0267372,45.375
GEOM30a.col,30,81,32,2557,11322,OPTIMAL,27,0.0237705,0.00591666,0.0296871,45.86328
GEOM30b.col,30,81,27,2588,11157,OPTIMAL,26,0.00933328,0.00271657,0.0120498,45.375
GEOM40.col,40,78,33,3545,14019,OPTIMAL,28,0.0291403,0.00739244,0.0365328,45.4375
GEOM40a.col,40,146,50,5226,26122,OPTIMAL,37,0.120137,0.0350279,0.155165,58.40234
GEOM40b.col,40,157,40,4781,24142,OPTIMAL,33,0.0632076,0.0255917,0.0887993,45.4375
GEOM50.col,50,127,36,4685,19937,OPTIMAL,28,0.06106,0.0108933,0.0719533,45.5625
GEOM50a.col,50,238,61,9470,54598,OPTIMAL,50,0.210858,0.465073,0.675931,67.75
GEOM50b.col,50,249,54,6809,37423,OPTIMAL,35,0.278719,0.114936,0.393656,63.71875
GEOM60.col,60,185,36,6903,32364,OPTIMAL,33,0.0455168,0.0111383,0.0566551,45.375
GEOM60a.col,60,339,61,11678,72278,OPTIMAL,50,0.28039,0.651668,0.932058,73.85938
GEOM60b.col,60,366,63,9950,60857,OPTIMAL,41,0.513251,0.626059,1.13931,73.35938
GEOM70.col,70,267,44,10174,50830,OPTIMAL,38,0.117729,0.0490135,0.166743,61.39062
GEOM70a.col,70,459,72,17623,116803,OPTIMAL,61,0.459151,3.87403,4.33318,88.01562
GEOM70b.col,70,488,76,14019,90034,OPTIMAL,47,1.01586,2.35468,3.37054,85.00781
GEOM80.col,80,349,54,12537,67483,OPTIMAL,41,0.331592,0.0751986,0.40679,65.80078
GEOM80a.col,80,612,79,22039,154138,OPTIMAL,63,0.891324,5.74249,6.63381,99.82031
GEOM80b.col,80,663,98,20978,151022,OPTIMAL,60,2.24558,7.73063,9.97621,102.41016
GEOM90.col,90,441,54,16796,92675,OPTIMAL,46,0.2866,0.161393,0.447993,71.65234
GEOM90a.col,90,789,80,25271,187969,OPTIMAL,63,1.1371,12.7627,13.8998,105.33203
GEOM90b.col,90,860,109,27968,218469,OPTIMAL,69,3.4741,55.3982,58.8723,125.86719
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.00104368,0.00203609,0.00307977,45.86328
c21_1_d2.col,21,105,8,231,948,OPTIMAL,7,0.00100868,0.0022366,0.00324529,46.05078
c21_2_d1.col,21,105,11,315,1918,OPTIMAL,9,0.0023498,0.00133343,0.00368322,45.1875
c21_2_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00308028,0.00173936,0.00481964,45.85938
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.00111673,0.00214007,0.0032568,45.375
c21_3_d2.col,21,105,8,231,948,OPTIMAL,7,0.00107422,0.00263056,0.00370477,44.19141
c21_4_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00248941,0.00143247,0.00392188,45.375
c21_4_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00239059,0.00164617,0.00403676,45.375
c21_5_d1.col,21,105,8,231,948,OPTIMAL,7,0.00106504,0.00229718,0.00336222,45.4375
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.00110506,0.00217872,0.00328378,45.98828
c21_6_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00304211,0.0021659,0.005208,45.0625
c21_6_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00236396,0.00173834,0.00410229,45.92578
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.000770663,0.00212976,0.00290042,45.78125
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.000745595,0.00196371,0.0027093,45.375
c21_8_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00303623,0.00192552,0.00496175,45.86328
c21_8_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00305423,0.00204003,0.00509426,45.98828
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.00244085,0.00453062,0.00697147,45.92578
c55_2_d2.col,55,362,8,605,3000,OPTIMAL,7,0.00287195,0.0056681,0.00854005,45.73828
