name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,20302,120754,OPTIMAL,50,0.307869,1.44507,1.75294,77.47656
GEOM100a.col,100,992,91,30105,239485,OPTIMAL,66,1.13019,221.931,223.061,106.83203
GEOM100b.col,100,1050,121,32655,266762,OPTIMAL,71,3.12327,256.764,259.888,114.19531
GEOM110.col,110,638,64,22701,138103,OPTIMAL,50,0.358658,1.34803,1.70669,79.40625
GEOM110a.col,110,1207,109,34691,295736,OPTIMAL,69,2.60169,155.044,157.646,118.70703
GEOM110b.col,110,1256,121,39188,338419,OPTIMAL,77,3.31333,1338.38,1341.69,138.78125
GEOM120.col,120,773,73,30194,193085,OPTIMAL,59,0.499301,3.8097,4.30901,88.85547
GEOM120a.col,120,1434,109,46800,412660,OPTIMAL,82,2.25385,1696.23,1698.48,148.35938
GEOM120b.col,120,1491,123,47175,424796,SATISFIABLE,83,3.74768,3595.76,3599.51,168.23047
GEOM20.col,20,20,24,1136,3679,OPTIMAL,21,0.00306347,0.0186097,0.0216732,45.28125
GEOM20a.col,20,37,24,1208,4478,OPTIMAL,20,0.00448449,0.0247348,0.0292193,45.46484
GEOM20b.col,20,32,16,635,2178,OPTIMAL,13,0.00229108,0.01695,0.0192411,45.39453
GEOM30.col,30,50,33,2583,9886,OPTIMAL,28,0.0101326,0.0376473,0.0477799,45.45703
GEOM30a.col,30,81,32,2557,11322,OPTIMAL,27,0.0109987,0.0413039,0.0523026,45.33984
GEOM30b.col,30,81,27,2588,11157,OPTIMAL,26,0.00618619,0.0178723,0.0240585,45.89062
GEOM40.col,40,78,33,3545,14019,OPTIMAL,28,0.0179216,0.0484239,0.0663455,45.39453
GEOM40a.col,40,146,50,5226,26122,OPTIMAL,37,0.0615107,0.154171,0.215681,62.88281
GEOM40b.col,40,157,40,4781,24142,OPTIMAL,33,0.0317435,0.0886452,0.120389,61.94531
GEOM50.col,50,127,36,4685,19937,OPTIMAL,28,0.0321205,0.083052,0.115173,53.67578
GEOM50a.col,50,238,61,9470,54598,OPTIMAL,50,0.111703,0.707125,0.818828,66.84375
GEOM50b.col,50,249,54,6809,37423,OPTIMAL,35,0.13872,0.313869,0.452589,64.52734
GEOM60.col,60,185,36,6903,32364,OPTIMAL,33,0.0228511,0.0506866,0.0735377,45.45703
GEOM60a.col,60,339,61,11678,72278,OPTIMAL,50,0.147804,1.05441,1.20221,69.59766
GEOM60b.col,60,366,63,9950,60857,OPTIMAL,41,0.261661,1.28708,1.54874,70.44141
GEOM70.col,70,267,44,10174,50830,OPTIMAL,38,0.0617166,0.130382,0.192098,55.85547
GEOM70a.col,70,459,72,17623,116803,OPTIMAL,61,0.224848,3.92415,4.14899,76.98047
GEOM70b.col,70,488,76,14019,90034,OPTIMAL,47,0.515139,4.59908,5.11422,76.19531
GEOM80.col,80,349,54,12537,67483,OPTIMAL,41,0.158796,0.312865,0.471661,65.98438
GEOM80a.col,80,612,79,22039,154138,OPTIMAL,63,0.438892,7.42383,7.86272,83.91797
GEOM80b.col,80,663,98,20978,151022,OPTIMAL,60,1.18004,10.24,11.4201,87.05469
GEOM90.col,90,441,54,16796,92675,OPTIMAL,46,0.140775,0.396928,0.537703,70.85938
GEOM90a.col,90,789,80,25271,187969,OPTIMAL,63,0.578854,12.8877,13.4665,89.44531
GEOM90b.col,90,860,109,27968,218469,OPTIMAL,69,1.86165,128.033,129.894,105.17578
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.000475048,0.0101555,0.0106306,45.76172
c21_1_d2.col,21,105,8,231,948,OPTIMAL,7,0.000471261,0.0103988,0.01087,45.46484
c21_2_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00113349,0.0137799,0.0149134,45.40234
c21_2_d2.col,21,105,11,315,1918,OPTIMAL,9,0.0010111,0.012953,0.0139641,45.39453
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.000487906,0.00946662,0.00995453,45.58203
c21_3_d2.col,21,105,8,231,948,OPTIMAL,7,0.000471017,0.0108937,0.0113647,44.77734
c21_4_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00146775,0.0135786,0.0150463,45.46484
c21_4_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00142321,0.0139059,0.0153291,45.45703
c21_5_d1.col,21,105,8,231,948,OPTIMAL,7,0.000503414,0.00998432,0.0104877,46.01172
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.000476995,0.0104811,0.0109581,45.89062
c21_6_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00106894,0.0126237,0.0136927,45.39453
c21_6_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00134536,0.0446379,0.0459832,45.40234
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.000482852,0.0110766,0.0115595,45.39453
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.000324506,0.00995432,0.0102788,45.40234
c21_8_d1.col,21,105,11,315,1918,OPTIMAL,9,0.000995179,0.0131341,0.0141292,45.46484
c21_8_d2.col,21,105,11,315,1918,OPTIMAL,9,0.0014524,0.0138066,0.015259,45.40234
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.0015075,0.0490161,0.0505236,45.46484
c55_2_d2.col,55,362,8,605,3000,OPTIMAL,7,0.00104455,0.0173306,0.0183752,45.40625
