name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,30080,173986,OPTIMAL,50,0.0516691,0.912986,0.964655,89.74219
GEOM100a.col,100,992,91,48058,365646,OPTIMAL,66,0.115794,208.193,208.309,141.54688
GEOM100b.col,100,1050,121,64389,508367,OPTIMAL,71,0.158995,136.578,136.737,148.73047
GEOM110.col,110,638,64,33648,198764,OPTIMAL,50,0.0636279,1.0375,1.10112,99.70703
GEOM110a.col,110,1207,109,64377,520199,OPTIMAL,69,0.161833,218.801,218.963,178.82031
GEOM110b.col,110,1256,121,71692,589520,OPTIMAL,77,0.184713,696.169,696.354,190.73047
GEOM120.col,120,773,73,43198,266102,OPTIMAL,59,0.0858336,3.43458,3.52041,116.90625
GEOM120a.col,120,1434,109,71126,600486,OPTIMAL,82,0.189667,246.426,246.615,185.59375
GEOM120b.col,120,1491,123,79965,692159,SATISFIABLE,83,0.225246,3599.78,3600.0,265.29297
GEOM20.col,20,20,24,1223,4214,OPTIMAL,21,0.00121514,0.000996227,0.00221137,45.46484
GEOM20a.col,20,37,24,1485,5991,OPTIMAL,20,0.00160239,0.00163369,0.00323607,45.33594
GEOM20b.col,20,32,16,900,3328,OPTIMAL,13,0.0013691,0.00110441,0.00247351,45.26953
GEOM30.col,30,50,33,2943,12061,OPTIMAL,28,0.00488915,0.00657531,0.0114645,45.39453
GEOM30a.col,30,81,32,3464,15743,OPTIMAL,27,0.00555517,0.00342521,0.00898038,45.40234
GEOM30b.col,30,81,27,2995,12985,OPTIMAL,26,0.0042112,0.0018367,0.0060479,45.33984
GEOM40.col,40,78,33,4211,17748,OPTIMAL,28,0.00746418,0.00541049,0.0128747,45.82031
GEOM40a.col,40,146,50,8109,41576,OPTIMAL,37,0.0164618,0.0293491,0.0458109,45.82812
GEOM40b.col,40,157,40,6530,33176,OPTIMAL,33,0.0144615,0.025145,0.0396065,45.33984
GEOM50.col,50,127,36,6365,28587,OPTIMAL,28,0.0126367,0.014313,0.0269496,45.33594
GEOM50a.col,50,238,61,13379,75315,OPTIMAL,50,0.0280293,0.452478,0.480508,69.07812
GEOM50b.col,50,249,54,12177,67227,OPTIMAL,35,0.022537,0.163799,0.186336,64.89453
GEOM60.col,60,185,36,8418,39258,OPTIMAL,33,0.0118282,0.00861069,0.0204389,45.58203
GEOM60a.col,60,339,61,16466,98842,OPTIMAL,50,0.0273729,0.637615,0.664988,74.83984
GEOM60b.col,60,366,63,18162,108561,OPTIMAL,41,0.0310727,1.03165,1.06272,74.21875
GEOM70.col,70,267,44,12918,65515,OPTIMAL,38,0.0190929,0.0482355,0.0673284,45.15234
GEOM70a.col,70,459,72,24130,152338,OPTIMAL,61,0.0458718,4.04419,4.09007,87.50391
GEOM70b.col,70,488,76,25743,166807,OPTIMAL,47,0.0492317,2.28602,2.33526,85.36719
GEOM80.col,80,349,54,18882,100878,OPTIMAL,41,0.0313251,0.0842258,0.115551,70.48438
GEOM80a.col,80,612,79,31067,212259,OPTIMAL,63,0.060462,8.81371,8.87417,100.76953
GEOM80b.col,80,663,98,40149,279154,OPTIMAL,60,0.0909836,5.4743,5.56529,108.16797
GEOM90.col,90,441,54,22009,120803,OPTIMAL,46,0.0373239,0.14235,0.179674,76.38281
GEOM90a.col,90,789,80,36809,263657,OPTIMAL,63,0.0821162,8.92117,9.00328,108.9375
GEOM90b.col,90,860,109,51584,384964,OPTIMAL,69,0.123189,41.4768,41.6,129.80859
c21_1_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000429195,0.00405066,0.00447985,45.33594
c21_1_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000667262,0.00443822,0.00510548,45.33984
c21_2_d1.col,21,105,11,462,3024,OPTIMAL,9,0.00132306,0.00331922,0.00464228,45.33984
c21_2_d2.col,21,105,11,462,3024,OPTIMAL,9,0.00128108,0.00345609,0.00473717,45.82031
c21_3_d1.col,21,105,8,315,1323,OPTIMAL,7,0.00068591,0.00468148,0.00536739,45.39453
c21_3_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000692281,0.00451663,0.00520891,45.33984
c21_4_d1.col,21,105,11,462,3024,OPTIMAL,9,0.00115265,0.00254289,0.00369555,45.82422
c21_4_d2.col,21,105,11,462,3024,OPTIMAL,9,0.000837078,0.0025814,0.00341848,45.33203
c21_5_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000679275,0.00414486,0.00482414,44.52344
c21_5_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000677692,0.00573362,0.00641131,45.27344
c21_6_d1.col,21,105,11,462,3024,OPTIMAL,9,0.00106178,0.00257532,0.00363711,45.39453
c21_6_d2.col,21,105,11,462,3024,OPTIMAL,9,0.00126782,0.00350348,0.0047713,45.33594
c21_7_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000697963,0.00557228,0.00627025,45.44531
c21_7_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000666061,0.00563706,0.00630312,45.88672
c21_8_d1.col,21,105,11,462,3024,OPTIMAL,9,0.000845206,0.00252406,0.00336926,45.33984
c21_8_d2.col,21,105,11,462,3024,OPTIMAL,9,0.00124876,0.00354937,0.00479813,45.39844
c55_1_d1.col,55,362,8,825,4161,OPTIMAL,7,0.0016958,0.00415332,0.00584912,45.39844
c55_2_d2.col,55,362,8,825,4161,OPTIMAL,7,0.00207872,0.00600901,0.00808773,45.40234
