name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,26704,160482,OPTIMAL,50,0.0517738,0.809878,0.861651,87.04297
GEOM100a.col,100,992,91,42321,342698,OPTIMAL,66,0.102427,104.975,105.077,131.58203
GEOM100b.col,100,1050,121,56528,476923,OPTIMAL,71,0.145166,139.819,139.964,160.52344
GEOM110.col,110,638,64,29926,183876,OPTIMAL,50,0.0540321,0.889668,0.943701,91.72266
GEOM110a.col,110,1207,109,56739,489647,OPTIMAL,69,0.146701,103.754,103.901,154.28906
GEOM110b.col,110,1256,121,62695,553532,OPTIMAL,77,0.170758,1113.01,1113.18,221.66016
GEOM120.col,120,773,73,38279,246426,OPTIMAL,59,0.0747936,2.8805,2.9553,108.40234
GEOM120a.col,120,1434,109,62553,566194,OPTIMAL,82,0.173693,172.632,172.805,173.46875
GEOM120b.col,120,1491,123,69905,651919,OPTIMAL,83,0.197239,2924.1,2924.3,258.40625
GEOM20.col,20,20,24,1223,4214,OPTIMAL,21,0.00165927,0.0010188,0.00267807,45.15625
GEOM20a.col,20,37,24,1373,5543,OPTIMAL,20,0.00151958,0.00188315,0.00340272,45.34375
GEOM20b.col,20,32,16,818,3000,OPTIMAL,13,0.000838763,0.00076522,0.00160398,45.33984
GEOM30.col,30,50,33,2895,11869,OPTIMAL,28,0.00356608,0.00497634,0.00854242,45.33984
GEOM30a.col,30,81,32,3080,14207,OPTIMAL,27,0.00567486,0.00465388,0.0103287,45.40625
GEOM30b.col,30,81,27,2693,11777,OPTIMAL,26,0.0045221,0.00161847,0.00614057,45.40625
GEOM40.col,40,78,33,3959,16740,OPTIMAL,28,0.00523831,0.00543065,0.010669,45.33984
GEOM40a.col,40,146,50,7155,37760,OPTIMAL,37,0.0110487,0.0359909,0.0470396,45.34375
GEOM40b.col,40,157,40,5876,30560,OPTIMAL,33,0.0129121,0.0183779,0.03129,45.83203
GEOM50.col,50,127,36,5875,26627,OPTIMAL,28,0.00936584,0.0102382,0.019604,45.28125
GEOM50a.col,50,238,61,11721,68683,OPTIMAL,50,0.0281516,0.492573,0.520724,68.14453
GEOM50b.col,50,249,54,10875,62019,OPTIMAL,35,0.0173598,0.161095,0.178455,64.53516
GEOM60.col,60,185,36,7630,36106,OPTIMAL,33,0.0107715,0.00788907,0.0186606,45.08984
GEOM60a.col,60,339,61,14422,90666,OPTIMAL,50,0.0250162,0.647561,0.672577,72.88672
GEOM60b.col,60,366,63,16083,100245,OPTIMAL,41,0.0350788,0.825898,0.860977,73.29297
GEOM70.col,70,267,44,11546,60027,OPTIMAL,38,0.0168737,0.0414844,0.0583581,45.70703
GEOM70a.col,70,459,72,21364,141274,OPTIMAL,61,0.0403083,3.71528,3.75559,83.82812
GEOM70b.col,70,488,76,22753,154847,OPTIMAL,47,0.0432351,2.33893,2.38216,84.05859
GEOM80.col,80,349,54,16812,92598,OPTIMAL,41,0.0268441,0.068865,0.095709,45.89453
GEOM80a.col,80,612,79,27569,198267,OPTIMAL,63,0.0618317,7.98891,8.05075,99.34375
GEOM80b.col,80,663,98,35279,259674,OPTIMAL,60,0.0811218,5.53648,5.6176,102.27734
GEOM90.col,90,441,54,19587,111115,OPTIMAL,46,0.0344355,0.140804,0.17524,74.875
GEOM90a.col,90,789,80,32475,246321,OPTIMAL,63,0.0712397,9.44579,9.51703,109.6875
GEOM90b.col,90,860,109,45403,360240,OPTIMAL,69,0.113505,72.9472,73.0607,128.22656
c21_1_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000458936,0.004421,0.00487993,45.40625
c21_1_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000448746,0.0057585,0.00620725,45.34375
c21_2_d1.col,21,105,11,441,2940,OPTIMAL,9,0.00103227,0.00287536,0.00390763,45.40625
c21_2_d2.col,21,105,11,441,2940,OPTIMAL,9,0.00108462,0.00210427,0.00318888,45.89062
c21_3_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000479095,0.00579752,0.00627662,45.33984
c21_3_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000461839,0.00388799,0.00434983,45.40625
c21_4_d1.col,21,105,11,441,2940,OPTIMAL,9,0.00109888,0.00211557,0.00321445,45.34375
c21_4_d2.col,21,105,11,441,2940,OPTIMAL,9,0.000693446,0.00219017,0.00288362,45.40234
c21_5_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000480789,0.00555893,0.00603972,45.28125
c21_5_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000451034,0.00543986,0.0058909,45.34375
c21_6_d1.col,21,105,11,441,2940,OPTIMAL,9,0.00102053,0.00240749,0.00342802,45.40234
c21_6_d2.col,21,105,11,441,2940,OPTIMAL,9,0.00101069,0.00292607,0.00393676,45.70703
c21_7_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000480165,0.0042713,0.00475147,45.39062
c21_7_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000461163,0.00424231,0.00470347,45.28125
c21_8_d1.col,21,105,11,441,2940,OPTIMAL,9,0.00101009,0.00295985,0.00396994,45.40625
c21_8_d2.col,21,105,11,441,2940,OPTIMAL,9,0.000992264,0.00305752,0.00404978,45.34375
c55_1_d1.col,55,362,8,825,4161,OPTIMAL,7,0.00155331,0.00476332,0.00631664,45.40625
c55_2_d2.col,55,362,8,825,4161,OPTIMAL,7,0.0013072,0.00612324,0.00743044,45.28125
