name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,30080,174018,OPTIMAL,50,0.0521706,0.900078,0.952248,93.16797
GEOM100a.col,100,992,91,48058,365692,OPTIMAL,66,0.115306,182.155,182.27,141.33984
GEOM100b.col,100,1050,121,64389,508428,OPTIMAL,71,0.163057,167.389,167.552,159.92188
GEOM110.col,110,638,64,33648,198796,OPTIMAL,50,0.0595823,0.971402,1.03098,97.03125
GEOM110a.col,110,1207,109,64377,520254,OPTIMAL,69,0.160209,117.935,118.095,157.40234
GEOM110b.col,110,1256,121,71692,589581,OPTIMAL,77,0.191275,1008.19,1008.39,198.91797
GEOM120.col,120,773,73,43198,266139,OPTIMAL,59,0.0826768,2.78951,2.87219,114.23047
GEOM120a.col,120,1434,109,71126,600541,OPTIMAL,82,0.22295,683.655,683.878,205.28906
GEOM120b.col,120,1491,123,79965,692221,OPTIMAL,83,0.219124,1528.49,1528.71,247.85156
GEOM20.col,20,20,24,1223,4226,OPTIMAL,21,0.00124588,0.00105133,0.00229721,45.45703
GEOM20a.col,20,37,24,1485,6003,OPTIMAL,20,0.00207151,0.0013606,0.00343211,45.39453
GEOM20b.col,20,32,16,900,3336,OPTIMAL,13,0.00155244,0.000862973,0.00241542,45.87891
GEOM30.col,30,50,33,2943,12078,OPTIMAL,28,0.00353599,0.00484284,0.00837882,45.32812
GEOM30a.col,30,81,32,3464,15759,OPTIMAL,27,0.00406611,0.00398433,0.00805044,45.33203
GEOM30b.col,30,81,27,2995,12999,OPTIMAL,26,0.00550824,0.00288176,0.00839,45.26953
GEOM40.col,40,78,33,4211,17765,OPTIMAL,28,0.00561438,0.0053741,0.0109885,45.32812
GEOM40a.col,40,146,50,8109,41601,OPTIMAL,37,0.0119914,0.0328245,0.0448159,45.45703
GEOM40b.col,40,157,40,6530,33196,OPTIMAL,33,0.00922754,0.0152367,0.0244642,45.39453
GEOM50.col,50,127,36,6365,28605,OPTIMAL,28,0.0103771,0.00974998,0.0201271,46.00781
GEOM50a.col,50,238,61,13379,75346,OPTIMAL,50,0.0218654,0.457014,0.478879,69.31641
GEOM50b.col,50,249,54,12177,67254,OPTIMAL,35,0.0201408,0.121748,0.141888,65.1875
GEOM60.col,60,185,36,8418,39276,OPTIMAL,33,0.0166032,0.00843957,0.0250428,45.32812
GEOM60a.col,60,339,61,16466,98873,OPTIMAL,50,0.0294569,0.587998,0.617455,76.71875
GEOM60b.col,60,366,63,18162,108593,OPTIMAL,41,0.0333079,0.769022,0.80233,75.97266
GEOM70.col,70,267,44,12918,65537,OPTIMAL,38,0.0186969,0.0421085,0.0608053,45.33203
GEOM70a.col,70,459,72,24130,152374,OPTIMAL,61,0.0450364,2.2229,2.26793,85.52734
GEOM70b.col,70,488,76,25743,166845,OPTIMAL,47,0.0520444,2.24209,2.29414,84.97266
GEOM80.col,80,349,54,18882,100905,OPTIMAL,41,0.0333211,0.070818,0.104139,70.26953
GEOM80a.col,80,612,79,31067,212299,OPTIMAL,63,0.0637445,6.39668,6.46042,97.10156
GEOM80b.col,80,663,98,40149,279203,OPTIMAL,60,0.092878,5.05584,5.14872,107.48438
GEOM90.col,90,441,54,22009,120830,OPTIMAL,46,0.036032,0.150007,0.186039,75.44922
GEOM90a.col,90,789,80,36809,263697,OPTIMAL,63,0.0852055,8.96528,9.05048,111.08594
GEOM90b.col,90,860,109,51584,385019,OPTIMAL,69,0.124792,58.2171,58.3419,133.33203
c21_1_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000686661,0.003688,0.00437466,45.33203
c21_1_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000686368,0.00305985,0.00374621,45.45703
c21_2_d1.col,21,105,11,462,3030,OPTIMAL,9,0.00129311,0.00262784,0.00392095,45.39453
c21_2_d2.col,21,105,11,462,3030,OPTIMAL,9,0.00129496,0.00256388,0.00385884,45.57812
c21_3_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000680536,0.00370758,0.00438812,45.39062
c21_3_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000678691,0.00289011,0.0035688,45.33203
c21_4_d1.col,21,105,11,462,3030,OPTIMAL,9,0.000851838,0.00171467,0.00256651,45.26953
c21_4_d2.col,21,105,11,462,3030,OPTIMAL,9,0.00126673,0.00244889,0.00371562,45.32812
c21_5_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000720362,0.00371994,0.00444031,46.19531
c21_5_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000684192,0.00367412,0.00435832,45.88281
c21_6_d1.col,21,105,11,462,3030,OPTIMAL,9,0.00128904,0.00258282,0.00387186,45.32812
c21_6_d2.col,21,105,11,462,3030,OPTIMAL,9,0.0014527,0.0017704,0.00322309,45.51953
c21_7_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000704489,0.00357824,0.00428272,45.57812
c21_7_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000697023,0.00360982,0.00430684,45.33203
c21_8_d1.col,21,105,11,462,3030,OPTIMAL,9,0.00126149,0.00195235,0.00321384,45.33203
c21_8_d2.col,21,105,11,462,3030,OPTIMAL,9,0.00135192,0.00167497,0.00302689,45.33203
c55_1_d1.col,55,362,8,825,4165,OPTIMAL,7,0.00202966,0.00617966,0.00820932,45.94531
c55_2_d2.col,55,362,8,825,4165,OPTIMAL,7,0.0019334,0.0041117,0.0060451,45.45703
