name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,26704,160514,OPTIMAL,50,0.0527812,0.914858,0.967639,90.42969
GEOM100a.col,100,992,91,42321,342744,OPTIMAL,66,0.108473,116.365,116.474,146.53516
GEOM100b.col,100,1050,121,56528,476984,OPTIMAL,71,0.150369,160.879,161.03,158.07422
GEOM110.col,110,638,64,29926,183908,OPTIMAL,50,0.0527234,1.07455,1.12728,97.04688
GEOM110a.col,110,1207,109,56739,489702,OPTIMAL,69,0.144696,244.113,244.258,190.49219
GEOM110b.col,110,1256,121,62695,553593,OPTIMAL,77,0.16819,1118.89,1119.06,209.96094
GEOM120.col,120,773,73,38279,246463,OPTIMAL,59,0.0742855,2.6299,2.70419,112.21094
GEOM120a.col,120,1434,109,62553,566249,OPTIMAL,82,0.172163,251.573,251.745,168.72266
GEOM120b.col,120,1491,123,69905,651981,SATISFIABLE,83,0.199884,3599.8,3600.0,279.76953
GEOM20.col,20,20,24,1223,4226,OPTIMAL,21,0.00153915,0.00109178,0.00263093,44.69922
GEOM20a.col,20,37,24,1373,5555,OPTIMAL,20,0.00192479,0.00134576,0.00327056,45.38672
GEOM20b.col,20,32,16,818,3008,OPTIMAL,13,0.00123076,0.00123527,0.00246604,45.68359
GEOM30.col,30,50,33,2895,11886,OPTIMAL,28,0.00379604,0.00447544,0.00827148,45.38281
GEOM30a.col,30,81,32,3080,14223,OPTIMAL,27,0.00556616,0.00641714,0.0119833,45.32422
GEOM30b.col,30,81,27,2693,11791,OPTIMAL,26,0.00545321,0.00240782,0.00786103,45.9375
GEOM40.col,40,78,33,3959,16757,OPTIMAL,28,0.00490787,0.00572132,0.0106292,45.32031
GEOM40a.col,40,146,50,7155,37785,OPTIMAL,37,0.010959,0.0258866,0.0368456,44.76172
GEOM40b.col,40,157,40,5876,30580,OPTIMAL,33,0.00831398,0.0161231,0.0244371,45.38672
GEOM50.col,50,127,36,5875,26645,OPTIMAL,28,0.00919812,0.00973633,0.0189344,45.32422
GEOM50a.col,50,238,61,11721,68714,OPTIMAL,50,0.0220751,0.511467,0.533542,68.8125
GEOM50b.col,50,249,54,10875,62046,OPTIMAL,35,0.0196536,0.0942382,0.113892,64.37109
GEOM60.col,60,185,36,7630,36124,OPTIMAL,33,0.0112093,0.00819277,0.0194021,45.32031
GEOM60a.col,60,339,61,14422,90697,OPTIMAL,50,0.0253342,0.617561,0.642895,72.36719
GEOM60b.col,60,366,63,16083,100277,OPTIMAL,41,0.0282526,0.678614,0.706866,73.70312
GEOM70.col,70,267,44,11546,60049,OPTIMAL,38,0.0188515,0.0434464,0.062298,46.0
GEOM70a.col,70,459,72,21364,141310,OPTIMAL,61,0.0407923,2.25258,2.29337,83.6875
GEOM70b.col,70,488,76,22753,154885,OPTIMAL,47,0.0477392,2.88117,2.92891,83.70312
GEOM80.col,80,349,54,16812,92625,OPTIMAL,41,0.0254331,0.0679213,0.0933544,45.32422
GEOM80a.col,80,612,79,27569,198307,OPTIMAL,63,0.0579631,6.1782,6.23616,97.41797
GEOM80b.col,80,663,98,35279,259723,OPTIMAL,60,0.0790556,5.174,5.25305,100.86328
GEOM90.col,90,441,54,19587,111142,OPTIMAL,46,0.0335626,0.145069,0.178631,75.08984
GEOM90a.col,90,789,80,32475,246361,OPTIMAL,63,0.0760417,8.85177,8.92782,105.67969
GEOM90b.col,90,860,109,45403,360295,OPTIMAL,69,0.111172,54.7756,54.8867,127.10547
c21_1_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000476105,0.00363289,0.00410899,45.57422
c21_1_d2.col,21,105,8,315,1327,OPTIMAL,7,0.00047592,0.00358471,0.00406063,46.0
c21_2_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00105222,0.0025395,0.00359172,45.07422
c21_2_d2.col,21,105,11,441,2946,OPTIMAL,9,0.0010417,0.00268432,0.00372601,45.93359
c21_3_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000469162,0.00317255,0.00364171,45.32031
c21_3_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000477821,0.00301773,0.00349555,45.57422
c21_4_d1.col,21,105,11,441,2946,OPTIMAL,9,0.001031,0.00222709,0.0032581,45.32422
c21_4_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00105128,0.00251793,0.00356921,45.32031
c21_5_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000490928,0.00312449,0.00361542,45.32422
c21_5_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000475972,0.00379612,0.0042721,45.8125
c21_6_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00104027,0.00184197,0.00288224,45.32031
c21_6_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00105299,0.00188429,0.00293728,45.32422
c21_7_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000479805,0.0035403,0.0040201,45.38281
c21_7_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000483288,0.00344695,0.00393024,45.44922
c21_8_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00111019,0.00179029,0.00290047,45.8125
c21_8_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00104036,0.00259554,0.00363589,45.38672
c55_1_d1.col,55,362,8,825,4165,OPTIMAL,7,0.00133445,0.00466282,0.00599727,45.32422
c55_2_d2.col,55,362,8,825,4165,OPTIMAL,7,0.000948198,0.00423636,0.00518456,45.875
