name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,22544,129055,OPTIMAL,50,0.706567,1.29397,2.00054,91.625
GEOM100a.col,100,992,91,33984,253905,OPTIMAL,66,2.49622,217.007,219.503,147.41016
GEOM100b.col,100,1050,121,37078,283770,OPTIMAL,71,6.31239,147.37,153.683,157.70703
GEOM110.col,110,638,64,25204,147474,OPTIMAL,50,0.810582,0.972601,1.78318,99.90234
GEOM110a.col,110,1207,109,39403,314041,OPTIMAL,69,5.46686,231.368,236.835,167.83594
GEOM110b.col,110,1256,121,44621,359353,OPTIMAL,77,6.79239,1002.4,1009.19,192.17188
GEOM120.col,120,773,73,33693,206250,OPTIMAL,59,1.11592,3.70387,4.81979,115.25391
GEOM120a.col,120,1434,109,53161,437617,OPTIMAL,82,4.66922,1002.87,1007.54,222.19531
GEOM120b.col,120,1491,123,53469,449109,OPTIMAL,83,7.66482,1653.91,1661.57,258.21484
GEOM20.col,20,20,24,1017,3351,OPTIMAL,21,0.00700051,0.00180157,0.00880208,45.42969
GEOM20a.col,20,37,24,1170,4498,OPTIMAL,20,0.0116091,0.00322229,0.0148314,45.55469
GEOM20b.col,20,32,16,644,2254,OPTIMAL,13,0.00404468,0.000872386,0.00491706,45.35938
GEOM30.col,30,50,33,2373,9378,OPTIMAL,28,0.0193994,0.00568989,0.0250893,45.72266
GEOM30a.col,30,81,32,2778,12243,OPTIMAL,27,0.0253632,0.00496585,0.0303291,45.42969
GEOM30b.col,30,81,27,2733,11807,OPTIMAL,26,0.0144051,0.00287181,0.0172769,45.42969
GEOM40.col,40,78,33,3408,13889,OPTIMAL,28,0.0289887,0.00670926,0.035698,45.35938
GEOM40a.col,40,146,50,5851,28652,OPTIMAL,37,0.135991,0.0507321,0.186723,58.98438
GEOM40b.col,40,157,40,5145,25578,OPTIMAL,33,0.071483,0.0290887,0.100572,58.17578
GEOM50.col,50,127,36,4665,20230,OPTIMAL,28,0.0635527,0.00924642,0.0727991,45.42969
GEOM50a.col,50,238,61,10655,58876,OPTIMAL,50,0.238741,0.739034,0.977774,70.80078
GEOM50b.col,50,249,54,7431,39806,OPTIMAL,35,0.313249,0.174079,0.487327,63.13672
GEOM60.col,60,185,36,7305,33993,OPTIMAL,33,0.0493444,0.0108706,0.0602149,45.67188
GEOM60a.col,60,339,61,13122,77322,OPTIMAL,50,0.319109,0.619065,0.938174,74.46484
GEOM60b.col,60,366,63,11139,65245,OPTIMAL,41,0.587178,1.021,1.60818,75.96875
GEOM70.col,70,267,44,10884,53820,OPTIMAL,38,0.138059,0.0517922,0.189851,65.80078
GEOM70a.col,70,459,72,19647,124330,OPTIMAL,61,0.515595,4.93037,5.44597,90.70312
GEOM70b.col,70,488,76,15612,96137,OPTIMAL,47,1.16053,4.1879,5.34843,88.89844
GEOM80.col,80,349,54,13626,71659,OPTIMAL,41,0.368461,0.0973595,0.46582,67.9375
GEOM80a.col,80,612,79,24385,162851,OPTIMAL,63,0.966112,10.0196,10.9857,104.01172
GEOM80b.col,80,663,98,23663,161029,OPTIMAL,60,2.61197,6.35482,8.96679,106.61328
GEOM90.col,90,441,54,18246,98528,OPTIMAL,46,0.31376,0.146444,0.460204,73.89844
GEOM90a.col,90,789,80,28388,199609,OPTIMAL,63,1.28976,11.8702,13.1599,113.10156
GEOM90b.col,90,860,109,31589,232114,OPTIMAL,69,3.96523,60.5732,64.5385,129.39062
c21_1_d1.col,21,105,8,231,945,OPTIMAL,7,0.00134909,0.00392729,0.00527638,44.55469
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.00146485,0.00389572,0.00536057,45.42969
c21_2_d1.col,21,105,11,357,2082,OPTIMAL,9,0.00391176,0.00394125,0.00785302,45.42969
c21_2_d2.col,21,105,11,357,2082,OPTIMAL,9,0.00268706,0.00290937,0.00559643,46.16016
c21_3_d1.col,21,105,8,231,945,OPTIMAL,7,0.0016707,0.00543154,0.00710223,45.42188
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.00108965,0.00403494,0.0051246,45.42969
c21_4_d1.col,21,105,11,357,2082,OPTIMAL,9,0.00267269,0.00291465,0.00558734,44.74219
c21_4_d2.col,21,105,11,357,2082,OPTIMAL,9,0.00392031,0.00401179,0.0079321,45.42188
c21_5_d1.col,21,105,8,231,945,OPTIMAL,7,0.00118099,0.00380068,0.00498167,45.55469
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.00141816,0.00548184,0.00690001,45.73047
c21_6_d1.col,21,105,11,357,2082,OPTIMAL,9,0.00390936,0.00397102,0.00788039,45.04688
c21_6_d2.col,21,105,11,357,2082,OPTIMAL,9,0.00296376,0.00294536,0.00590912,45.42969
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.00134115,0.00423535,0.0055765,45.71094
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.00163516,0.00545625,0.00709141,45.79297
c21_8_d1.col,21,105,11,357,2082,OPTIMAL,9,0.00396029,0.00420937,0.00816966,45.73047
c21_8_d2.col,21,105,11,357,2082,OPTIMAL,9,0.00387195,0.00395051,0.00782246,45.79297
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.00318817,0.00369219,0.00688037,44.24609
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.00498952,0.0051677,0.0101572,45.30469
