name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,19928,118591,OPTIMAL,50,0.623513,1.29519,1.91871,91.82812
GEOM100a.col,100,992,91,29867,237437,OPTIMAL,66,2.21128,186.937,189.149,135.62891
GEOM100b.col,100,1050,121,32442,265226,OPTIMAL,71,5.56252,149.003,154.565,150.05078
GEOM110.col,110,638,64,22315,135918,OPTIMAL,50,0.723987,0.963711,1.6877,96.96484
GEOM110a.col,110,1207,109,34553,294641,OPTIMAL,69,4.84102,244.051,248.892,162.69531
GEOM110b.col,110,1256,121,38935,336609,OPTIMAL,77,6.07866,904.255,910.334,194.13672
GEOM120.col,120,773,73,29731,190402,OPTIMAL,59,0.999465,4.4188,5.41826,110.76953
GEOM120a.col,120,1434,109,46614,411429,OPTIMAL,82,4.19222,745.478,749.67,199.68359
GEOM120b.col,120,1491,123,46827,422541,OPTIMAL,83,6.84241,1028.46,1035.3,220.82031
GEOM20.col,20,20,24,1017,3351,OPTIMAL,21,0.00526189,0.00120158,0.00646348,45.42969
GEOM20a.col,20,37,24,1082,4146,OPTIMAL,20,0.00731925,0.00250219,0.00982144,45.42969
GEOM20b.col,20,32,16,578,1990,OPTIMAL,13,0.00326634,0.000872803,0.00413915,45.36328
GEOM30.col,30,50,33,2333,9218,OPTIMAL,28,0.0213698,0.00589975,0.0272695,45.36328
GEOM30a.col,30,81,32,2464,10987,OPTIMAL,27,0.0276787,0.00503997,0.0327187,45.42969
GEOM30b.col,30,81,27,2459,10711,OPTIMAL,26,0.00890428,0.00201319,0.0109175,45.55469
GEOM40.col,40,78,33,3196,13041,OPTIMAL,28,0.0273588,0.00621675,0.0335755,45.36328
GEOM40a.col,40,146,50,5137,25796,OPTIMAL,37,0.120414,0.0477767,0.168191,58.40234
GEOM40b.col,40,157,40,4615,23458,OPTIMAL,33,0.063571,0.0256577,0.0892287,45.91797
GEOM50.col,50,127,36,4290,18730,OPTIMAL,28,0.0585932,0.00871175,0.067305,45.42969
GEOM50a.col,50,238,61,9337,53604,OPTIMAL,50,0.205669,0.848137,1.05381,70.26172
GEOM50b.col,50,249,54,6609,36518,OPTIMAL,35,0.272466,0.163241,0.435707,61.16016
GEOM60.col,60,185,36,6611,31217,OPTIMAL,33,0.0447397,0.0110831,0.0558228,45.42578
GEOM60a.col,60,339,61,11498,70826,OPTIMAL,50,0.28788,0.771747,1.05963,74.6875
GEOM60b.col,60,366,63,9827,59997,OPTIMAL,41,0.52727,0.43997,0.96724,72.0625
GEOM70.col,70,267,44,9765,49344,OPTIMAL,38,0.115473,0.0453704,0.160843,63.25
GEOM70a.col,70,459,72,17359,115178,OPTIMAL,61,0.453757,4.42218,4.87593,85.64062
GEOM70b.col,70,488,76,13812,88937,OPTIMAL,47,1.01306,3.45527,4.46834,86.75781
GEOM80.col,80,349,54,12106,65579,OPTIMAL,41,0.328482,0.0801956,0.408678,66.64453
GEOM80a.col,80,612,79,21611,151755,OPTIMAL,63,0.875018,8.58979,9.4648,99.71484
GEOM80b.col,80,663,98,20724,149273,OPTIMAL,60,2.25812,8.10373,10.3618,105.37109
GEOM90.col,90,441,54,16216,90408,OPTIMAL,46,0.281914,0.133198,0.415112,71.98438
GEOM90a.col,90,789,80,25004,186073,OPTIMAL,63,1.15584,10.3845,11.5404,109.86719
GEOM90b.col,90,860,109,27667,216426,OPTIMAL,69,3.51582,103.158,106.674,128.3125
c21_1_d1.col,21,105,8,231,945,OPTIMAL,7,0.000705355,0.00383588,0.00454123,45.36719
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.000865231,0.00384644,0.00471167,45.42969
c21_2_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00230798,0.00238948,0.00469747,45.36719
c21_2_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00238338,0.00287878,0.00526216,45.55078
c21_3_d1.col,21,105,8,231,945,OPTIMAL,7,0.00107833,0.00391154,0.00498987,45.42578
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.0007373,0.00381306,0.00455036,45.42969
c21_4_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00206429,0.00257044,0.00463473,45.36719
c21_4_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00251435,0.00256585,0.0050802,45.42578
c21_5_d1.col,21,105,8,231,945,OPTIMAL,7,0.000967558,0.00381379,0.00478134,45.55469
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.000716753,0.00389328,0.00461004,45.42969
c21_6_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00256905,0.00247888,0.00504794,45.36328
c21_6_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00206059,0.00274112,0.0048017,45.85547
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.00108539,0.00418023,0.00526562,45.47266
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.00103608,0.00404205,0.00507812,45.42969
c21_8_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00298939,0.0036923,0.00668169,45.36719
c21_8_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00251532,0.00256545,0.00508077,45.42969
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.00250445,0.0036914,0.00619585,45.36719
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.00239208,0.00353096,0.00592304,45.42969
