name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,19928,118591,OPTIMAL,50,0.315543,1.10609,1.42163,76.78125
GEOM100a.col,100,992,91,29867,237437,OPTIMAL,66,1.20669,118.662,119.869,105.80859
GEOM100b.col,100,1050,121,32442,265226,OPTIMAL,71,3.12239,151.319,154.441,112.15625
GEOM110.col,110,638,64,22315,135918,OPTIMAL,50,0.364173,1.38624,1.75042,79.21484
GEOM110a.col,110,1207,109,34553,294641,OPTIMAL,69,2.62493,155.406,158.031,117.74219
GEOM110b.col,110,1256,121,38935,336609,OPTIMAL,77,3.31807,1216.37,1219.69,141.69922
GEOM120.col,120,773,73,29731,190402,OPTIMAL,59,0.497494,4.01267,4.51016,88.18359
GEOM120a.col,120,1434,109,46614,411429,OPTIMAL,82,2.3215,2012.59,2014.91,152.17969
GEOM120b.col,120,1491,123,46827,422541,SATISFIABLE,83,3.71949,3595.56,3599.28,175.33984
GEOM20.col,20,20,24,1017,3351,OPTIMAL,21,0.00301512,0.0183852,0.0214003,45.39062
GEOM20a.col,20,37,24,1082,4146,OPTIMAL,20,0.00591493,0.0235393,0.0294542,45.94141
GEOM20b.col,20,32,16,578,1990,OPTIMAL,13,0.00181806,0.0159122,0.0177302,45.35938
GEOM30.col,30,50,33,2333,9218,OPTIMAL,28,0.0091922,0.0362064,0.0453986,45.35938
GEOM30a.col,30,81,32,2464,10987,OPTIMAL,27,0.0128584,0.0442956,0.057154,45.87891
GEOM30b.col,30,81,27,2459,10711,OPTIMAL,26,0.00472577,0.0159978,0.0207235,45.81641
GEOM40.col,40,78,33,3196,13041,OPTIMAL,28,0.0148708,0.0440152,0.058886,45.35938
GEOM40a.col,40,146,50,5137,25796,OPTIMAL,37,0.0595743,0.170368,0.229942,62.79688
GEOM40b.col,40,157,40,4615,23458,OPTIMAL,33,0.0318392,0.0910508,0.12289,61.85938
GEOM50.col,50,127,36,4290,18730,OPTIMAL,28,0.031377,0.0796392,0.111016,53.73047
GEOM50a.col,50,238,61,9337,53604,OPTIMAL,50,0.103517,0.902233,1.00575,67.57031
GEOM50b.col,50,249,54,6609,36518,OPTIMAL,35,0.139516,0.409589,0.549105,65.14844
GEOM60.col,60,185,36,6611,31217,OPTIMAL,33,0.0229683,0.049146,0.0721143,45.35938
GEOM60a.col,60,339,61,11498,70826,OPTIMAL,50,0.140819,0.807048,0.947867,70.37891
GEOM60b.col,60,366,63,9827,59997,OPTIMAL,41,0.259576,1.45359,1.71317,70.625
GEOM70.col,70,267,44,9765,49344,OPTIMAL,38,0.0595003,0.12662,0.186121,63.92188
GEOM70a.col,70,459,72,17359,115178,OPTIMAL,61,0.233718,5.54171,5.77543,78.83594
GEOM70b.col,70,488,76,13812,88937,OPTIMAL,47,0.552803,4.05916,4.61196,76.48047
GEOM80.col,80,349,54,12106,65579,OPTIMAL,41,0.176351,0.331864,0.508215,57.93359
GEOM80a.col,80,612,79,21611,151755,OPTIMAL,63,0.474789,11.6717,12.1465,84.05078
GEOM80b.col,80,663,98,20724,149273,OPTIMAL,60,1.27635,8.94705,10.2234,87.37891
GEOM90.col,90,441,54,16216,90408,OPTIMAL,46,0.1422,0.420611,0.562812,70.71484
GEOM90a.col,90,789,80,25004,186073,OPTIMAL,63,0.584103,14.9527,15.5369,90.34766
GEOM90b.col,90,860,109,27667,216426,OPTIMAL,69,1.95703,102.187,104.144,102.13281
c21_1_d1.col,21,105,8,231,945,OPTIMAL,7,0.000464896,0.0168885,0.0173534,45.78906
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.000465668,0.0165247,0.0169904,45.45312
c21_2_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00101021,0.0142061,0.0152163,45.39062
c21_2_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00152325,0.014202,0.0157252,45.35938
c21_3_d1.col,21,105,8,231,945,OPTIMAL,7,0.00034236,0.0163519,0.0166942,45.35938
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.00047291,0.0175503,0.0180232,45.39062
c21_4_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00127294,0.0420009,0.0432739,45.20312
c21_4_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00100529,0.0137215,0.0147268,45.35938
c21_5_d1.col,21,105,8,231,945,OPTIMAL,7,0.000446111,0.0161487,0.0165949,45.9375
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.000473426,0.0161296,0.016603,45.45312
c21_6_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00142443,0.0143957,0.0158201,45.29688
c21_6_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00116511,0.0147808,0.0159459,45.39062
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.000484762,0.0149784,0.0154631,45.48438
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.000479258,0.016254,0.0167333,45.39062
c21_8_d1.col,21,105,11,315,1914,OPTIMAL,9,0.0014954,0.0132978,0.0147932,45.39062
c21_8_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00148736,0.0134362,0.0149235,45.45312
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.00143491,0.0196496,0.0210845,45.45312
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.00141179,0.0191752,0.020587,46.00391
