name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,34070,190465,OPTIMAL,50,0.0524523,0.798291,0.850744,94.36719
GEOM100a.col,100,992,91,68166,446986,OPTIMAL,66,0.116366,177.951,178.067,170.16797
GEOM100b.col,100,1050,121,93126,624558,OPTIMAL,71,0.167491,131.05,131.218,177.54688
GEOM110.col,110,638,64,39082,220978,OPTIMAL,50,0.0627943,0.814341,0.877135,103.29297
GEOM110a.col,110,1207,109,96198,648146,OPTIMAL,69,0.173821,449.493,449.666,253.12109
GEOM110b.col,110,1256,121,108034,736420,OPTIMAL,77,0.194214,888.341,888.535,208.27344
GEOM120.col,120,773,73,51476,299724,OPTIMAL,59,0.0813988,3.00138,3.08278,120.13281
GEOM120a.col,120,1434,109,111542,762844,OPTIMAL,82,0.200942,548.419,548.62,237.34375
GEOM120b.col,120,1491,123,126806,881318,SATISFIABLE,83,0.228153,3599.77,3600.0,321.08203
GEOM20.col,20,20,24,1360,4607,OPTIMAL,21,0.00199149,0.00186881,0.0038603,45.41406
GEOM20a.col,20,37,24,1559,6174,OPTIMAL,20,0.00225318,0.00284304,0.00509623,45.83984
GEOM20b.col,20,32,16,938,3437,OPTIMAL,13,0.00123956,0.000711698,0.00195126,45.22266
GEOM30.col,30,50,33,3296,13147,OPTIMAL,28,0.00504579,0.00822738,0.0132732,45.41016
GEOM30a.col,30,81,32,3450,15709,OPTIMAL,27,0.00429173,0.00385511,0.00814684,45.77734
GEOM30b.col,30,81,27,3206,13661,OPTIMAL,26,0.0049639,0.00315402,0.00811792,45.77734
GEOM40.col,40,78,33,4544,18715,OPTIMAL,28,0.00703021,0.00966102,0.0166912,45.71094
GEOM40a.col,40,146,50,8226,42104,OPTIMAL,37,0.0154358,0.0299634,0.0453992,45.35156
GEOM40b.col,40,157,40,7328,36355,OPTIMAL,33,0.0102044,0.0211942,0.0313986,45.66406
GEOM50.col,50,127,36,6960,30568,OPTIMAL,28,0.00901375,0.0110927,0.0201065,45.53906
GEOM50a.col,50,238,61,14144,78765,OPTIMAL,50,0.019914,0.48745,0.507364,69.32812
GEOM50b.col,50,249,54,14602,76962,OPTIMAL,35,0.0191457,0.31935,0.338496,68.03516
GEOM60.col,60,185,36,8972,41232,OPTIMAL,33,0.0157236,0.0111015,0.0268251,45.41016
GEOM60a.col,60,339,61,18410,107245,OPTIMAL,50,0.0260226,0.604176,0.630199,76.18359
GEOM60b.col,60,366,63,22110,124663,OPTIMAL,41,0.0318171,0.74814,0.779957,77.29688
GEOM70.col,70,267,44,13738,68695,OPTIMAL,38,0.0219359,0.0520917,0.0740276,45.71484
GEOM70a.col,70,459,72,28954,172134,OPTIMAL,61,0.0426967,3.97519,4.01789,91.68359
GEOM70b.col,70,488,76,32072,192595,OPTIMAL,47,0.0481188,3.04117,3.08929,90.51172
GEOM80.col,80,349,54,21060,109488,OPTIMAL,41,0.0279979,0.095469,0.123467,71.19922
GEOM80a.col,80,612,79,39498,246687,OPTIMAL,63,0.063941,6.87971,6.94365,105.25391
GEOM80b.col,80,663,98,52800,330462,OPTIMAL,60,0.0885401,5.92291,6.01145,116.87891
GEOM90.col,90,441,54,25146,133420,OPTIMAL,46,0.0344327,0.165686,0.200119,74.44922
GEOM90a.col,90,789,80,50248,318296,OPTIMAL,63,0.0830638,9.52338,9.60644,124.35938
GEOM90b.col,90,860,109,71414,465198,OPTIMAL,69,0.120421,54.3784,54.4988,145.48047
c21_1_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000471222,0.0044777,0.00494893,45.83984
c21_1_d2.col,21,105,8,315,1323,OPTIMAL,7,0.00032103,0.00402376,0.00434479,45.60156
c21_2_d1.col,21,105,11,441,2940,OPTIMAL,9,0.00101067,0.00232587,0.00333654,45.47656
c21_2_d2.col,21,105,11,441,2940,OPTIMAL,9,0.001018,0.00249151,0.00350951,45.34766
c21_3_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000461535,0.0040389,0.00450044,45.77344
c21_3_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000453704,0.00574294,0.00619664,45.83984
c21_4_d1.col,21,105,11,441,2940,OPTIMAL,9,0.000995798,0.00296367,0.00395947,45.71484
c21_4_d2.col,21,105,11,441,2940,OPTIMAL,9,0.00102648,0.00222627,0.00325275,45.83594
c21_5_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000472313,0.00407299,0.00454531,45.71484
c21_5_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000465404,0.00458995,0.00505536,45.77734
c21_6_d1.col,21,105,11,441,2940,OPTIMAL,9,0.00104282,0.00251985,0.00356267,45.34766
c21_6_d2.col,21,105,11,441,2940,OPTIMAL,9,0.00102409,0.00299515,0.00401924,45.35156
c21_7_d1.col,21,105,8,315,1323,OPTIMAL,7,0.00046768,0.00465242,0.0051201,45.82422
c21_7_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000465303,0.00464468,0.00510999,45.35156
c21_8_d1.col,21,105,11,441,2940,OPTIMAL,9,0.000724132,0.00205164,0.00277577,45.41406
c21_8_d2.col,21,105,11,441,2940,OPTIMAL,9,0.00104642,0.00251143,0.00355784,45.35156
c55_1_d1.col,55,362,8,825,4161,OPTIMAL,7,0.00130255,0.00424287,0.00554542,45.35156
c55_2_d2.col,55,362,8,825,4161,OPTIMAL,7,0.00128223,0.00613361,0.00741584,45.41406
