name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,34070,190497,OPTIMAL,50,0.0492836,0.795388,0.844671,95.26953
GEOM100a.col,100,992,91,68166,447032,OPTIMAL,66,0.116597,175.53,175.646,154.13672
GEOM100b.col,100,1050,121,93126,624619,OPTIMAL,71,0.167311,205.469,205.636,172.75781
GEOM110.col,110,638,64,39082,221010,OPTIMAL,50,0.0570795,0.953074,1.01015,98.62109
GEOM110a.col,110,1207,109,96198,648201,OPTIMAL,69,0.170903,212.328,212.499,190.73438
GEOM110b.col,110,1256,121,108034,736481,OPTIMAL,77,0.198835,816.145,816.343,210.57031
GEOM120.col,120,773,73,51476,299761,OPTIMAL,59,0.0767206,2.80473,2.88145,120.90234
GEOM120a.col,120,1434,109,111542,762899,OPTIMAL,82,0.205594,909.184,909.389,241.34375
GEOM120b.col,120,1491,123,126806,881380,OPTIMAL,83,0.228936,1697.44,1697.67,249.08984
GEOM20.col,20,20,24,1360,4619,OPTIMAL,21,0.00194512,0.00186274,0.00380786,46.00781
GEOM20a.col,20,37,24,1559,6186,OPTIMAL,20,0.00215834,0.00277787,0.00493621,45.88281
GEOM20b.col,20,32,16,938,3445,OPTIMAL,13,0.00129197,0.00146021,0.00275219,45.68359
GEOM30.col,30,50,33,3296,13164,OPTIMAL,28,0.00383467,0.00494237,0.00877704,45.80859
GEOM30a.col,30,81,32,3450,15725,OPTIMAL,27,0.00551852,0.00547546,0.010994,45.69531
GEOM30b.col,30,81,27,3206,13675,OPTIMAL,26,0.00340126,0.00194276,0.00534402,45.51953
GEOM40.col,40,78,33,4544,18732,OPTIMAL,28,0.0073756,0.00899477,0.0163704,45.87109
GEOM40a.col,40,146,50,8226,42129,OPTIMAL,37,0.0122165,0.0294591,0.0416756,45.94531
GEOM40b.col,40,157,40,7328,36375,OPTIMAL,33,0.00915586,0.01616,0.0253159,45.94531
GEOM50.col,50,127,36,6960,30586,OPTIMAL,28,0.0114683,0.0159569,0.0274252,45.75781
GEOM50a.col,50,238,61,14144,78796,OPTIMAL,50,0.0279308,0.44414,0.472071,70.62109
GEOM50b.col,50,249,54,14602,76989,OPTIMAL,35,0.0201636,0.152307,0.17247,64.64844
GEOM60.col,60,185,36,8972,41250,OPTIMAL,33,0.0136264,0.00959536,0.0232217,45.74609
GEOM60a.col,60,339,61,18410,107276,OPTIMAL,50,0.0275823,0.611001,0.638583,75.94922
GEOM60b.col,60,366,63,22110,124695,OPTIMAL,41,0.0321549,0.940434,0.972589,76.64844
GEOM70.col,70,267,44,13738,68717,OPTIMAL,38,0.0249859,0.043901,0.0688868,45.14453
GEOM70a.col,70,459,72,28954,172170,OPTIMAL,61,0.0471457,2.6217,2.66885,90.87891
GEOM70b.col,70,488,76,32072,192633,OPTIMAL,47,0.0494436,3.14896,3.19841,91.84766
GEOM80.col,80,349,54,21060,109515,OPTIMAL,41,0.0304004,0.086284,0.116684,70.75781
GEOM80a.col,80,612,79,39498,246727,OPTIMAL,63,0.0644698,5.93124,5.99571,103.59375
GEOM80b.col,80,663,98,52800,330511,OPTIMAL,60,0.0885753,6.28444,6.37302,114.3125
GEOM90.col,90,441,54,25146,133447,OPTIMAL,46,0.0359543,0.172541,0.208495,76.29297
GEOM90a.col,90,789,80,50248,318336,OPTIMAL,63,0.0835219,8.50516,8.58868,120.45312
GEOM90b.col,90,860,109,71414,465253,OPTIMAL,69,0.126057,55.134,55.26,140.10938
c21_1_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000468356,0.00243631,0.00290467,45.38672
c21_1_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000472019,0.00330409,0.0037761,45.51953
c21_2_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00113782,0.00230363,0.00344145,45.94531
c21_2_d2.col,21,105,11,441,2946,OPTIMAL,9,0.0010409,0.00277057,0.00381147,45.87109
c21_3_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000302625,0.00277068,0.00307331,45.74609
c21_3_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000512749,0.00380056,0.00431331,45.94531
c21_4_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00110926,0.00266363,0.00377289,45.75781
c21_4_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00104974,0.00282991,0.00387965,45.87109
c21_5_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000315393,0.00238951,0.0027049,45.94531
c21_5_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000570723,0.00240995,0.00298068,45.39453
c21_6_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00101632,0.001837,0.00285332,45.32031
c21_6_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00103218,0.00251757,0.00354975,45.39453
c21_7_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000480424,0.00369722,0.00417764,45.99609
c21_7_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000469949,0.00362131,0.00409126,45.33203
c21_8_d1.col,21,105,11,441,2946,OPTIMAL,9,0.0010302,0.00218578,0.00321597,45.88281
c21_8_d2.col,21,105,11,441,2946,OPTIMAL,9,0.000713582,0.00167167,0.00238526,45.75781
c55_1_d1.col,55,362,8,825,4165,OPTIMAL,7,0.00129422,0.00594451,0.00723873,45.94531
c55_2_d2.col,55,362,8,825,4165,OPTIMAL,7,0.000929516,0.00431376,0.00524328,46.00781
