name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,29634,158057,OPTIMAL,50,0.292595,1.57773,1.87032,81.22656
GEOM100a.col,100,992,91,57578,349344,OPTIMAL,66,1.14657,137.147,138.293,113.0625
GEOM100b.col,100,1050,121,67192,404875,OPTIMAL,71,3.21285,178.862,182.075,126.30469
GEOM110.col,110,638,64,33760,182314,OPTIMAL,50,0.34028,1.7911,2.13138,84.76172
GEOM110a.col,110,1207,109,70730,439858,OPTIMAL,69,2.63158,154.735,157.366,131.30078
GEOM110b.col,110,1256,121,84304,518845,OPTIMAL,77,3.47954,1197.03,1200.51,150.46484
GEOM120.col,120,773,73,46936,260024,OPTIMAL,59,0.481739,4.7217,5.20344,94.51172
GEOM120a.col,120,1434,109,101264,630475,OPTIMAL,82,2.33259,2153.07,2155.4,169.71094
GEOM120b.col,120,1491,123,105880,659575,SATISFIABLE,83,3.92041,3595.74,3599.66,191.19531
GEOM20.col,20,20,24,1152,3733,OPTIMAL,21,0.0027098,0.0182192,0.020929,45.375
GEOM20a.col,20,37,24,1369,5112,OPTIMAL,20,0.0041103,0.0252082,0.0293185,45.375
GEOM20b.col,20,32,16,784,2768,OPTIMAL,13,0.00184079,0.0168471,0.0186879,45.85547
GEOM30.col,30,50,33,2756,10564,OPTIMAL,28,0.0085919,0.0395724,0.0481643,45.36719
GEOM30a.col,30,81,32,3202,13889,OPTIMAL,27,0.0117177,0.0512333,0.062951,45.0625
GEOM30b.col,30,81,27,3326,14096,OPTIMAL,26,0.00582148,0.0208066,0.0266281,45.3125
GEOM40.col,40,78,33,3989,15781,OPTIMAL,28,0.0166134,0.0520532,0.0686666,45.42969
GEOM40a.col,40,146,50,7076,33504,OPTIMAL,37,0.0610372,0.199165,0.260202,62.96875
GEOM40b.col,40,157,40,6660,31642,OPTIMAL,33,0.0353933,0.114192,0.149585,54.23828
GEOM50.col,50,127,36,5641,23747,OPTIMAL,28,0.0296982,0.0869303,0.116628,62.01172
GEOM50a.col,50,238,61,13138,69245,OPTIMAL,50,0.10225,0.891089,0.993339,68.61719
GEOM50b.col,50,249,54,10258,51202,OPTIMAL,35,0.136346,0.480328,0.616674,67.77734
GEOM60.col,60,185,36,8488,38688,OPTIMAL,33,0.0203295,0.0564105,0.07674,46.10547
GEOM60a.col,60,339,61,17506,95565,OPTIMAL,50,0.140488,1.13673,1.27721,72.44922
GEOM60b.col,60,366,63,15906,84661,OPTIMAL,41,0.257327,1.69956,1.95689,72.80859
GEOM70.col,70,267,44,13054,62331,OPTIMAL,38,0.0573725,0.162058,0.219431,66.36719
GEOM70a.col,70,459,72,27650,156881,OPTIMAL,61,0.226975,6.09167,6.31864,80.13672
GEOM70b.col,70,488,76,23752,128943,OPTIMAL,47,0.523042,4.41481,4.93786,79.86719
GEOM80.col,80,349,54,16930,85035,OPTIMAL,41,0.151391,0.384595,0.535985,66.9375
GEOM80a.col,80,612,79,36870,213431,OPTIMAL,63,0.434051,13.379,13.8131,88.88672
GEOM80b.col,80,663,98,38354,220496,OPTIMAL,60,1.20429,12.9242,14.1284,94.71875
GEOM90.col,90,441,54,24358,122900,OPTIMAL,46,0.133977,0.483371,0.617348,74.52734
GEOM90a.col,90,789,80,46412,272502,OPTIMAL,63,0.588803,16.532,17.1208,94.60156
GEOM90b.col,90,860,109,54272,323651,OPTIMAL,69,1.92199,71.155,73.077,110.88672
c21_1_d1.col,21,105,8,231,945,OPTIMAL,7,0.00105101,0.0137437,0.0147947,45.92188
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.000677713,0.0165463,0.017224,45.375
c21_2_d1.col,21,105,11,555,2874,OPTIMAL,9,0.00224793,0.0169985,0.0192464,45.375
c21_2_d2.col,21,105,11,555,2874,OPTIMAL,9,0.00173711,0.0161495,0.0178866,45.36719
c21_3_d1.col,21,105,8,231,945,OPTIMAL,7,0.00109344,0.016336,0.0174295,45.36719
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.000942941,0.0176455,0.0185885,45.375
c21_4_d1.col,21,105,11,555,2874,OPTIMAL,9,0.00223667,0.0170258,0.0192625,45.86328
c21_4_d2.col,21,105,11,555,2874,OPTIMAL,9,0.00229774,0.0175291,0.0198268,45.36719
c21_5_d1.col,21,105,8,231,945,OPTIMAL,7,0.00107502,0.0160923,0.0171673,45.37109
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.00104467,0.0141344,0.0151791,45.73828
c21_6_d1.col,21,105,11,555,2874,OPTIMAL,9,0.00223612,0.0166336,0.0188697,45.36719
c21_6_d2.col,21,105,11,555,2874,OPTIMAL,9,0.00223805,0.0462432,0.0484812,45.86328
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.000937465,0.0169579,0.0178954,45.79297
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.00104833,0.0158272,0.0168755,45.86328
c21_8_d1.col,21,105,11,555,2874,OPTIMAL,9,0.00207396,0.0167902,0.0188641,45.3125
c21_8_d2.col,21,105,11,555,2874,OPTIMAL,9,0.00224737,0.0171053,0.0193527,45.1875
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.00242383,0.0196668,0.0220906,45.3125
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.00338181,0.0192987,0.0226805,45.375
