name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,25344,140897,OPTIMAL,50,0.574124,0.887049,1.46117,92.98047
GEOM100a.col,100,992,91,48194,311808,OPTIMAL,66,2.21091,110.206,112.417,152.27734
GEOM100b.col,100,1050,121,54312,353355,OPTIMAL,71,5.62611,152.545,158.171,169.4375
GEOM110.col,110,638,64,29080,163594,OPTIMAL,50,0.676169,0.913539,1.58971,99.53906
GEOM110a.col,110,1207,109,58850,392338,OPTIMAL,69,4.82736,303.05,307.877,200.44531
GEOM110b.col,110,1256,121,67504,451645,OPTIMAL,77,6.03235,848.188,854.221,229.88672
GEOM120.col,120,773,73,39944,232056,OPTIMAL,59,0.947283,4.78097,5.72825,125.22656
GEOM120a.col,120,1434,109,85144,565995,OPTIMAL,82,4.26921,746.781,751.05,246.70703
GEOM120b.col,120,1491,123,85400,577655,OPTIMAL,83,6.81031,864.469,871.279,259.82031
GEOM20.col,20,20,24,1152,3733,OPTIMAL,21,0.00512456,0.00138395,0.00650851,45.49219
GEOM20a.col,20,37,24,1279,4752,OPTIMAL,20,0.00904066,0.00243373,0.0114744,45.36719
GEOM20b.col,20,32,16,664,2288,OPTIMAL,13,0.00338498,0.00082458,0.00420956,45.91797
GEOM30.col,30,50,33,2710,10380,OPTIMAL,28,0.0221312,0.00650684,0.028638,45.49219
GEOM30a.col,30,81,32,2806,12305,OPTIMAL,27,0.0207279,0.00633048,0.0270583,45.91797
GEOM30b.col,30,81,27,2864,12248,OPTIMAL,26,0.00828331,0.0019597,0.010243,45.36719
GEOM40.col,40,78,33,3759,14861,OPTIMAL,28,0.0272384,0.00696614,0.0342046,45.42969
GEOM40a.col,40,146,50,6056,29424,OPTIMAL,37,0.110332,0.0286293,0.138962,58.61328
GEOM40b.col,40,157,40,5776,28106,OPTIMAL,33,0.0600409,0.0321586,0.0921995,47.79297
GEOM50.col,50,127,36,5135,21723,OPTIMAL,28,0.0616829,0.0113581,0.0730409,45.36719
GEOM50a.col,50,238,61,11188,61445,OPTIMAL,50,0.189484,0.583498,0.772983,71.52344
GEOM50b.col,50,249,54,8802,45378,OPTIMAL,35,0.263329,0.166288,0.429617,64.04297
GEOM60.col,60,185,36,7604,35152,OPTIMAL,33,0.0423949,0.0126508,0.0550457,45.42969
GEOM60a.col,60,339,61,14542,83709,OPTIMAL,50,0.266534,1.08034,1.34687,77.64844
GEOM60b.col,60,366,63,13282,74165,OPTIMAL,41,0.502078,1.5032,2.00528,76.17969
GEOM70.col,70,267,44,11604,56531,OPTIMAL,38,0.109288,0.0478646,0.157153,63.05469
GEOM70a.col,70,459,72,23234,139217,OPTIMAL,61,0.424913,5.40678,5.83169,94.91016
GEOM70b.col,70,488,76,19720,112815,OPTIMAL,47,1.00183,3.79014,4.79197,88.65625
GEOM80.col,80,349,54,14882,76843,OPTIMAL,41,0.299779,0.0796063,0.379385,70.5
GEOM80a.col,80,612,79,31370,191431,OPTIMAL,63,0.844575,9.09462,9.9392,110.1875
GEOM80b.col,80,663,98,30928,190792,OPTIMAL,60,2.2488,8.32445,10.5733,114.46094
GEOM90.col,90,441,54,20954,109284,OPTIMAL,46,0.265573,0.198538,0.464111,73.82812
GEOM90a.col,90,789,80,39012,242902,OPTIMAL,63,1.14522,12.1948,13.34,128.25391
GEOM90b.col,90,860,109,43688,281315,OPTIMAL,69,3.38539,56.7058,60.0912,138.61328
c21_1_d1.col,21,105,8,231,945,OPTIMAL,7,0.000987957,0.00382127,0.00480922,45.91797
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.0010655,0.00405249,0.00511799,45.36719
c21_2_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00233598,0.00317508,0.00551105,45.91797
c21_2_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00301879,0.00377427,0.00679306,45.85156
c21_3_d1.col,21,105,8,231,945,OPTIMAL,7,0.00107477,0.00549887,0.00657364,45.42969
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.00106171,0.00397696,0.00503868,45.91797
c21_4_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00302172,0.00388665,0.00690837,45.79297
c21_4_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00299985,0.00399915,0.006999,45.24219
c21_5_d1.col,21,105,8,231,945,OPTIMAL,7,0.00105764,0.00382747,0.00488511,45.91797
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.00105304,0.00539409,0.00644712,45.85547
c21_6_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00198276,0.00255907,0.00454183,45.36719
c21_6_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00298292,0.00375106,0.00673398,45.42969
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.00106135,0.00532247,0.00638381,45.42578
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.00103231,0.00551536,0.00654767,45.42969
c21_8_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00236157,0.00247818,0.00483975,45.36719
c21_8_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00232188,0.00296263,0.00528451,45.36719
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.00311736,0.00523888,0.00835624,45.85547
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.0030625,0.00544283,0.00850533,45.42969
