name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,25344,140897,OPTIMAL,50,0.271542,1.49221,1.76375,79.21484
GEOM100a.col,100,992,91,48194,311808,OPTIMAL,66,1.04275,148.325,149.368,111.88672
GEOM100b.col,100,1050,121,54312,353355,OPTIMAL,71,2.85423,259.416,262.27,120.59375
GEOM110.col,110,638,64,29080,163594,OPTIMAL,50,0.316701,1.77032,2.08702,82.12109
GEOM110a.col,110,1207,109,58850,392338,OPTIMAL,69,2.42932,306.526,308.955,133.46094
GEOM110b.col,110,1256,121,67504,451645,OPTIMAL,77,3.10509,1166.64,1169.74,145.20312
GEOM120.col,120,773,73,39944,232056,OPTIMAL,59,0.446014,3.98536,4.43138,91.61719
GEOM120a.col,120,1434,109,85144,565995,OPTIMAL,82,2.24144,1968.35,1970.59,165.36719
GEOM120b.col,120,1491,123,85400,577655,SATISFIABLE,83,3.70645,3596.25,3599.96,178.95703
GEOM20.col,20,20,24,1152,3733,OPTIMAL,21,0.00286187,0.0187845,0.0216463,45.95703
GEOM20a.col,20,37,24,1279,4752,OPTIMAL,20,0.00356071,0.0247289,0.0282896,45.21875
GEOM20b.col,20,32,16,664,2288,OPTIMAL,13,0.00195243,0.0163312,0.0182836,45.94922
GEOM30.col,30,50,33,2710,10380,OPTIMAL,28,0.00820069,0.0386659,0.0468666,45.21094
GEOM30a.col,30,81,32,2806,12305,OPTIMAL,27,0.0112995,0.0505373,0.0618367,46.26953
GEOM30b.col,30,81,27,2864,12248,OPTIMAL,26,0.00464168,0.0172136,0.0218552,45.40625
GEOM40.col,40,78,33,3759,14861,OPTIMAL,28,0.0150105,0.0471378,0.0621483,45.46094
GEOM40a.col,40,146,50,6056,29424,OPTIMAL,37,0.0523152,0.176575,0.22889,62.80078
GEOM40b.col,40,157,40,5776,28106,OPTIMAL,33,0.0304433,0.109331,0.139774,62.23828
GEOM50.col,50,127,36,5135,21723,OPTIMAL,28,0.028955,0.0885956,0.117551,53.67969
GEOM50a.col,50,238,61,11188,61445,OPTIMAL,50,0.0960566,0.90986,1.00592,67.64844
GEOM50b.col,50,249,54,8802,45378,OPTIMAL,35,0.134354,0.467038,0.601391,65.55859
GEOM60.col,60,185,36,7604,35152,OPTIMAL,33,0.0216889,0.0529606,0.0746495,45.88672
GEOM60a.col,60,339,61,14542,83709,OPTIMAL,50,0.12703,1.09431,1.22134,71.24219
GEOM60b.col,60,366,63,13282,74165,OPTIMAL,41,0.236631,1.23792,1.47455,70.90625
GEOM70.col,70,267,44,11604,56531,OPTIMAL,38,0.0533863,0.144785,0.198171,55.95703
GEOM70a.col,70,459,72,23234,139217,OPTIMAL,61,0.205308,4.82747,5.03277,79.4375
GEOM70b.col,70,488,76,19720,112815,OPTIMAL,47,0.533339,4.97302,5.50636,77.64844
GEOM80.col,80,349,54,14882,76843,OPTIMAL,41,0.137802,0.394464,0.532266,58.33203
GEOM80a.col,80,612,79,31370,191431,OPTIMAL,63,0.413001,14.4902,14.9032,86.34766
GEOM80b.col,80,663,98,30928,190792,OPTIMAL,60,1.11089,8.9637,10.0746,90.41016
GEOM90.col,90,441,54,20954,109284,OPTIMAL,46,0.129021,0.437231,0.566251,72.67188
GEOM90a.col,90,789,80,39012,242902,OPTIMAL,63,0.537321,15.2886,15.8259,93.63672
GEOM90b.col,90,860,109,43688,281315,OPTIMAL,69,1.72569,73.0431,74.7688,105.58203
c21_1_d1.col,21,105,8,231,945,OPTIMAL,7,0.000330421,0.01578,0.0161104,46.01562
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.000473802,0.0146031,0.0150769,45.46875
c21_2_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00146175,0.0142858,0.0157476,45.83203
c21_2_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00146925,0.0131487,0.014618,45.88672
c21_3_d1.col,21,105,8,231,945,OPTIMAL,7,0.000342346,0.0165056,0.016848,45.82422
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.000475339,0.0160011,0.0164764,45.40625
c21_4_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00150804,0.013281,0.014789,45.40625
c21_4_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00149398,0.0138253,0.0153193,45.52344
c21_5_d1.col,21,105,8,231,945,OPTIMAL,7,0.000490042,0.0143127,0.0148027,45.40234
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.000534518,0.0174088,0.0179433,45.40625
c21_6_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00169851,0.0137838,0.0154823,46.01172
c21_6_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00150507,0.0141956,0.0157007,45.46875
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.000484878,0.0149573,0.0154422,45.875
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.000487674,0.0167099,0.0171976,45.53125
c21_8_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00145971,0.0142496,0.0157093,45.40625
c21_8_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00153928,0.0128352,0.0143745,45.95703
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.000956299,0.0183165,0.0192728,45.95703
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.000963547,0.0190529,0.0200164,45.89453
