name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,29634,158082,OPTIMAL,50,0.305758,1.63758,1.94334,80.92188
GEOM100a.col,100,992,91,57578,349377,OPTIMAL,66,1.15519,151.452,152.607,115.26562
GEOM100b.col,100,1050,121,67192,404910,OPTIMAL,71,3.21524,210.769,213.984,125.13672
GEOM110.col,110,638,64,33760,182339,OPTIMAL,50,0.352595,1.77219,2.12478,85.29688
GEOM110a.col,110,1207,109,70730,439892,OPTIMAL,69,2.72914,275.132,277.861,134.25391
GEOM110b.col,110,1256,121,84304,518883,OPTIMAL,77,3.67193,1540.69,1544.37,152.17969
GEOM120.col,120,773,73,46936,260053,OPTIMAL,59,0.493561,5.06478,5.55834,94.68359
GEOM120a.col,120,1434,109,101264,630516,OPTIMAL,82,2.39239,2062.13,2064.53,162.99609
GEOM120b.col,120,1491,123,105880,659616,SATISFIABLE,83,3.91371,3595.64,3599.55,197.57812
GEOM20.col,20,20,24,1152,3743,OPTIMAL,21,0.00289997,0.0196273,0.0225272,45.41797
GEOM20a.col,20,37,24,1369,5122,OPTIMAL,20,0.00531008,0.0254726,0.0307827,45.82812
GEOM20b.col,20,32,16,784,2774,OPTIMAL,13,0.00218441,0.0176302,0.0198146,45.39453
GEOM30.col,30,50,33,2756,10578,OPTIMAL,28,0.0108166,0.040504,0.0513206,45.39453
GEOM30a.col,30,81,32,3202,13902,OPTIMAL,27,0.010888,0.04746,0.058348,45.96875
GEOM30b.col,30,81,27,3326,14109,OPTIMAL,26,0.00542466,0.0197181,0.0251428,45.41797
GEOM40.col,40,78,33,3989,15795,OPTIMAL,28,0.0162307,0.052403,0.0686337,45.45703
GEOM40a.col,40,146,50,7076,33522,OPTIMAL,37,0.0613377,0.189804,0.251141,62.76953
GEOM40b.col,40,157,40,6660,31658,OPTIMAL,33,0.0338725,0.116666,0.150538,54.30859
GEOM50.col,50,127,36,5641,23761,OPTIMAL,28,0.0407576,0.115703,0.15646,53.87891
GEOM50a.col,50,238,61,13138,69270,OPTIMAL,50,0.118622,1.17678,1.2954,68.42578
GEOM50b.col,50,249,54,10258,51219,OPTIMAL,35,0.138686,0.420201,0.558887,66.70312
GEOM60.col,60,185,36,8488,38704,OPTIMAL,33,0.0232944,0.0708702,0.0941646,45.39453
GEOM60a.col,60,339,61,17506,95590,OPTIMAL,50,0.153076,1.15211,1.30519,72.17578
GEOM60b.col,60,366,63,15906,84681,OPTIMAL,41,0.260679,1.53539,1.79607,72.70312
GEOM70.col,70,267,44,13054,62350,OPTIMAL,38,0.0565243,0.149261,0.205785,56.41406
GEOM70a.col,70,459,72,27650,156911,OPTIMAL,61,0.231894,4.27135,4.50324,79.95703
GEOM70b.col,70,488,76,23752,128966,OPTIMAL,47,0.525824,4.41698,4.94281,79.66797
GEOM80.col,80,349,54,16930,85055,OPTIMAL,41,0.173628,0.427833,0.601461,69.875
GEOM80a.col,80,612,79,36870,213462,OPTIMAL,63,0.447591,7.59675,8.04434,87.75391
GEOM80b.col,80,663,98,38354,220526,OPTIMAL,60,1.22443,10.7518,11.9762,93.53516
GEOM90.col,90,441,54,24358,122923,OPTIMAL,46,0.176566,0.651887,0.828453,74.52734
GEOM90a.col,90,789,80,46412,272533,OPTIMAL,63,0.607296,17.1824,17.7897,97.55469
GEOM90b.col,90,860,109,54272,323685,OPTIMAL,69,2.06505,104.835,106.9,110.80469
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.0010504,0.0107511,0.0118015,45.88672
c21_1_d2.col,21,105,8,231,948,OPTIMAL,7,0.00109339,0.0109906,0.012084,46.09375
c21_2_d1.col,21,105,11,555,2878,OPTIMAL,9,0.00229773,0.0151479,0.0174456,45.48047
c21_2_d2.col,21,105,11,555,2878,OPTIMAL,9,0.00223446,0.0143411,0.0165755,45.82031
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.00104107,0.0107548,0.0117959,45.33203
c21_3_d2.col,21,105,8,231,948,OPTIMAL,7,0.00107112,0.0103973,0.0114684,45.90625
c21_4_d1.col,21,105,11,555,2878,OPTIMAL,9,0.00192756,0.0153245,0.0172521,46.01562
c21_4_d2.col,21,105,11,555,2878,OPTIMAL,9,0.00228149,0.0159291,0.0182106,45.39453
c21_5_d1.col,21,105,8,231,948,OPTIMAL,7,0.00123649,0.0127411,0.0139776,46.19922
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.000915806,0.0107074,0.0116232,45.89062
c21_6_d1.col,21,105,11,555,2878,OPTIMAL,9,0.00224127,0.0155136,0.0177548,45.33203
c21_6_d2.col,21,105,11,555,2878,OPTIMAL,9,0.00145593,0.0149757,0.0164316,45.95312
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.00107693,0.0106386,0.0117156,45.44141
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.00104126,0.0104631,0.0115044,45.58984
c21_8_d1.col,21,105,11,555,2878,OPTIMAL,9,0.00231292,0.0160385,0.0183514,46.09375
c21_8_d2.col,21,105,11,555,2878,OPTIMAL,9,0.00231097,0.0151557,0.0174667,45.82812
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.00238095,0.0176785,0.0200595,45.58984
c55_2_d2.col,55,362,8,605,3000,OPTIMAL,7,0.00342724,0.0190019,0.0224291,45.41797
