name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,25344,140922,OPTIMAL,50,0.581932,0.833413,1.41535,94.34766
GEOM100a.col,100,992,91,48194,311841,OPTIMAL,66,2.22903,153.967,156.196,149.13672
GEOM100b.col,100,1050,121,54312,353390,OPTIMAL,71,5.55895,196.211,201.77,168.30078
GEOM110.col,110,638,64,29080,163619,OPTIMAL,50,0.676737,0.947979,1.62472,100.33203
GEOM110a.col,110,1207,109,58850,392372,OPTIMAL,69,4.80733,128.314,133.121,176.10156
GEOM110b.col,110,1256,121,67504,451683,OPTIMAL,77,6.02504,888.297,894.322,235.33203
GEOM120.col,120,773,73,39944,232085,OPTIMAL,59,0.923762,4.37917,5.30294,123.13281
GEOM120a.col,120,1434,109,85144,566036,OPTIMAL,82,4.25548,938.913,943.169,225.29297
GEOM120b.col,120,1491,123,85400,577696,OPTIMAL,83,6.85054,2658.56,2665.41,296.05078
GEOM20.col,20,20,24,1152,3743,OPTIMAL,21,0.00524347,0.00138642,0.00662989,45.85547
GEOM20a.col,20,37,24,1279,4762,OPTIMAL,20,0.00907612,0.00194369,0.0110198,45.91797
GEOM20b.col,20,32,16,664,2294,OPTIMAL,13,0.00349019,0.00086427,0.00435446,45.36719
GEOM30.col,30,50,33,2710,10394,OPTIMAL,28,0.0184494,0.00553295,0.0239824,45.85547
GEOM30a.col,30,81,32,2806,12318,OPTIMAL,27,0.0220169,0.00605726,0.0280742,45.73047
GEOM30b.col,30,81,27,2864,12261,OPTIMAL,26,0.00982479,0.00222668,0.0120515,45.36719
GEOM40.col,40,78,33,3759,14875,OPTIMAL,28,0.0259542,0.00576549,0.0317197,45.36719
GEOM40a.col,40,146,50,6056,29442,OPTIMAL,37,0.111063,0.0281523,0.139215,58.82812
GEOM40b.col,40,157,40,5776,28122,OPTIMAL,33,0.0638076,0.0330944,0.096902,58.02344
GEOM50.col,50,127,36,5135,21737,OPTIMAL,28,0.0544641,0.0113166,0.0657808,45.49219
GEOM50a.col,50,238,61,11188,61470,OPTIMAL,50,0.199912,0.693354,0.893266,70.44141
GEOM50b.col,50,249,54,8802,45395,OPTIMAL,35,0.266944,0.0943298,0.361274,64.48828
GEOM60.col,60,185,36,7604,35168,OPTIMAL,33,0.0405989,0.0122808,0.0528796,45.36719
GEOM60a.col,60,339,61,14542,83734,OPTIMAL,50,0.26804,0.752027,1.02007,78.02734
GEOM60b.col,60,366,63,13282,74185,OPTIMAL,41,0.497702,1.18524,1.68294,76.60156
GEOM70.col,70,267,44,11604,56550,OPTIMAL,38,0.110503,0.0510545,0.161558,63.31641
GEOM70a.col,70,459,72,23234,139247,OPTIMAL,61,0.433626,3.41735,3.85097,91.57031
GEOM70b.col,70,488,76,19720,112838,OPTIMAL,47,1.00311,3.40383,4.40694,90.89062
GEOM80.col,80,349,54,14882,76863,OPTIMAL,41,0.306254,0.0790866,0.385341,69.80859
GEOM80a.col,80,612,79,31370,191462,OPTIMAL,63,0.840322,6.35366,7.19398,107.38281
GEOM80b.col,80,663,98,30928,190822,OPTIMAL,60,2.23893,9.14077,11.3797,111.1875
GEOM90.col,90,441,54,20954,109307,OPTIMAL,46,0.258408,0.191975,0.450384,73.42969
GEOM90a.col,90,789,80,39012,242933,OPTIMAL,63,1.15808,10.3519,11.5099,124.18359
GEOM90b.col,90,860,109,43688,281349,OPTIMAL,69,3.38088,49.7089,53.0898,146.96094
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.000838485,0.00211779,0.00295627,46.04297
c21_1_d2.col,21,105,8,231,948,OPTIMAL,7,0.00107216,0.00222753,0.00329968,45.98047
c21_2_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00244645,0.00150578,0.00395223,45.73047
c21_2_d2.col,21,105,11,315,1918,OPTIMAL,9,0.0030472,0.00178758,0.00483478,45.55078
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.00106352,0.00212509,0.00318861,45.36719
c21_3_d2.col,21,105,8,231,948,OPTIMAL,7,0.00108479,0.0029903,0.00407509,45.36719
c21_4_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00301476,0.00200931,0.00502406,45.36719
c21_4_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00247132,0.00138256,0.00385388,45.91797
c21_5_d1.col,21,105,8,231,948,OPTIMAL,7,0.00109225,0.00281334,0.00390559,45.91797
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.00106718,0.00287129,0.00393848,45.79297
c21_6_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00201292,0.00140027,0.00341318,45.36719
c21_6_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00204203,0.00147431,0.00351634,45.42969
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.000753154,0.00203571,0.00278886,45.48828
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.00113807,0.00216433,0.0033024,45.36719
c21_8_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00236911,0.00165809,0.0040272,45.36719
c21_8_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00234393,0.00135782,0.00370175,45.36719
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.00249131,0.00460625,0.00709756,45.49219
c55_2_d2.col,55,362,8,605,3000,OPTIMAL,7,0.00263479,0.00459724,0.00723203,46.04297
